id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Yellow Cards_home,Yellow Cards_away,Red Cards_home,Red Cards_away,Blocked Shots_home,Blocked Shots_away,Completed Passes_home,Completed Passes_away,result,Clearances Completed_home,Clearances Completed_away,Crosses Completed_home,Crosses Completed_away,Interceptions_home,Interceptions_away,Pass Success %_home,Pass Success %_away
tGP27cY6,12.04.2019 18:20,Ohod,Al Feiha,1,3,52%,48%,12.0,6.0,6.0,6.0,6.0,0.0,16.0,9.0,10.0,3.0,2.0,4.0,18.0,13.0,3.0,5.0,7.0,12.0,,,,,,,,,3.0,3.0,0,0,,,,,A,,,,,,,,
jRWkAall,12.04.2019 18:05,Al Taawon,Al Qadisiya,2,0,61%,39%,16.0,9.0,6.0,2.0,10.0,7.0,15.0,16.0,8.0,3.0,5.0,7.0,25.0,12.0,2.0,4.0,11.0,8.0,,,,,115.0,99.0,103.0,64.0,1.0,3.0,0,0,,,,,H,,,,,,,,
CzYoBuZs,11.04.2019 19:30,Al Hazem,Al Raed,1,0,47%,53%,8.0,9.0,2.0,2.0,6.0,7.0,13.0,14.0,2.0,7.0,0.0,0.0,22.0,23.0,2.0,1.0,14.0,13.0,,,,,100.0,110.0,60.0,83.0,2.0,2.0,0,0,,,,,H,,,,,,,,
plWg9J3f,11.04.2019 18:00,Al Batin,Al Shabab,1,2,46%,54%,12.0,12.0,8.0,5.0,4.0,7.0,17.0,24.0,6.0,4.0,2.0,0.0,16.0,13.0,3.0,7.0,22.0,17.0,,,,,75.0,94.0,51.0,43.0,3.0,3.0,0,0,,,,,A,,,,,,,,
dQEHS74F,11.04.2019 17:40,Al Ettifaq,Al Fateh,0,0,53%,47%,8.0,8.0,3.0,3.0,5.0,5.0,21.0,13.0,3.0,6.0,2.0,3.0,26.0,32.0,3.0,3.0,11.0,18.0,,,,,104.0,105.0,58.0,82.0,2.0,2.0,0,0,,,,,D,,,,,,,,
ETTHOwnp,06.04.2019 19:45,Al Wehda,Al Ettifaq,3,1,68%,32%,10.0,11.0,7.0,6.0,3.0,5.0,9.0,17.0,5.0,6.0,0.0,2.0,15.0,10.0,5.0,4.0,17.0,7.0,,,,,111.0,98.0,78.0,65.0,3.0,2.0,0,0,,,,,H,,,,,,,,
QRc6V9Kd,06.04.2019 17:55,Al Feiha,Al Taawon,2,1,28%,72%,4.0,14.0,3.0,5.0,1.0,9.0,13.0,17.0,1.0,9.0,4.0,2.0,12.0,21.0,4.0,1.0,13.0,11.0,,,,,90.0,139.0,48.0,133.0,2.0,3.0,0,0,,,,,H,,,,,,,,
MgXPMHGd,05.04.2019 19:45,Al Ittihad,Al Batin,4,1,55%,45%,14.0,9.0,4.0,3.0,10.0,6.0,20.0,22.0,4.0,5.0,0.0,2.0,22.0,31.0,2.0,0.0,22.0,18.0,,,,,100.0,116.0,63.0,74.0,3.0,2.0,0,0,,,,,H,,,,,,,,
IZFDTmk9,05.04.2019 19:45,Al Shabab,Al Ahli SC,0,4,51%,49%,9.0,16.0,4.0,11.0,5.0,5.0,12.0,14.0,11.0,5.0,3.0,2.0,27.0,15.0,7.0,4.0,11.0,10.0,,,,,122.0,108.0,99.0,83.0,2.0,2.0,0,0,,,,,A,,,,,,,,
UehoUaOM,05.04.2019 17:55,Al-Faisaly,Al Fateh,1,1,56%,44%,9.0,13.0,3.0,7.0,6.0,6.0,13.0,11.0,7.0,9.0,2.0,0.0,21.0,22.0,6.0,2.0,9.0,13.0,,,,,100.0,90.0,82.0,86.0,0.0,3.0,0,0,,,,,D,,,,,,,,
CKsjTJwT,05.04.2019 17:35,Al Qadisiya,Ohod,4,2,53%,47%,9.0,6.0,6.0,2.0,3.0,4.0,13.0,10.0,6.0,4.0,0.0,1.0,24.0,32.0,0.0,2.0,10.0,12.0,,,,,114.0,107.0,60.0,63.0,2.0,1.0,0,1,,,,,H,,,,,,,,
r3YLNc1j,04.04.2019 19:45,Al Hazem,Al Hilal,2,3,32%,68%,8.0,21.0,6.0,11.0,2.0,10.0,14.0,17.0,3.0,6.0,2.0,1.0,13.0,25.0,8.0,4.0,15.0,13.0,,,,,93.0,128.0,45.0,112.0,4.0,2.0,0,0,,,,,A,,,,,,,,
OCG9UTZ2,04.04.2019 18:00,Al Raed,Al Nassr,0,5,33%,67%,5.0,11.0,0.0,8.0,5.0,3.0,6.0,8.0,2.0,1.0,1.0,3.0,16.0,11.0,3.0,0.0,7.0,3.0,,,,,70.0,106.0,52.0,81.0,2.0,0.0,1,0,,,,,A,,,,,,,,
4Y27I2PA,01.04.2019 17:55,Al Feiha,Al Ahli SC,0,2,37%,63%,10.0,15.0,7.0,9.0,3.0,6.0,19.0,17.0,4.0,9.0,2.0,1.0,19.0,25.0,7.0,7.0,15.0,18.0,,,,,101.0,122.0,48.0,79.0,5.0,3.0,0,0,,,,,A,,,,,,,,
rujZW1v4,30.03.2019 17:15,Ohod,Al Shabab,1,2,54%,46%,8.0,11.0,5.0,5.0,3.0,6.0,18.0,18.0,2.0,3.0,1.0,1.0,24.0,17.0,3.0,4.0,17.0,17.0,,,,,87.0,105.0,53.0,51.0,4.0,4.0,1,0,,,,,A,,,,,,,,
GhlsVu9G,29.03.2019 18:40,Al Nassr,Al Hilal,3,2,53%,47%,15.0,6.0,6.0,3.0,9.0,3.0,19.0,18.0,10.0,3.0,5.0,1.0,20.0,15.0,1.0,3.0,13.0,18.0,,,,,,,,,3.0,5.0,0,1,,,,,H,,,,,,,,
dWsnBKHp,29.03.2019 16:55,Al-Faisaly,Al Ittihad,3,2,47%,53%,7.0,9.0,6.0,2.0,1.0,7.0,16.0,10.0,4.0,8.0,3.0,2.0,21.0,22.0,0.0,3.0,7.0,14.0,,,,,91.0,95.0,53.0,82.0,1.0,1.0,0,0,,,,,H,,,,,,,,
