id,date,home_team,away_team,home_goals,away_goals,Expected Goals (xG)_home,Expected Goals (xG)_away,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Clearances Completed_home,Clearances Completed_away,Crosses Completed_home,Crosses Completed_away,Interceptions_home,Interceptions_away,result
djnnN34K,16.12.2023 19:00,Al Ettifaq,Al Taawon,0,2,1.45,2.80,42%,58%,7,11,1,5,3,2,3,4,10,14,5,4,2,2,11,12,3,1,16,8,0,0,1,1,442,645,381,578,5,7,116,111,54,42,12,22,4,4,11,3,A
INVUEuC0,16.12.2023 16:00,Al Riyadh,Al Khaleej,0,1,0.62,0.95,52%,48%,2,11,0,4,2,4,0,3,16,19,0,3,3,1,15,25,3,0,19,18,0,0,3,2,470,441,390,371,16,6,93,109,20,38,24,15,3,2,16,6,A
SYxIHsSs,15.12.2023 16:00,Al Fateh,Al Shabab,1,1,0.77,1.69,41%,59%,11,16,6,7,3,4,2,5,19,12,5,8,3,0,11,16,6,5,9,18,0,0,3,3,348,501,286,435,16,11,54,112,26,69,27,10,3,4,11,12,D
Oz1VCJtD,15.12.2023 16:00,Al Hilal,Al Wehda,2,0,1.21,0.57,71%,29%,18,9,7,2,8,7,3,0,16,18,8,4,2,7,23,15,2,5,16,9,0,0,,,624,253,541,180,22,10,141,68,82,29,20,40,4,4,7,8,H
QPjjMNJQ,15.12.2023 16:00,Al Raed,Damac,0,1,,,47%,53%,5,8,1,2,1,4,3,2,13,17,6,1,3,0,29,19,1,1,14,14,0,0,3,3,420,486,336,404,22,16,113,98,56,36,7,27,4,4,4,16,A
dEUYDaR6,14.12.2023 19:00,Al Feiha,Al Ahli SC,0,4,0.71,3.80,43%,57%,10,12,4,7,3,4,3,1,15,18,3,7,5,0,27,8,3,4,16,15,0,0,2,0,374,489,294,417,13,26,89,105,42,45,17,12,3,8,7,9,A
AcSMG1sl,14.12.2023 16:00,Abha,Al Hazem,1,1,0.48,0.94,56%,44%,9,10,1,4,4,4,4,2,18,11,1,4,2,3,18,9,3,0,11,23,0,0,3,4,477,372,405,306,12,14,116,100,47,39,10,25,3,0,7,9,D
O0WQFLdf,14.12.2023 16:00,Al Akhdoud,Al Taee,1,0,0.71,0.73,44%,56%,16,8,5,3,8,3,3,2,13,18,6,5,1,0,13,23,3,4,16,11,0,0,2,0,379,481,292,390,23,15,101,97,49,42,17,27,5,3,13,4,H
EVCr3rDl,09.12.2023 19:00,Al Wehda,Al Akhdoud,2,0,1.22,0.65,49%,51%,12,20,7,4,4,9,1,7,13,22,6,5,5,0,14,14,4,5,19,13,0,1,1,1,359,372,296,285,8,15,80,102,31,49,35,16,7,5,11,7,H
W67m22Sf,09.12.2023 16:00,Al Ahli SC,Al Raed,0,0,1.33,0.86,71%,29%,22,2,4,0,10,2,8,0,7,5,11,2,1,1,12,14,0,4,11,10,0,0,2,3,625,258,550,172,15,14,170,47,90,16,5,35,7,0,5,11,D
IaRC84kR,08.12.2023 19:00,Al Nassr,Al Riyadh,4,1,1.88,0.32,67%,33%,22,1,8,1,8,0,6,0,16,17,9,2,9,6,22,9,0,4,9,11,0,0,1,2,576,290,516,224,13,14,140,45,78,13,6,23,10,2,13,15,H
IamrOqkE,08.12.2023 16:00,Al Khaleej,Abha,3,1,0.60,0.62,47%,53%,7,13,3,3,2,9,2,1,18,16,6,6,0,5,15,19,2,0,16,13,1,0,5,1,372,409,302,341,13,19,85,119,30,46,24,22,1,5,13,6,H
