id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,Pass Success %_home,Pass Success %_away,Completed Passes_home,Completed Passes_away,Free Kicks_home,Free Kicks_away,Throw-ins_home,Throw-ins_away,result
KMAyAaqq,10.03.2021 16:50,Al Taawon,Abha,1,0,60%,40%,14,6,3,0,9,5,2,1,5,2,1,2,0,2,16,12,2,3,513,345,14,18,90,77,52,35,0,0,,,,,,,,,H
EuY8EuyS,10.03.2021 16:25,Al Qadisiya,Al Ain,3,3,53%,47%,13,13,6,6,3,5,4,2,3,5,0,5,3,3,23,11,5,3,350,307,10,18,70,61,48,35,0,0,,,,,,,,,D
zkZ4FLLL,10.03.2021 13:50,Al Batin,Al Fateh,0,2,61%,39%,7,14,1,9,2,3,4,2,6,2,2,5,7,1,10,19,4,3,520,338,10,16,87,73,42,37,0,0,,,,,,,,,A
tEK1G16F,06.03.2021 18:35,Al Ahli SC,Damac,1,3,50%,50%,10,20,4,8,6,5,0,7,2,9,0,1,5,3,16,12,1,4,465,458,16,11,107,110,61,79,0,0,,,,,,,,,A
KbWhINy3,05.03.2021 18:35,Al Hilal,Al Raed,2,1,62%,38%,15,2,5,1,7,0,3,1,6,3,1,2,0,3,10,18,2,1,567,342,10,14,112,63,45,20,1,0,,,,,,,,,H
2NLcHsi9,05.03.2021 18:35,Al Ittihad,Al Wehda,4,2,60%,40%,11,18,5,9,6,5,0,4,1,4,4,0,7,1,12,15,1,3,439,269,16,18,85,91,44,44,0,0,,,,,,,,,H
6eSlJ3Md,05.03.2021 16:35,Al Shabab,Al Qadisiya,1,1,65%,35%,33,6,11,2,10,3,12,1,14,1,4,0,1,10,13,17,1,5,512,293,8,12,92,49,57,25,0,0,,,,,,,,,D
hhv7fKqd,05.03.2021 16:20,Al Ettifaq,Al Nassr,1,1,32%,68%,11,17,5,2,5,9,1,6,5,13,1,1,1,4,18,17,3,3,250,534,23,15,71,79,23,43,1,0,,,,,,,,,D
E1u3e0Uk,05.03.2021 14:15,Al Ain,Al-Faisaly,1,1,51%,49%,10,13,2,4,3,3,5,6,3,4,1,0,3,1,19,17,3,2,357,343,16,18,76,78,32,33,0,0,,,,,,,,,D
dQpbdtFq,05.03.2021 14:10,Abha,Al Fateh,2,1,41%,59%,12,8,3,4,5,3,4,1,8,6,0,1,3,1,14,18,4,1,308,442,16,21,73,93,26,40,0,0,,,,,,,,,H
