id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Throw-ins_home,Throw-ins_away,Pass Success %_home,Pass Success %_away,result
lrnBBSJH,09.04.2016 15:00,Ascoli,Cagliari,2,1,33%,67%,5,19,3,9,2,10,17,10,2,10,1,2,8,1,9,15,1,0,5,1,,,,,H
jFC5iNZs,09.04.2016 15:00,Cesena,L.R. Vicenza,1,1,53%,47%,10,9,3,3,7,6,10,19,11,2,0,2,2,2,19,8,0,0,5,3,,,,,D
W6yGAnZN,09.04.2016 15:00,Lanciano,Entella,1,2,49%,51%,13,20,6,11,7,9,18,19,4,7,0,1,9,5,19,17,1,0,3,3,,,,,A
buGDk14f,09.04.2016 15:00,Livorno,Bari,1,2,50%,50%,15,7,8,5,7,2,23,16,5,5,1,1,3,7,15,22,0,0,1,2,,,,,A
xWEHlLJ0,09.04.2016 15:00,Modena,Trapani,1,4,36%,64%,2,7,1,5,1,2,16,16,3,2,2,1,1,0,14,15,2,0,5,2,,,,,A
IsWEmuZ6,09.04.2016 15:00,Salernitana,Latina,3,2,55%,45%,10,5,6,3,4,2,18,17,3,2,1,1,1,3,16,17,0,1,5,6,,,,,H
dYUInalD,09.04.2016 15:00,Spezia,Novara,1,0,51%,49%,8,8,4,6,4,2,15,23,7,4,5,1,6,3,18,14,0,0,4,3,,,,,H
AyJ0BrRD,09.04.2016 15:00,Ternana,Crotone,1,2,35%,65%,14,18,6,13,8,5,21,11,5,10,2,2,11,5,9,19,1,0,5,5,,,,,A
6syZdqCK,08.04.2016 20:30,Avellino,Pescara,1,3,54%,46%,12,11,6,8,6,3,17,18,3,1,,,5,5,,,0,0,3,2,,,,,A
AwAbaHGL,04.04.2016 20:30,Bari,Cesena,0,0,60%,40%,13,5,6,2,7,3,10,7,10,6,0,1,2,6,7,9,0,0,0,1,,,,,D
2ykwhZ8e,03.04.2016 17:30,Novara,Salernitana,1,1,62%,38%,14,9,7,5,7,4,16,9,10,1,1,3,4,6,8,13,0,1,1,5,,,,,D
4092byWR,02.04.2016 15:00,Cagliari,Spezia,1,2,59%,41%,11,6,3,3,8,3,22,21,4,2,4,4,1,2,17,18,0,0,4,3,,,,,A
jcT7C84B,02.04.2016 15:00,Entella,Ternana,2,2,51%,49%,12,9,5,7,7,2,22,20,7,4,3,1,5,3,17,21,0,0,2,3,,,,,D
x8WUcPdE,02.04.2016 15:00,L.R. Vicenza,Livorno,2,0,50%,50%,6,14,3,8,3,6,23,23,1,7,0,1,8,1,23,22,0,1,4,5,,,,,H
OpjZhFgk,02.04.2016 15:00,Latina,Avellino,3,0,52%,48%,9,9,4,2,5,7,16,22,4,1,3,1,2,1,19,15,0,0,1,1,,,,,H
dzU3Dlk5,02.04.2016 15:00,Perugia,Ascoli,0,2,58%,42%,8,8,4,3,4,5,10,21,4,4,3,1,1,4,18,9,0,0,2,3,,,,,A
dblsigO1,02.04.2016 15:00,Pescara,Como,2,1,52%,48%,9,11,5,3,4,8,16,16,6,7,1,0,2,3,15,16,1,1,5,1,,,,,H
fq7pjDw8,02.04.2016 15:00,Pro Vercelli,Modena,1,1,45%,55%,8,10,2,5,6,5,26,22,0,2,1,1,4,1,21,25,0,0,3,2,,,,,D
bHXQb5s8,02.04.2016 15:00,Trapani,Brescia,3,0,48%,52%,11,9,6,5,5,4,19,11,6,2,0,1,5,3,11,18,0,0,1,4,,,,,H
69eUgevq,01.04.2016 20:30,Crotone,Lanciano,1,0,55%,45%,8,5,5,1,3,4,11,23,5,10,1,2,1,4,22,9,0,0,2,3,,,,,H
zLHo2JW2,26.03.2016 20:30,Salernitana,Bari,3,4,40%,60%,16,10,10,6,6,4,14,17,6,4,0,1,2,7,17,13,1,0,4,1,,,,,A
t0DNc4uH,26.03.2016 18:00,Brescia,Novara,0,0,41%,59%,4,8,2,1,2,7,12,12,1,8,2,2,1,2,10,10,0,0,2,2,,,,,D
