id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,result,Fouls_home,Fouls_away,Pass Success %_home,Pass Success %_away,Blocked Shots_home,Blocked Shots_away,Goal Kicks_home,Goal Kicks_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Completed Passes_home,Completed Passes_away,Clearances Completed_home,Clearances Completed_away,Crosses Completed_home,Crosses Completed_away
OSO8VQh9,02.05.2015 15:00,Bari,Cittadella,1,0,50%,50%,15.0,12.0,8.0,5.0,7.0,7.0,12.0,12.0,4.0,7.0,0.0,0.0,20.0,21.0,5.0,7.0,0,0,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,
AqRKSOxS,02.05.2015 15:00,Catania,Livorno,1,1,49%,51%,5.0,16.0,1.0,4.0,4.0,12.0,17.0,21.0,3.0,9.0,3.0,2.0,19.0,41.0,3.0,0.0,0,0,5.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,
EcsI83od,02.05.2015 15:00,Frosinone,Bologna,2,1,53%,47%,16.0,11.0,6.0,4.0,10.0,7.0,26.0,24.0,5.0,6.0,1.0,1.0,27.0,16.0,3.0,4.0,0,1,1.0,3.0,H,,,,,,,,,,,,,,,,,,,,,,
EcRS3rN3,02.05.2015 15:00,L.R. Vicenza,Entella,0,0,57%,43%,10.0,8.0,3.0,6.0,7.0,2.0,26.0,10.0,6.0,7.0,0.0,0.0,21.0,10.0,6.0,3.0,0,0,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,
fH2iN20k,02.05.2015 15:00,Lanciano,Ternana,1,1,48%,52%,18.0,2.0,6.0,1.0,12.0,1.0,15.0,18.0,4.0,3.0,2.0,0.0,18.0,22.0,0.0,5.0,0,0,0.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,
2s2eMMFe,02.05.2015 15:00,Perugia,Trapani,1,0,50%,50%,12.0,8.0,5.0,6.0,7.0,2.0,14.0,21.0,4.0,5.0,3.0,3.0,14.0,26.0,6.0,4.0,0,0,3.0,3.0,H,,,,,,,,,,,,,,,,,,,,,,
2JNCUp8F,02.05.2015 15:00,Pro Vercelli,Crotone,3,2,57%,43%,18.0,9.0,8.0,5.0,10.0,4.0,22.0,27.0,3.0,5.0,0.0,0.0,30.0,25.0,3.0,5.0,0,1,3.0,6.0,H,,,,,,,,,,,,,,,,,,,,,,
S0VaXnOd,02.05.2015 15:00,Spezia,Brescia,4,1,51%,49%,18.0,8.0,11.0,4.0,7.0,4.0,13.0,10.0,10.0,4.0,0.0,2.0,17.0,30.0,3.0,7.0,0,0,2.0,2.0,H,,,,,,,,,,,,,,,,,,,,,,
dtNGT4NL,02.05.2015 15:00,Varese,Latina,1,2,43%,57%,5.0,10.0,3.0,7.0,2.0,3.0,19.0,17.0,3.0,7.0,0.0,0.0,31.0,33.0,5.0,2.0,1,0,6.0,0.0,A,,,,,,,,,,,,,,,,,,,,,,
tp7IK9vi,28.04.2015 20:30,AC Carpi,Bari,0,0,45%,55%,9.0,10.0,4.0,4.0,5.0,6.0,15.0,15.0,5.0,4.0,0.0,1.0,31.0,25.0,4.0,4.0,0,0,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,
pOMO4O7c,28.04.2015 20:30,Brescia,L.R. Vicenza,3,0,45%,55%,12.0,9.0,4.0,6.0,8.0,3.0,16.0,23.0,2.0,11.0,0.0,1.0,25.0,17.0,6.0,1.0,0,1,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,
