id,date,home_team,away_team,home_goals,away_goals,Expected Goals (xG)_home,Expected Goals (xG)_away,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,result
tztn0BQr,10.04.2023 15:00,Como,Genoa,2,2,,,43%,57%,19,10,6,2,9,3,4,5,9,11,9,4,4,1,19,25,0,4,7,8,1,2,337,457,248,366,16,9,84,105,31,53,0,0,D
zVU5KuCc,10.04.2023 15:00,Frosinone,Ascoli,2,0,,,52%,48%,16,13,4,3,8,6,4,4,15,17,7,2,1,1,11,21,3,2,16,14,0,1,429,389,331,286,9,10,97,111,36,39,0,0,H
ObVjaVuk,10.04.2023 15:00,Perugia,Modena,0,1,,,54%,46%,11,20,0,8,5,8,6,4,12,23,5,5,3,1,22,34,7,0,20,12,3,3,379,335,268,204,25,18,113,122,54,39,0,0,A
nXGoLC28,10.04.2023 15:00,Reggio Calabria,Venezia,1,0,,,36%,64%,6,15,3,3,2,9,1,3,12,9,0,7,1,3,12,36,3,2,9,8,2,1,285,490,190,393,13,8,85,133,27,60,0,0,H
IgKAJaR3,10.04.2023 15:00,Sudtirol,Bari,0,1,,,38%,62%,6,10,0,4,4,2,2,4,11,16,5,8,1,0,24,19,3,0,13,8,0,1,372,626,297,570,15,10,89,122,56,38,1,0,A
WOYbc9A1,10.04.2023 12:30,Benevento,Spal,1,3,,,53%,47%,15,19,4,6,5,9,6,4,13,16,4,6,2,1,31,18,3,3,14,12,2,3,347,315,257,233,12,18,117,74,62,32,0,0,A
GjsWxrTH,05.04.2023 20:15,Perugia,Reggio Calabria,1,3,,,51%,49%,12,10,3,5,3,2,6,3,11,22,10,7,3,1,36,32,2,2,20,8,4,2,304,305,186,182,8,25,114,100,53,45,0,0,A
zHkX5tc4,02.04.2023 16:15,Modena,Cittadella,0,0,,,43%,57%,15,7,6,2,4,2,5,3,10,21,9,3,5,0,36,27,2,6,16,10,1,6,309,423,201,305,9,16,118,130,52,48,0,0,D
SjnP72Si,01.04.2023 16:15,Bari,Benevento,2,0,,,67%,33%,12,11,3,1,6,7,3,3,21,14,3,3,0,5,18,15,1,1,14,17,1,7,,,,,,,105,88,35,20,0,2,H
GQcu4KRG,01.04.2023 16:15,Perugia,Frosinone,1,1,,,41%,59%,13,17,4,3,6,8,3,6,18,18,7,1,2,1,29,29,3,3,16,17,4,3,,,,,14,11,77,119,58,44,0,0,D
dQjT6Msb,01.04.2023 14:00,Ascoli,Brescia,4,3,,,49%,51%,16,17,8,7,4,7,4,3,11,10,4,5,1,1,24,17,4,4,13,13,4,3,339,363,241,259,11,17,116,98,53,27,1,0,H
8OxKdxKj,01.04.2023 14:00,Cagliari,Sudtirol,1,1,,,60%,40%,21,7,7,2,5,3,9,2,15,11,8,3,1,2,38,19,1,6,12,12,3,3,454,312,389,228,9,15,111,84,66,26,0,0,D
lvdm2bdT,01.04.2023 14:00,Cosenza,Pisa,1,0,,,38%,62%,7,18,3,4,3,13,1,1,13,13,4,3,2,1,26,25,4,2,11,13,3,0,270,442,171,328,13,25,90,134,41,43,0,0,H
Amcq3vsN,01.04.2023 14:00,Parma,Palermo,2,1,,,56%,44%,10,10,3,2,4,8,3,0,12,17,6,1,3,3,19,23,1,1,14,10,2,1,464,357,372,276,14,18,97,90,48,33,0,0,H
MRQ1LLdi,01.04.2023 14:00,Spal,Ternana,1,1,,,41%,59%,7,20,1,5,3,6,3,9,14,16,4,15,0,3,17,17,4,0,16,12,3,2,312,437,241,356,12,9,89,115,30,70,0,0,D
Iuux50CA,01.04.2023 14:00,Venezia,Como,3,2,,,51%,49%,18,13,6,3,9,8,3,2,12,13,6,2,1,1,27,16,1,3,12,11,1,3,424,415,329,322,10,15,103,101,61,60,0,1,H
UXwGcI4p,31.03.2023 20:30,Genoa,Reggio Calabria,1,0,,,53%,47%,18,4,3,3,9,0,6,1,17,23,5,2,2,2,24,20,3,2,20,16,3,6,404,367,305,279,18,15,124,96,51,32,1,0,H
SUAlePrn,19.03.2023 16:15,Ternana,Bari,1,0,,,42%,58%,12,10,3,1,4,8,5,1,16,19,5,4,3,1,19,32,1,2,16,15,1,2,374,496,286,401,20,15,95,135,48,54,0,0,H
Od4cg3Db,18.03.2023 16:15,Reggio Calabria,Cagliari,0,4,,,51%,49%,8,13,4,6,4,5,0,2,19,10,6,5,2,4,19,26,2,4,9,12,3,4,343,327,267,245,14,13,97,73,49,37,0,0,A
l0mL8rDo,18.03.2023 14:00,Ascoli,Venezia,0,1,,,54%,46%,17,13,4,4,8,8,5,1,18,17,10,1,2,2,33,30,3,4,15,16,2,3,360,309,264,195,22,18,128,71,65,36,0,0,A
dA25isrB,18.03.2023 14:00,Brescia,Genoa,0,3,,,50%,50%,13,10,5,4,5,5,3,1,22,26,5,1,4,2,30,17,1,5,14,14,1,1,421,427,326,336,19,18,114,98,53,27,0,0,A
AZHAluST,18.03.2023 14:00,Cittadella,Perugia,0,2,,,61%,39%,16,8,6,5,7,1,3,2,22,18,6,4,2,1,35,22,3,6,15,23,2,5,424,273,316,145,9,18,123,83,53,32,0,0,A
