id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Free Kicks_home,Free Kicks_away,Throw-ins_home,Throw-ins_away,result
ruhzRpzE,04.05.2021 14:00,Spal,Frosinone,0,1,59%,41%,8,12,0,3,4,4,4,5,6,8,1,4,2,0,16,18,0,0,3,3,431,299,12,12,124,84,62,48,,,,,A
YmZ8ipqe,01.05.2021 14:00,Ascoli,Empoli,2,0,39%,61%,16,17,6,7,5,7,5,3,3,8,1,2,7,4,16,11,0,0,3,3,296,447,16,12,81,96,28,52,,,,,H
CfMz6qbl,01.05.2021 14:00,Brescia,Spal,3,1,48%,52%,16,13,7,2,6,5,3,6,5,5,2,2,1,4,14,17,0,0,2,1,407,431,14,14,96,118,40,53,,,,,H
rJGaE7j8,01.05.2021 14:00,Cosenza,Pescara,3,0,50%,50%,9,13,3,6,3,3,3,4,3,4,2,4,6,0,18,10,0,0,1,2,433,428,18,10,57,107,22,41,,,,,H
biIW6Prr,01.05.2021 14:00,Cremonese,Reggio Calabria,1,1,48%,52%,16,11,6,5,6,5,4,1,10,5,1,5,4,5,11,17,0,0,2,5,322,351,18,11,90,87,68,46,,,,,D
GCODj4b1,01.05.2021 14:00,Entella,L.R. Vicenza,1,2,58%,42%,15,14,2,3,10,8,3,3,1,7,3,5,1,1,16,20,0,0,1,3,469,336,14,19,97,96,38,52,,,,,A
M9F3DR5E,01.05.2021 14:00,Frosinone,Pisa,3,1,40%,60%,14,14,6,4,5,5,3,5,3,6,2,0,3,3,19,15,0,0,3,3,298,462,19,11,61,131,27,47,,,,,H
fcz5hQTl,01.05.2021 14:00,Lecce,Cittadella,1,3,49%,51%,18,12,6,7,10,4,2,1,11,6,4,1,4,5,11,13,0,0,1,4,426,457,14,14,96,93,49,36,,,,,A
2LW0CoLK,01.05.2021 14:00,Reggiana,Pordenone,1,0,39%,61%,7,13,2,2,4,7,1,4,1,7,3,2,2,1,19,14,1,0,4,0,298,446,19,14,62,122,20,68,,,,,H
UFSHkOD7,01.05.2021 14:00,Salernitana,Monza,1,3,36%,64%,10,11,4,6,3,4,3,1,3,6,2,2,3,3,16,12,0,0,2,2,298,529,12,15,110,86,46,31,,,,,A
QNV0g6Er,01.05.2021 14:00,Venezia,Chievo,3,1,45%,55%,12,10,5,1,6,5,1,4,4,7,3,2,0,2,15,20,0,0,2,2,374,457,12,19,73,98,37,49,,,,,H
pO8ymAzC,27.04.2021 16:00,Empoli,Chievo,2,2,47%,53%,14,10,3,3,5,7,6,0,8,4,0,7,1,1,18,15,1,0,1,3,398,458,13,22,120,101,45,35,,,,,D
OEqZcn6R,27.04.2021 14:00,Pescara,Entella,1,1,62%,38%,20,9,8,2,4,5,8,2,7,3,3,2,1,7,12,20,0,0,1,5,519,319,17,13,139,83,49,32,,,,,D
dSLpvFis,24.04.2021 16:00,Pordenone,Pisa,2,2,37%,63%,13,17,4,4,3,3,6,10,4,8,0,2,2,2,23,24,1,0,4,5,222,380,10,19,63,70,43,71,,,,,D
d2hI1U62,17.04.2021 18:00,Pordenone,Frosinone,2,0,36%,64%,7,7,5,1,1,5,1,1,1,4,1,2,1,3,15,26,0,0,3,5,268,474,11,6,76,126,31,53,,,,,H
nXARv7ak,17.04.2021 16:00,Cittadella,Chievo,1,0,59%,41%,9,7,2,2,1,4,6,1,4,2,3,2,2,1,18,17,0,0,4,2,456,314,16,16,134,88,48,52,,,,,H
YT6Numpq,17.04.2021 14:00,Empoli,Brescia,4,2,51%,49%,25,9,11,3,9,2,5,4,8,4,3,5,1,7,12,17,0,0,0,2,409,400,13,10,105,104,53,39,,,,,H
zgiM0lM8,17.04.2021 14:00,L.R. Vicenza,Lecce,1,2,55%,45%,15,15,2,6,9,7,4,2,6,5,2,1,4,1,16,15,0,0,3,1,412,339,16,9,99,107,58,50,,,,,A
Kp9ZxoU1,17.04.2021 14:00,Monza,Cremonese,2,1,58%,42%,9,19,3,5,4,9,2,5,1,7,2,3,4,1,10,17,0,0,1,3,549,386,29,15,83,116,24,72,,,,,H
tfAVwREe,17.04.2021 14:00,Pisa,Cosenza,3,0,58%,42%,21,5,7,1,8,1,6,3,3,6,2,2,1,4,15,15,0,0,2,2,470,334,14,14,133,80,72,26,,,,,H
UFjQa8yF,17.04.2021 14:00,Reggio Calabria,Reggiana,2,1,57%,43%,6,7,2,2,3,3,1,2,2,4,1,5,1,0,19,9,0,0,1,0,487,359,7,9,103,99,30,55,,,,,H
tjfUbSjL,17.04.2021 14:00,Salernitana,Venezia,2,1,45%,55%,21,9,8,3,7,4,6,2,10,3,0,2,2,6,18,14,0,0,2,4,337,424,10,11,133,102,65,28,,,,,H
hWhgcFFG,16.04.2021 21:00,Spal,Ascoli,1,2,63%,37%,14,14,4,6,4,5,6,3,5,1,3,1,4,3,17,17,0,0,1,3,544,319,14,22,141,105,64,36,,,,,A
OhW4Zj6C,13.04.2021 16:00,Cremonese,Empoli,2,2,44%,56%,16,13,3,8,9,1,4,4,6,2,1,5,6,1,19,13,1,0,3,0,332,449,18,17,109,108,42,57,,,,,D
bkiw1cGi,12.04.2021 19:00,Chievo,Pisa,2,0,42%,58%,10,9,5,1,4,7,1,1,5,7,0,0,1,3,17,21,0,0,3,4,309,419,19,16,76,153,37,57,,,,,H
Y7JGqdoH,11.04.2021 19:00,Venezia,Cosenza,3,0,56%,44%,17,1,7,1,4,0,6,0,9,3,5,2,1,4,8,17,0,0,1,3,497,394,16,24,102,95,55,27,,,,,H
UZCPszGT,11.04.2021 15:00,Reggio Calabria,L.R. Vicenza,3,0,40%,60%,5,14,4,2,1,6,0,6,4,8,1,2,2,1,16,15,0,0,1,2,344,499,16,9,85,136,19,66,,,,,H
voKCpxWA,10.04.2021 16:00,Frosinone,Cittadella,1,1,49%,51%,19,12,7,5,7,5,5,2,9,7,3,0,4,6,18,20,0,1,3,6,327,350,8,10,109,89,57,44,,,,,D
WraiwfOp,10.04.2021 14:00,Ascoli,Monza,1,0,40%,60%,9,17,3,4,4,9,2,4,5,2,3,2,4,2,18,17,0,1,3,3,320,473,17,29,66,120,32,52,,,,,H
pnmZ1w1o,10.04.2021 14:00,Brescia,Pescara,1,1,61%,39%,12,8,5,3,4,3,3,2,5,4,1,2,2,4,14,10,0,0,2,1,571,366,15,7,123,72,51,26,,,,,D
tEtr0HVc,10.04.2021 14:00,Cremonese,Pordenone,2,1,51%,49%,19,6,5,1,10,4,4,1,4,3,1,3,0,3,22,8,0,0,2,1,480,452,10,11,124,92,45,41,,,,,H
K4unayo4,10.04.2021 14:00,Entella,Salernitana,0,3,63%,37%,11,13,2,6,6,5,3,2,1,2,2,2,3,2,14,15,0,0,3,1,493,294,16,12,129,110,32,41,,,,,A
Eufkbe0A,10.04.2021 14:00,Lecce,Spal,1,2,55%,45%,9,11,4,2,3,3,2,6,6,3,0,0,0,3,16,10,0,0,3,4,463,402,15,15,118,107,65,35,,,,,A
CbIKrG0N,09.04.2021 21:00,Reggiana,Empoli,0,1,44%,56%,9,15,4,5,3,4,2,6,4,4,10,0,4,4,13,17,0,0,2,3,414,527,15,11,88,106,20,48,,,,,A
Iy7qol5O,05.04.2021 21:00,Salernitana,Frosinone,1,0,42%,58%,9,12,4,1,5,7,0,4,3,5,1,2,1,3,19,20,0,0,3,4,325,444,14,19,110,111,49,59,,,,,H
pnR3nb1b,05.04.2021 19:00,Spal,Venezia,1,1,52%,48%,8,9,1,4,5,2,2,3,4,8,1,3,3,0,16,11,0,0,4,4,453,410,11,7,109,77,19,37,,,,,D
4CivljL5,05.04.2021 17:00,Reggiana,Brescia,2,2,40%,60%,19,6,3,2,12,3,4,1,7,6,6,3,0,1,11,16,0,0,2,3,306,498,13,12,99,136,49,55,,,,,D
