id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Free Kicks_home,Free Kicks_away,Throw-ins_home,Throw-ins_away,result
OOxMSde7,25.04.2022 15:00,Crotone,Cremonese,3,1,48%,52%,12,14,4,6,7,5,1,3,2,2,2,2,5,1,13,6,0,0,2,1,389,431,278,326,11,17,82,135,47,49,,,,,H
2FyQRGAD,25.04.2022 15:00,Frosinone,Monza,4,1,40%,60%,16,10,8,3,6,7,2,0,4,3,3,1,2,4,19,9,0,0,3,2,311,451,224,345,14,15,85,115,42,52,,,,,H
vXK8j0mE,25.04.2022 15:00,Lecce,Pisa,2,0,43%,57%,21,9,6,2,7,1,8,6,5,2,1,1,2,4,25,21,0,0,3,3,310,422,220,315,19,11,90,109,57,29,,,,,H
fqo5Wvdr,25.04.2022 12:30,Ascoli,Cittadella,0,0,44%,56%,19,14,5,4,7,5,7,5,4,7,2,2,4,5,16,20,0,0,1,5,345,444,259,334,23,16,91,90,37,47,,,,,D
EBAWHusk,18.04.2022 20:30,Monza,Brescia,1,1,49%,51%,16,21,4,5,8,8,4,8,7,5,0,2,4,3,6,8,0,0,2,1,424,435,341,353,14,17,96,131,31,66,,,,,D
pdK0N1JR,18.04.2022 18:00,Cittadella,Alessandria,1,2,66%,34%,15,13,4,4,8,6,3,3,3,3,1,1,2,3,20,14,0,1,3,5,492,266,384,158,15,14,147,83,63,38,,,,,A
h29zHade,18.04.2022 18:00,Parma,Ascoli,0,1,58%,42%,12,13,1,4,6,5,5,4,11,2,2,4,3,1,13,16,0,0,4,2,483,370,408,290,23,28,116,81,81,30,,,,,A
Aw4uGJB1,18.04.2022 18:00,Pisa,Como,3,1,46%,54%,18,15,6,5,9,8,3,2,6,7,1,1,4,3,12,11,0,0,3,1,344,403,249,301,12,18,104,97,49,34,,,,,H
bapzx1YK,18.04.2022 18:00,Ternana,Frosinone,4,4,49%,51%,12,17,3,4,4,6,5,7,6,8,1,0,0,0,10,13,0,0,2,4,393,411,271,306,21,17,103,110,45,33,,,,,D
EZEFo5P6,18.04.2022 15:00,Cremonese,Cosenza,3,1,56%,44%,14,9,6,4,4,4,4,1,5,4,1,7,3,3,15,23,0,0,2,4,427,328,340,242,16,12,107,84,47,30,,,,,H
KlBSILRr,18.04.2022 15:00,L.R. Vicenza,Perugia,1,2,45%,55%,11,2,5,2,3,0,3,0,6,3,3,3,0,4,17,25,0,0,3,3,287,364,198,275,21,9,93,78,50,37,,,,,A
lU2qFwR7,18.04.2022 15:00,Pordenone,Benevento,1,4,38%,62%,10,18,4,7,5,10,1,1,1,3,1,1,3,3,11,13,0,0,3,1,335,567,263,493,17,13,76,111,31,53,,,,,A
2XjRwN38,18.04.2022 15:00,Reggio Calabria,Lecce,1,0,45%,55%,9,13,3,0,4,9,2,4,1,2,3,0,0,2,23,17,0,0,4,1,369,444,238,306,14,16,108,125,39,72,,,,,H
GzeVxsJE,18.04.2022 12:30,Spal,Crotone,1,1,53%,47%,22,15,6,6,10,7,6,2,6,5,1,1,5,5,16,12,0,0,2,1,434,384,340,287,15,16,117,110,56,33,,,,,D
04dN8yR2,14.04.2022 20:00,Cosenza,Benevento,1,0,37%,63%,7,16,3,5,3,6,1,5,3,4,1,4,5,2,14,11,0,0,1,1,324,558,227,454,25,14,88,120,25,59,,,,,H
08pc3tSe,11.04.2022 20:30,Brescia,Parma,1,0,48%,52%,6,9,4,3,1,4,1,2,8,4,5,3,3,3,14,8,0,0,1,3,453,500,362,418,16,17,127,112,53,35,,,,,H
2XUeOs4L,10.04.2022 18:00,Perugia,Pisa,1,1,58%,42%,27,9,9,1,10,4,8,4,13,3,1,2,0,8,10,19,0,0,2,2,364,279,268,180,13,20,101,93,61,41,,,,,D
Sfnk52cq,10.04.2022 15:30,Ascoli,Reggio Calabria,2,0,51%,49%,21,6,8,0,9,5,4,1,7,4,4,0,0,6,20,17,0,0,4,6,393,369,318,281,21,17,90,102,42,34,,,,,H
zqGBnoA0,10.04.2022 15:30,Cosenza,Monza,0,2,31%,69%,8,9,2,3,5,6,1,0,2,3,0,1,1,2,19,13,0,0,1,5,250,587,168,512,18,18,68,141,29,54,,,,,A
GGSqRqK2,10.04.2022 15:30,Crotone,Ternana,1,2,57%,43%,13,9,1,3,6,4,6,2,7,3,2,3,1,0,23,13,0,0,3,2,435,333,313,213,24,17,110,108,47,31,,,,,A
6oog4MCk,10.04.2022 14:30,Benevento,L.R. Vicenza,1,0,65%,35%,13,4,3,3,7,1,3,0,8,2,0,3,3,2,16,19,0,1,2,4,454,246,398,163,20,20,110,69,68,33,,,,,H
f7RmQ3Z8,09.04.2022 16:15,Frosinone,Cremonese,2,1,39%,61%,11,13,5,3,4,7,2,3,1,7,6,0,2,3,21,19,0,1,4,3,256,394,164,296,15,10,78,105,32,35,,,,,H
