id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,result
Q9zktiQA,16.11.2014 15:00,Pescara,Frosinone,3,0,50%,50%,13,13,9,2,4,11,19,24,5,3,2,1,20,31,2,6,1,0,4,3,H
40ZhuBuH,16.11.2014 15:00,Ternana,Spezia,0,0,44%,56%,6,13,3,3,3,10,13,21,2,9,3,2,17,19,3,3,0,0,5,2,D
CQx1wkAT,16.11.2014 15:00,Varese,Perugia,1,1,59%,41%,11,10,6,5,5,5,29,20,8,2,6,1,31,17,4,5,0,0,2,2,D
YZwcvVfN,16.11.2014 12:30,Trapani,Catania,2,2,54%,46%,8,15,5,7,3,8,23,15,3,6,2,0,28,31,5,3,1,0,3,3,D
dxwcLklo,15.11.2014 20:30,Bologna,Brescia,1,2,50%,50%,6,9,3,4,3,5,15,13,4,12,1,4,20,21,2,2,0,0,2,1,A
dUrYqZQo,15.11.2014 18:00,AC Carpi,Cittadella,5,2,,,,,,,,,,,,,,,,,,,0,0,,,H
n3RiCCBU,10.11.2014 20:30,Bari,Ternana,0,1,62%,38%,15,5,8,3,7,2,21,15,15,1,2,1,21,18,2,8,0,1,3,5,A
OO2cXest,08.11.2014 15:00,Bologna,AC Carpi,0,0,57%,43%,11,6,7,3,4,3,16,19,10,4,0,0,17,23,3,7,0,0,4,3,D
za61WFdn,08.11.2014 15:00,Brescia,Pescara,1,3,56%,44%,9,12,8,6,1,6,21,15,5,2,0,1,19,21,3,7,0,0,3,5,A
INe6VZBh,08.11.2014 15:00,Catania,Varese,2,1,53%,47%,16,10,11,5,5,5,14,28,9,6,1,0,19,39,4,9,0,0,6,2,H
dEfAUgRb,08.11.2014 15:00,Cittadella,Latina,1,1,46%,54%,7,11,3,4,4,7,15,20,2,8,1,1,36,46,3,2,0,0,3,0,D
QmaETDt5,08.11.2014 15:00,Frosinone,Trapani,4,1,49%,51%,14,7,6,4,8,3,11,30,3,1,4,1,18,28,3,2,0,1,4,4,H
bkRyygm0,08.11.2014 15:00,L.R. Vicenza,Pro Vercelli,2,1,55%,45%,6,7,5,3,1,4,19,15,6,4,2,0,18,25,2,3,0,0,0,3,H
fTjVPVuU,08.11.2014 15:00,Lanciano,Livorno,1,0,56%,44%,13,12,7,10,6,2,20,15,4,4,3,3,24,25,10,6,0,1,0,3,H
4vbISXeB,08.11.2014 15:00,Modena,Avellino,1,2,45%,55%,11,10,4,7,7,3,21,24,9,5,4,0,28,33,5,3,2,0,7,3,A
n3mNRiBH,08.11.2014 15:00,Perugia,Entella,2,1,52%,48%,10,5,4,1,6,4,25,31,6,2,0,2,25,20,0,2,0,0,4,2,H
06iRQBQN,07.11.2014 20:30,Spezia,Crotone,2,1,47%,53%,10,7,3,3,7,4,17,19,5,2,0,0,22,21,2,1,0,0,4,5,H
2uu6y8wj,04.11.2014 18:00,Entella,Ternana,2,1,51%,49%,8,9,4,4,4,5,14,9,5,2,3,1,34,43,3,2,0,0,1,1,H
jyYrEYtI,02.11.2014 18:00,Varese,Modena,2,1,57%,43%,11,4,8,2,3,2,24,19,13,3,1,0,24,28,1,6,0,1,1,5,H
lUSKJxDt,02.11.2014 12:30,Latina,Frosinone,1,4,46%,54%,10,11,5,9,5,2,23,26,4,4,0,0,24,16,5,4,0,1,3,4,A
GQyXyZXg,01.11.2014 15:00,AC Carpi,L.R. Vicenza,1,0,47%,53%,14,2,10,1,4,1,24,26,7,6,1,2,27,35,1,9,0,0,4,3,H
AaR8CL5D,01.11.2014 15:00,Avellino,Catania,1,0,49%,51%,7,6,4,4,3,2,25,19,4,7,0,3,23,31,4,3,0,0,3,3,H
C45iy5rE,01.11.2014 15:00,Crotone,Perugia,2,1,53%,47%,7,5,4,1,3,4,15,19,3,6,0,0,21,28,0,2,0,1,2,2,H
8CSmDhdO,01.11.2014 15:00,Entella,Lanciano,0,0,49%,51%,7,9,3,4,4,5,20,15,1,6,2,0,22,23,4,3,0,0,2,4,D
r5sOIdSn,01.11.2014 15:00,Livorno,Bologna,3,2,48%,52%,13,11,4,2,9,9,13,18,3,0,2,2,23,25,0,1,0,0,2,6,H
MetSHGsg,01.11.2014 15:00,Pescara,Spezia,1,2,51%,49%,13,11,3,5,10,6,10,21,8,1,1,0,27,11,3,2,0,1,4,2,A
4KVWGzca,01.11.2014 15:00,Pro Vercelli,Bari,3,0,43%,57%,14,9,7,5,7,4,13,20,5,5,2,0,18,34,5,4,0,0,5,3,H
INZzGfC5,01.11.2014 15:00,Ternana,Cittadella,1,1,58%,42%,16,15,10,11,6,4,20,15,9,4,3,3,32,19,10,9,0,0,2,1,D
CpZvFERB,01.11.2014 15:00,Trapani,Brescia,3,2,54%,46%,13,8,9,4,4,4,23,20,5,5,1,4,18,14,2,6,0,0,4,4,H
b1uIM5TK,28.10.2014 20:30,AC Carpi,Ternana,3,1,53%,47%,14,9,10,6,4,3,12,15,7,5,2,1,25,36,5,7,0,1,2,0,H
lWcRarM7,28.10.2014 20:30,Bari,Pescara,1,1,63%,37%,26,4,12,2,14,2,24,15,14,1,1,2,36,7,1,11,0,1,3,4,D
GxjDNoEE,28.10.2014 20:30,Brescia,Crotone,2,1,49%,51%,11,10,6,6,5,4,21,21,5,5,1,0,23,25,5,4,1,1,5,4,H
AyqMLPrR,28.10.2014 20:30,Catania,Entella,5,1,57%,43%,18,7,13,2,5,5,18,23,10,3,1,0,21,28,1,8,0,0,2,2,H
SGVmHqir,28.10.2014 20:30,Cittadella,Livorno,1,1,48%,52%,6,12,2,5,4,7,14,22,1,7,1,2,29,22,4,1,1,0,7,3,D
67UiG36l,28.10.2014 20:30,Frosinone,Varese,1,1,49%,51%,8,13,2,7,6,6,24,12,2,8,2,1,21,19,6,1,0,0,0,3,D
2NXSxFIm,28.10.2014 20:30,L.R. Vicenza,Modena,0,2,55%,45%,9,9,7,5,2,4,10,21,9,0,2,4,35,22,3,7,0,0,3,1,A
ddN4D1j7,28.10.2014 20:30,Lanciano,Pro Vercelli,2,0,50%,50%,12,10,8,2,4,8,17,24,7,0,1,0,16,24,2,6,0,0,2,1,H
OrPdFNLf,28.10.2014 20:30,Perugia,Avellino,0,0,56%,44%,6,0,1,0,5,0,19,21,2,5,3,4,29,27,0,1,0,1,1,2,D
2ZN0Esy1,28.10.2014 20:30,Spezia,Latina,1,1,58%,42%,5,11,1,6,4,5,31,14,7,1,0,0,30,20,5,0,0,1,4,7,D
xni9ORb8,27.10.2014 20:30,Bologna,Trapani,2,1,57%,43%,17,6,6,2,11,4,15,23,10,3,1,1,28,27,1,4,0,0,0,2,H
lAMjm5x2,25.10.2014 15:00,Avellino,Lanciano,1,1,52%,48%,14,8,7,5,7,3,21,21,4,4,0,0,18,15,4,6,2,2,4,6,D
80YOwe3s,25.10.2014 15:00,Catania,L.R. Vicenza,3,1,47%,53%,10,9,8,5,2,4,16,22,4,5,0,0,30,33,4,5,0,1,1,1,H
jF0ZBlF2,25.10.2014 15:00,Crotone,Cittadella,2,2,59%,41%,12,11,6,5,6,6,23,24,6,3,0,1,27,29,3,4,0,0,4,5,D
AuaN0O61,25.10.2014 15:00,Entella,Frosinone,1,0,53%,47%,8,19,4,2,4,17,26,18,3,4,0,0,30,23,2,3,0,0,3,3,H
4I4wB8U8,25.10.2014 15:00,Latina,Brescia,1,1,54%,46%,9,7,2,2,7,5,23,25,4,2,0,0,15,22,1,1,1,1,4,5,D
bu4sASqF,25.10.2014 15:00,Livorno,Spezia,0,1,52%,48%,12,9,4,5,8,4,15,23,1,1,4,1,23,19,4,4,0,0,4,3,A
IsKr86ER,25.10.2014 15:00,Pescara,AC Carpi,0,5,48%,52%,9,10,5,7,4,3,20,17,8,1,0,1,22,10,2,5,1,0,3,1,A
Kj6A3QMr,25.10.2014 15:00,Pro Vercelli,Perugia,0,0,51%,49%,11,5,6,2,5,3,25,24,5,1,5,1,31,29,2,6,0,0,4,3,D
SG9I14ie,25.10.2014 15:00,Varese,Bari,2,1,47%,53%,7,9,4,4,3,5,23,21,6,2,1,2,18,23,3,2,0,1,3,3,H
xW2o9naL,24.10.2014 21:00,Modena,Bologna,0,0,54%,46%,7,4,1,0,6,4,25,20,2,2,2,2,26,26,0,1,0,1,1,4,D
ED5E2pxk,24.10.2014 19:00,Ternana,Trapani,1,2,47%,53%,11,16,8,8,3,8,14,24,8,9,3,1,25,27,6,7,1,0,3,2,A
44P4d9FF,20.10.2014 20:30,Cittadella,Entella,0,1,52%,48%,16,5,5,4,11,1,24,17,10,3,1,1,35,33,3,5,0,1,6,4,A
GrqAzShd,19.10.2014 18:00,Bari,Avellino,4,2,47%,53%,12,11,7,9,5,2,18,16,3,8,0,1,17,27,7,3,0,0,3,5,H
QDQ0ck09,18.10.2014 15:00,AC Carpi,Latina,2,1,51%,49%,14,8,7,5,7,3,22,15,7,1,0,0,24,24,4,5,0,0,3,3,H
UoXiaBVd,18.10.2014 15:00,Bologna,Varese,3,0,52%,48%,12,4,5,1,7,3,14,16,2,6,1,1,22,17,1,2,0,0,4,2,H
8xWebVp3,18.10.2014 15:00,Brescia,Pro Vercelli,2,1,52%,48%,13,5,6,3,7,2,15,19,4,3,2,1,16,21,2,4,0,0,1,3,H
bRO8eTUL,18.10.2014 15:00,Frosinone,Modena,2,0,54%,46%,13,5,5,1,8,4,20,24,2,3,1,0,35,19,1,3,0,1,7,3,H
AJNnloNe,18.10.2014 15:00,Lanciano,Perugia,1,1,54%,46%,13,6,4,2,9,4,14,23,10,0,1,0,21,20,1,3,0,0,2,6,D
dCsCfmpS,18.10.2014 15:00,Spezia,Catania,3,0,58%,42%,9,11,5,5,4,6,18,9,4,6,0,0,15,12,5,2,0,1,2,3,H
2gKvj7hq,18.10.2014 15:00,Ternana,Livorno,0,4,47%,53%,21,15,6,9,15,6,13,13,5,5,3,2,15,21,5,6,0,0,0,3,A
tpJrkR7k,18.10.2014 15:00,Trapani,Crotone,3,1,49%,51%,7,9,6,4,1,5,17,31,3,5,0,0,22,27,3,3,0,0,5,2,H
6incryeQ,17.10.2014 20:30,L.R. Vicenza,Pescara,2,1,60%,40%,10,7,4,2,6,5,22,17,9,5,2,2,23,23,1,2,0,1,4,2,H
KGk1xlOq,13.10.2014 20:30,Varese,Cittadella,2,2,54%,46%,5,15,4,9,1,6,27,26,1,2,3,4,38,27,7,2,1,0,3,3,D
As4VsA0M,12.10.2014 20:30,Perugia,Frosinone,0,1,48%,52%,5,9,2,4,3,5,21,19,7,4,0,4,19,25,3,2,0,0,3,4,A
QgURNl9j,12.10.2014 15:00,Avellino,AC Carpi,1,0,51%,49%,9,12,3,3,6,9,14,20,3,5,1,0,21,32,3,2,0,0,1,3,H
t2CEoh1c,12.10.2014 15:00,Crotone,Pescara,1,4,56%,44%,16,11,7,7,9,4,14,14,8,1,4,1,18,17,3,6,0,0,1,3,A
QuVaqHuK,12.10.2014 15:00,Lanciano,L.R. Vicenza,4,0,52%,48%,11,6,5,2,6,4,17,22,8,7,0,0,15,26,2,1,0,1,5,4,H
zPBIpCG3,12.10.2014 15:00,Latina,Bologna,1,2,57%,43%,9,12,4,4,5,8,16,25,10,6,1,1,30,31,2,3,1,0,4,3,A
lSFMqWV9,12.10.2014 15:00,Livorno,Trapani,6,0,55%,45%,16,2,11,1,5,1,14,16,3,4,1,0,12,16,1,5,0,1,3,3,H
2BDAnYoi,12.10.2014 12:30,Catania,Bari,2,3,48%,52%,9,7,8,6,1,1,21,24,6,2,4,3,26,24,3,6,0,0,5,5,A
Wj5RrjoG,11.10.2014 20:30,Modena,Brescia,1,1,48%,52%,6,8,1,5,5,3,22,16,2,4,6,4,33,32,4,0,1,0,3,2,D
I73ZtUFS,11.10.2014 18:00,Pro Vercelli,Spezia,1,0,49%,51%,12,6,4,3,8,3,18,16,3,7,1,1,16,26,3,3,0,0,1,4,H
f77ftcPH,06.10.2014 20:30,Ternana,Avellino,2,2,52%,48%,13,13,6,5,7,8,18,18,2,1,0,1,26,29,3,4,0,0,3,4,D
WSMUo1et,04.10.2014 15:00,AC Carpi,Pro Vercelli,1,0,47%,53%,4,10,3,1,1,9,17,24,3,5,3,1,23,31,1,2,0,0,1,3,H
t4sLRcAO,04.10.2014 15:00,Bari,Modena,1,1,54%,46%,12,9,5,8,7,1,17,21,3,4,0,0,33,23,7,4,0,1,2,5,D
f7V2jsmP,04.10.2014 15:00,Brescia,Varese,1,1,50%,50%,10,6,2,3,8,3,22,22,2,2,0,0,13,19,2,1,0,0,5,3,D
EiCZpLAn,04.10.2014 15:00,Cittadella,Lanciano,2,3,49%,51%,15,8,6,7,9,1,21,19,3,7,0,4,20,17,4,4,0,0,1,4,A
hrBwpuQh,04.10.2014 15:00,Frosinone,Catania,1,0,49%,51%,6,6,2,3,4,3,25,32,6,1,0,0,27,31,3,1,0,1,5,4,H
nkWepcQD,04.10.2014 15:00,L.R. Vicenza,Bologna,0,0,54%,46%,7,9,2,2,5,7,22,22,5,0,1,1,26,23,2,2,0,0,3,3,D
08EorJf5,04.10.2014 15:00,Pescara,Entella,4,0,63%,37%,11,3,8,1,3,2,17,16,6,1,0,2,25,17,1,4,0,1,0,2,H
rX3jswAB,04.10.2014 15:00,Spezia,Perugia,2,0,50%,50%,6,5,3,3,3,2,15,21,6,4,2,0,14,20,3,1,0,2,3,4,H
n3VNOUgp,04.10.2014 15:00,Trapani,Latina,1,0,52%,48%,11,6,6,4,5,2,,,14,8,2,0,,,4,5,0,1,3,3,H
MHFsqaua,03.10.2014 20:30,Livorno,Crotone,1,0,53%,47%,15,17,6,5,9,12,16,22,11,5,1,1,19,27,5,5,0,0,4,3,H
2DrHSweI,29.09.2014 20:30,Lanciano,Bari,1,1,44%,56%,7,13,4,8,3,5,20,19,0,8,3,1,26,25,7,3,0,0,2,5,D
zTTXxOIP,28.09.2014 18:00,Catania,Pescara,2,1,44%,56%,16,12,9,3,7,9,14,24,4,9,0,0,10,24,2,7,1,0,5,3,H
h44mVBaJ,27.09.2014 15:00,Avellino,Livorno,2,1,58%,42%,15,9,9,5,6,4,21,14,12,4,0,1,19,24,4,7,0,0,1,1,H
dxVTw43J,27.09.2014 15:00,Bologna,Cittadella,1,0,56%,44%,17,8,8,4,9,4,25,13,4,3,4,2,19,39,4,7,0,1,2,6,H
YorELDmD,27.09.2014 15:00,Crotone,L.R. Vicenza,0,0,53%,47%,6,4,2,2,4,2,15,17,5,3,2,0,27,23,2,2,0,1,2,3,D
ziCKTJuC,27.09.2014 15:00,Entella,AC Carpi,2,0,54%,46%,6,9,3,2,3,7,22,24,3,7,3,0,23,25,2,1,0,0,3,4,H
SKLaYsRt,27.09.2014 15:00,Latina,Ternana,1,1,53%,47%,16,12,5,6,11,6,25,17,6,3,0,2,24,25,5,4,0,0,3,3,D
6BK3X1tm,27.09.2014 15:00,Modena,Spezia,2,0,59%,41%,13,3,7,3,6,0,30,20,5,2,4,3,22,23,3,5,0,0,5,4,H
lzA8WLeg,27.09.2014 15:00,Perugia,Brescia,1,0,52%,48%,10,3,5,1,5,2,16,19,6,4,0,4,22,28,1,4,0,1,1,3,H
2wECVuBa,27.09.2014 15:00,Pro Vercelli,Frosinone,1,1,58%,42%,22,10,13,2,9,8,16,21,9,1,1,0,19,13,1,12,0,1,2,1,D
d0DGUaQ5,27.09.2014 15:00,Varese,Trapani,5,2,51%,49%,8,11,6,5,2,6,19,25,5,6,2,0,22,35,3,1,0,1,2,2,H
hpt6IYFD,23.09.2014 20:30,Brescia,Lanciano,1,1,54%,46%,8,7,3,5,5,2,14,18,7,5,,,7,14,4,2,0,0,1,2,D
KjUmsIhE,23.09.2014 20:30,Cittadella,Pro Vercelli,1,2,45%,55%,11,9,4,5,7,4,13,18,6,3,2,3,40,27,3,3,1,0,2,1,A
bsTitx8K,23.09.2014 20:30,Crotone,Catania,1,1,59%,41%,7,6,4,1,3,5,23,20,2,4,1,1,30,24,0,3,0,0,3,5,D
t6IdudNQ,23.09.2014 20:30,Frosinone,Avellino,0,0,60%,40%,7,7,7,1,0,6,20,17,5,1,1,2,35,28,1,7,1,0,2,1,D
KrvAMgY6,23.09.2014 20:30,L.R. Vicenza,Bari,1,0,51%,49%,6,8,2,4,4,4,20,17,5,9,1,1,27,25,4,1,0,0,1,5,H
IR9OzGVs,23.09.2014 20:30,Livorno,Varese,1,0,53%,47%,14,11,2,6,12,5,16,10,4,5,0,2,33,17,6,1,0,0,2,2,H
Cl9SZZpl,23.09.2014 20:30,Modena,Perugia,0,0,48%,52%,4,6,1,2,3,4,20,24,4,5,0,1,33,31,2,1,0,0,2,3,D
ju8WYg0f,23.09.2014 20:30,Pescara,Latina,1,1,53%,47%,10,10,4,3,6,7,24,24,4,4,2,1,20,24,2,3,0,0,3,4,D
n71uXXU6,23.09.2014 20:30,Ternana,Bologna,0,1,59%,41%,5,4,1,3,4,1,25,13,7,5,1,3,41,26,2,1,0,0,1,1,A
tU0qWipD,23.09.2014 20:30,Trapani,Entella,2,2,58%,42%,12,11,4,3,8,8,21,16,10,4,,,26,15,1,2,0,1,0,5,D
8G2yYDF0,22.09.2014 20:30,Spezia,AC Carpi,1,2,58%,42%,10,7,3,2,7,5,20,20,10,1,0,0,22,23,0,2,0,0,4,4,A
WGCO5eW7,20.09.2014 15:00,Bari,Livorno,2,0,60%,40%,14,10,7,4,7,6,16,15,5,3,0,0,23,23,4,5,0,1,3,4,H
YLj7Uv98,20.09.2014 15:00,Bologna,Crotone,0,2,40%,60%,13,7,3,5,10,2,16,15,2,9,1,2,26,19,3,3,0,0,2,4,A
W69ATbOE,20.09.2014 15:00,Brescia,Ternana,0,0,51%,49%,26,3,10,1,16,2,13,12,7,3,2,0,19,25,1,10,0,1,2,4,D
4K7IRxgR,20.09.2014 15:00,Catania,Modena,0,0,54%,46%,7,4,3,0,4,4,20,21,2,3,0,0,35,25,0,3,0,0,3,6,D
pEkoNd1r,20.09.2014 15:00,Cittadella,Pescara,3,2,47%,53%,11,11,7,8,4,3,18,22,4,3,5,2,26,31,6,4,0,0,3,2,H
Egs2JE07,20.09.2014 15:00,Lanciano,Frosinone,1,5,50%,50%,16,13,7,8,9,5,16,19,6,1,0,2,28,20,3,6,0,0,3,1,A
O4lkMGGl,20.09.2014 15:00,Latina,Avellino,1,2,47%,53%,13,8,5,4,8,4,19,22,9,5,1,1,17,17,2,4,0,0,5,4,A
xKl5NZI0,20.09.2014 15:00,Perugia,L.R. Vicenza,2,2,60%,40%,13,7,6,3,7,4,20,16,8,1,1,0,26,18,1,4,0,0,3,4,D
IRmgLzWf,20.09.2014 15:00,Pro Vercelli,Varese,4,0,63%,37%,19,3,11,0,8,3,13,14,11,2,1,0,19,17,0,7,0,1,3,3,H
WUicKfo1,19.09.2014 21:00,Spezia,Entella,1,0,53%,47%,15,6,4,2,11,4,22,14,5,5,0,1,24,40,2,3,0,0,2,3,H
QT8ESIwL,19.09.2014 19:00,AC Carpi,Trapani,2,2,50%,50%,6,12,4,5,2,7,18,26,1,7,1,0,18,29,3,2,2,0,7,4,D
IofWSRX3,15.09.2014 20:30,Livorno,Latina,1,1,50%,50%,9,11,3,3,6,8,24,13,1,4,3,0,22,23,2,2,1,0,4,3,D
bTk1OF3f,14.09.2014 18:00,L.R. Vicenza,Ternana,0,1,47%,53%,8,11,3,6,5,5,21,13,2,7,2,1,28,24,5,3,0,0,2,6,A
ptjm64Qj,13.09.2014 15:00,Avellino,Spezia,0,0,53%,47%,12,9,6,4,6,5,13,12,6,1,0,0,28,23,4,6,1,0,1,3,D
bqvVUm3i,13.09.2014 15:00,Crotone,AC Carpi,1,1,55%,45%,4,9,2,5,2,4,21,21,3,7,0,1,31,17,4,1,1,0,4,2,D
hQDK6yH1,13.09.2014 15:00,Entella,Brescia,0,1,45%,55%,5,13,3,4,2,9,27,18,2,13,1,2,9,21,3,3,1,0,2,2,A
xzwZT7Ic,13.09.2014 15:00,Frosinone,Bari,1,1,49%,51%,15,8,3,5,12,3,17,27,6,3,0,0,43,22,4,2,0,0,4,4,D
dxgzSomA,13.09.2014 15:00,Modena,Pro Vercelli,1,0,59%,41%,13,5,8,4,5,1,20,15,12,3,3,1,16,25,4,7,0,1,2,3,H
jahvR52G,13.09.2014 15:00,Perugia,Catania,1,0,58%,42%,15,3,7,0,8,3,25,13,5,1,0,3,20,20,0,6,1,0,4,3,H
p0AC8cnk,13.09.2014 15:00,Trapani,Cittadella,2,1,58%,42%,14,7,10,2,4,5,27,19,6,2,1,1,21,16,1,8,0,0,1,1,H
Oj9G7H1e,13.09.2014 15:00,Varese,Lanciano,1,1,53%,47%,11,4,6,3,5,1,18,18,4,3,1,1,30,26,2,5,0,1,2,1,D
2yL79wXr,12.09.2014 20:30,Pescara,Bologna,2,3,54%,46%,10,6,8,5,2,1,19,17,6,3,1,0,30,25,2,6,1,1,5,3,A
j3ngQyZs,10.09.2014 20:30,L.R. Vicenza,Latina,0,0,48%,52%,2,9,1,4,1,5,26,20,2,8,2,2,10,21,4,1,1,0,4,4,D
zBW4gRto,07.09.2014 20:30,Bari,Perugia,0,2,44%,56%,10,13,3,7,7,6,14,19,6,4,4,1,22,16,5,3,2,0,3,1,A
IV58DnYG,07.09.2014 18:00,Pro Vercelli,Catania,3,2,44%,56%,11,10,5,5,6,5,25,18,3,3,3,2,13,22,3,2,1,1,3,4,H
ptEeGllb,07.09.2014 15:00,AC Carpi,Varese,4,2,50%,50%,12,7,7,3,5,4,25,24,6,3,1,1,25,17,1,3,0,0,2,3,H
CSFmIAJo,07.09.2014 15:00,Bologna,Entella,1,1,53%,47%,17,7,8,4,9,3,19,23,5,4,1,2,16,10,3,7,0,0,1,3,D
dGHaF834,07.09.2014 15:00,Cittadella,Avellino,3,1,50%,50%,10,8,8,4,2,4,18,18,4,6,0,0,19,21,3,5,0,0,1,3,H
Wxnq7pBp,07.09.2014 15:00,Lanciano,Modena,2,0,47%,53%,11,11,5,5,6,6,17,21,1,3,1,0,28,28,5,3,0,0,1,2,H
n5ACC6mN,07.09.2014 15:00,Spezia,Frosinone,2,1,57%,43%,11,13,2,4,9,9,27,20,8,2,0,0,24,27,3,0,0,2,2,8,H
Qe9GBQ2T,07.09.2014 15:00,Ternana,Pescara,1,1,47%,53%,13,8,9,5,4,3,17,19,3,5,4,2,31,23,4,8,0,0,2,3,D
UgocPell,07.09.2014 15:00,Trapani,L.R. Vicenza,2,1,58%,42%,7,7,6,3,1,4,29,21,15,1,0,1,31,21,2,4,1,0,2,4,H
jJEiHUYi,06.09.2014 20:30,Brescia,Livorno,0,1,51%,49%,12,8,4,5,8,3,18,20,8,4,2,1,18,18,4,4,0,0,1,4,A
vu74ESIA,06.09.2014 18:00,Latina,Crotone,1,0,51%,49%,10,9,5,4,5,5,13,24,3,5,1,0,15,14,4,4,0,0,1,4,H
4MhM1kZ4,01.09.2014 20:30,Modena,Cittadella,1,1,56%,44%,11,3,6,2,5,1,24,14,4,3,1,3,25,19,1,5,0,0,1,4,D
b7A0pl4U,30.08.2014 20:30,Avellino,Pro Vercelli,1,0,67%,33%,15,1,8,0,7,1,21,10,6,0,0,0,16,23,0,7,0,1,2,4,H
zTo65XZu,30.08.2014 20:30,Catania,Lanciano,3,3,56%,44%,20,8,7,7,13,1,20,9,6,3,0,3,22,13,4,4,1,1,6,3,D
lWkA4ikn,30.08.2014 20:30,Crotone,Ternana,0,2,54%,46%,9,13,3,4,6,9,16,14,8,2,0,0,26,24,2,3,0,0,5,4,A
Y1pwb7YT,30.08.2014 20:30,Entella,Bari,0,2,44%,56%,4,10,2,4,2,6,18,20,3,6,2,0,26,33,2,2,0,0,2,2,A
WfuF3B4h,30.08.2014 20:30,Frosinone,Brescia,1,0,54%,46%,19,9,8,1,11,8,16,17,6,4,1,1,38,24,1,7,0,0,3,3,H
AovJ2VJb,30.08.2014 20:30,Livorno,AC Carpi,1,1,57%,43%,5,8,2,5,3,3,10,26,1,4,3,0,27,20,4,1,0,0,3,2,D
QysVaT3H,30.08.2014 20:30,Pescara,Trapani,0,0,51%,49%,16,2,7,0,9,2,17,20,9,4,2,5,25,19,0,7,0,0,3,2,D
vuoZbmJN,30.08.2014 20:30,Varese,Spezia,2,1,54%,46%,10,6,7,2,3,4,21,26,6,1,0,1,34,20,1,5,0,0,2,2,H
rDiQ09lB,29.08.2014 20:30,Perugia,Bologna,2,1,59%,41%,13,8,8,4,5,4,13,14,9,3,0,2,21,15,3,6,0,2,4,4,H
