id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,result
S0VaXnOd,02.05.2015 15:00,Spezia,Brescia,4,1,51%,49%,18,8,11,4,7,4,13,10,10,4,0,2,17,30,3,7,0,0,2,2,H
dtNGT4NL,02.05.2015 15:00,Varese,Latina,1,2,43%,57%,5,10,3,7,2,3,19,17,3,7,0,0,31,33,5,2,1,0,6,0,A
tp7IK9vi,28.04.2015 20:30,AC Carpi,Bari,0,0,45%,55%,9,10,4,4,5,6,15,15,5,4,0,1,31,25,4,4,0,0,2,2,D
pOMO4O7c,28.04.2015 20:30,Brescia,L.R. Vicenza,3,0,45%,55%,12,9,4,6,8,3,16,23,2,11,0,1,25,17,6,1,0,1,2,1,H
Ik2sF58S,28.04.2015 20:30,Cittadella,Spezia,1,3,43%,57%,16,17,9,8,7,9,12,20,10,5,1,0,22,23,5,8,0,0,4,1,A
hEapCHzi,28.04.2015 20:30,Crotone,Avellino,2,0,46%,54%,7,14,5,7,2,7,11,19,6,9,3,3,29,35,7,3,0,0,2,0,H
Kbl9APGq,28.04.2015 20:30,Entella,Varese,0,1,56%,44%,19,5,6,2,13,3,19,18,5,0,3,1,25,27,1,6,1,0,3,4,A
APbZGRwG,28.04.2015 20:30,Latina,Perugia,0,0,41%,59%,4,17,1,10,3,7,18,22,3,7,2,0,25,20,10,1,1,1,6,6,D
S09UH7O9,28.04.2015 20:30,Livorno,Modena,1,1,50%,50%,19,7,8,5,11,2,11,22,9,4,0,2,31,27,4,7,0,0,2,3,D
lGcwGogM,28.04.2015 20:30,Pescara,Pro Vercelli,1,0,47%,53%,9,8,5,2,4,6,20,13,6,8,2,2,31,43,2,4,0,0,3,1,H
Ec5QIm93,28.04.2015 20:30,Ternana,Frosinone,0,1,53%,47%,10,7,6,1,4,6,14,18,10,2,1,2,39,33,0,6,0,0,1,2,A
2NwE9qWk,28.04.2015 20:30,Trapani,Lanciano,1,0,50%,50%,7,10,3,4,4,6,17,15,9,5,0,0,25,21,4,2,0,0,2,2,H
Kz6MJTgc,27.04.2015 20:30,Bologna,Catania,2,0,54%,46%,15,4,7,3,8,1,19,16,5,3,1,0,16,24,3,5,0,1,3,7,H
EN0tDcLp,25.04.2015 15:00,Avellino,Entella,1,1,56%,44%,12,12,6,6,6,6,19,24,11,3,4,3,26,17,5,5,0,0,4,2,D
WzTlNsqh,25.04.2015 15:00,Brescia,Cittadella,0,0,58%,42%,13,9,8,6,5,3,15,18,4,3,0,0,31,15,6,8,0,1,2,1,D
K0PpONTo,25.04.2015 15:00,Frosinone,AC Carpi,1,0,51%,49%,15,10,3,2,12,8,19,21,4,3,3,0,21,23,2,2,0,0,4,4,H
6XNK54hi,25.04.2015 15:00,L.R. Vicenza,Varese,1,0,51%,49%,9,5,6,1,3,4,20,22,6,5,1,0,20,25,1,5,0,0,3,6,H
0GK5JarH,25.04.2015 15:00,Lanciano,Pescara,0,1,57%,43%,16,4,7,1,9,3,24,17,1,3,1,3,31,15,0,7,2,0,6,1,A
EaIgM1bb,25.04.2015 15:00,Modena,Crotone,3,0,54%,46%,12,10,8,4,4,6,17,18,3,6,0,0,20,15,4,5,0,1,2,3,H
MPL1KuTA,25.04.2015 15:00,Perugia,Livorno,1,1,61%,39%,10,3,3,2,7,1,29,11,5,1,2,9,23,20,1,2,0,0,1,2,D
hjHcLLD4,25.04.2015 15:00,Pro Vercelli,Latina,1,1,52%,48%,12,13,6,8,6,5,18,24,9,6,0,0,28,30,7,5,1,0,4,2,D
