id,date,home_team,away_team,home_goals,away_goals,Expected Goals (xG)_home,Expected Goals (xG)_away,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Clearances Completed_home,Clearances Completed_away,Crosses Completed_home,Crosses Completed_away,Red Cards_home,Red Cards_away,result
voI4sVxI,10.02.2024 16:15,Bari,Lecco,3,1,0.92,1.55,45%,55%,10,12,3,3,5,7,2,2,13,14,4,9,1,3,22,31,2,0,10,10,3,2,330,397,260,325,25,15,70,104,35,55,18,9,12,26,0,0,H
Y7H8tkhO,10.02.2024 16:15,Catanzaro,Ascoli,3,2,1.84,0.37,71%,29%,11,10,2,3,5,5,4,2,25,19,4,4,1,2,17,17,1,0,21,18,5,4,590,237,503,141,7,18,106,108,46,26,16,26,25,17,0,1,H
dMlVcjNb,10.02.2024 16:15,Pisa,Sampdoria,2,0,0.87,0.33,61%,39%,10,8,4,2,6,2,0,4,19,16,2,3,0,3,22,15,2,2,15,15,3,5,567,353,502,289,8,15,103,82,35,39,10,12,15,12,0,1,H
prLCu97U,10.02.2024 14:00,Cittadella,Parma,1,2,2.22,1.83,57%,43%,23,16,3,4,12,10,8,2,13,9,6,4,5,2,16,21,2,2,13,10,2,2,446,343,346,241,19,20,111,97,61,41,5,18,31,5,0,0,A
A5nJ0hwt,10.02.2024 14:00,Cremonese,Reggiana,1,1,1.56,0.68,58%,42%,23,12,7,2,7,7,9,3,8,21,9,4,1,0,17,15,1,6,7,20,5,1,472,359,385,291,22,10,123,98,76,28,11,38,35,10,1,0,D
ldoNaChn,10.02.2024 14:00,FeralpiSalo,Palermo,1,2,2.19,1.56,47%,53%,27,13,8,4,10,8,9,1,10,8,10,4,0,0,26,18,2,7,10,9,1,4,352,404,267,326,8,8,95,91,60,45,20,27,28,24,0,0,A
IVkRbW7h,10.02.2024 14:00,Modena,Cosenza,1,1,0.58,0.44,50%,50%,10,9,5,3,5,4,0,2,14,16,2,1,2,0,23,22,2,4,14,13,3,3,373,378,297,301,16,13,90,91,31,35,18,20,20,20,0,1,D
vovzcAx5,10.02.2024 14:00,Sudtirol,Venezia,0,3,0.73,2.10,49%,51%,12,14,2,4,7,6,3,4,14,20,5,3,0,0,14,13,1,2,15,18,7,2,491,508,407,440,12,15,109,82,46,38,14,18,19,13,1,0,A
ldXIZc63,09.02.2024 20:30,Como,Brescia,1,0,0.90,0.31,54%,46%,14,9,3,1,5,5,6,3,21,22,4,3,3,3,27,26,1,2,15,17,2,4,452,380,356,290,18,22,102,98,45,39,16,8,14,15,0,0,H
KMrSTB8I,04.02.2024 16:15,Ascoli,Sudtirol,1,2,0.71,1.33,48%,52%,11,7,3,2,5,0,3,5,22,16,2,1,0,0,26,21,0,2,20,17,1,4,362,405,259,285,17,12,118,107,74,38,16,40,28,16,0,0,A
