id,date,home_team,away_team,home_goals,away_goals,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Ball Possession_home,Ball Possession_away,Completed Passes_home,Completed Passes_away,Throw-ins_home,Throw-ins_away,result
YX0IOo0j,27.04.2019 15:00,Salernitana,AC Carpi,2,5,11,15,4,5,7,10,28,14,9,1,2,5,1,2,12,22,1,0,1,1,443,377,9,1,132,99,51,45,,,,,,,A
j9V2WcJd,27.04.2019 15:00,Venezia,Crotone,1,4,8,18,3,8,5,10,11,24,7,7,4,1,4,2,21,10,1,0,5,2,345,595,11,18,76,135,31,60,,,,,,,A
COaMN5Fd,26.04.2019 21:00,Benevento,Cosenza,4,2,16,8,10,7,6,1,16,21,5,4,4,2,5,6,17,14,0,0,2,2,496,368,8,12,97,106,26,35,,,,,,,H
zwJVXkw4,22.04.2019 21:00,AC Carpi,Pescara,0,0,16,10,6,4,10,6,9,20,5,6,1,2,4,6,19,9,0,0,2,3,401,622,9,8,124,114,46,65,,,,,,,D
MgLsVmNM,22.04.2019 21:00,Ascoli,Venezia,1,0,12,14,5,4,7,10,19,10,3,3,1,5,4,4,9,16,0,0,2,3,451,516,6,11,101,147,43,56,,,,,,,H
nHxyC8Gp,22.04.2019 21:00,Cittadella,Cremonese,1,3,11,9,3,7,8,2,17,16,8,4,3,1,4,2,13,16,0,0,4,2,595,249,15,1,143,86,97,39,,,,,,,A
r3MwWT7G,22.04.2019 21:00,Cosenza,Spezia,1,0,23,9,8,3,15,6,7,20,9,5,0,0,3,7,20,7,0,1,3,2,478,528,7,0,126,104,59,19,,,,,,,H
vBPMZB8i,22.04.2019 21:00,Foggia,Livorno,2,2,17,14,8,5,9,9,18,15,5,5,3,2,3,6,14,15,1,0,3,5,407,304,4,0,92,114,35,43,,,,,,,D
hETQYVNc,22.04.2019 21:00,Palermo,Padova,1,1,15,11,6,3,9,8,14,20,12,1,3,0,2,5,17,14,0,0,3,3,437,308,5,6,146,71,82,27,,,,,,,D
Q7yuBSVj,22.04.2019 21:00,Perugia,Lecce,1,2,6,8,3,5,3,3,8,22,10,5,1,0,3,2,21,8,0,0,3,1,554,444,8,0,144,90,60,30,,,,,,,A
ETHZW9hA,22.04.2019 18:00,Brescia,Salernitana,3,0,12,15,3,6,9,9,15,15,5,8,2,0,6,1,13,14,0,0,2,1,444,446,13,6,104,150,40,61,,,,,,,H
MLsFTznI,22.04.2019 15:00,Verona,Benevento,0,3,23,15,5,5,18,10,24,17,10,2,0,3,2,5,15,22,0,0,2,2,514,369,7,3,134,68,81,27,,,,,,,A
