id,date,home_team,away_team,home_goals,away_goals,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Ball Possession_home,Ball Possession_away,Throw-ins_home,Throw-ins_away,result
f3gpfTK9,28.04.2018 15:00,Empoli,Novara,1,1,7,7,2,4,5,3,7,9,4,4,0,0,3,1,9,7,0,0,1,1,737,352,19,4,160,96,88,56,55%,45%,,,D
2Tdhh7kM,28.04.2018 15:00,Pro Vercelli,Parma,1,0,4,7,2,1,2,6,15,16,6,4,3,5,1,3,13,10,0,0,2,1,380,404,12,11,111,122,64,78,54%,46%,,,H
SjIkYobj,28.04.2018 15:00,Salernitana,Brescia,4,2,8,16,7,6,1,10,16,18,4,4,3,1,4,3,15,15,1,0,4,2,260,353,17,8,113,166,81,129,43%,57%,,,H
6sHgX5Dd,28.04.2018 15:00,Spezia,Cremonese,1,0,6,5,3,0,3,5,21,23,2,6,3,2,0,2,20,19,1,0,4,4,474,380,5,13,107,110,73,83,43%,57%,,,H
MDwPnoDq,28.04.2018 15:00,Ternana,Pescara,0,3,9,13,2,7,7,6,15,13,9,3,1,2,4,2,12,13,0,0,1,3,385,492,14,8,110,105,70,62,45%,55%,,,A
04xTo5Sk,27.04.2018 21:00,Bari,Entella,1,0,12,6,5,2,7,4,10,22,4,8,2,1,2,4,20,9,0,0,3,4,549,385,12,13,190,148,119,105,54%,46%,,,H
86clgmzG,27.04.2018 19:00,Venezia,Palermo,3,0,10,12,3,3,7,9,12,11,4,6,2,3,3,1,9,9,0,0,,,226,573,17,14,70,107,53,99,45%,55%,,,H
vRq2sjy4,23.04.2018 20:30,Frosinone,Empoli,2,4,11,14,4,6,7,8,13,14,3,4,0,3,2,2,14,10,0,0,0,1,333,561,10,10,141,192,86,125,45%,55%,,,A
zgwBuU5G,22.04.2018 17:30,Pescara,Spezia,3,2,10,8,5,4,5,4,17,15,5,6,0,0,2,2,15,16,0,0,2,2,414,44,5,13,125,113,61,46,59%,41%,,,H
EqxFvlLM,22.04.2018 15:00,Perugia,Ternana,2,3,5,12,3,4,2,8,11,21,4,7,4,0,1,1,17,11,0,0,2,1,372,442,10,5,78,98,44,71,43%,57%,,,A
YTtfqC6i,21.04.2018 15:00,Brescia,Cesena,0,0,14,9,4,2,10,7,16,21,5,3,3,1,2,4,18,15,0,0,2,3,444,419,18,21,182,171,112,102,56%,44%,,,D
MkDyRUjN,21.04.2018 15:00,Cremonese,Ascoli,1,2,9,11,2,4,7,7,17,22,4,4,3,2,2,1,19,15,0,0,3,1,421,304,12,8,130,101,65,40,48%,52%,,,A
IHr6tAjA,21.04.2018 15:00,Entella,Pro Vercelli,3,2,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,H
hY37L8Ep,21.04.2018 15:00,Foggia,Bari,1,1,6,11,2,2,4,9,14,14,6,1,0,3,1,1,14,11,0,0,2,1,496,415,19,12,94,90,53,44,57%,43%,,,D
86yJw8zT,21.04.2018 15:00,Novara,Venezia,1,3,14,9,5,5,9,4,19,18,7,8,1,1,2,4,17,18,0,0,3,1,485,318,6,9,106,90,87,50,47%,53%,,,A
0tCuQl6T,21.04.2018 15:00,Palermo,Avellino,3,0,7,18,2,3,5,15,9,17,2,3,2,3,3,0,15,6,0,0,1,3,420,490,23,12,88,99,65,76,55%,45%,,,H
WO2BKSTj,21.04.2018 15:00,Parma,AC Carpi,2,1,10,12,4,1,6,11,19,17,3,2,5,2,0,2,12,17,0,0,2,1,437,410,10,9,96,106,57,87,52%,48%,,,H
p4pbrWLc,21.04.2018 15:00,Salernitana,Cittadella,1,3,10,9,3,4,7,5,19,9,5,5,0,1,1,2,9,18,0,0,4,3,376,476,8,22,93,96,69,88,47%,53%,,,A
hALKUCib,17.04.2018 20:30,AC Carpi,Perugia,1,2,10,9,3,3,7,6,19,27,4,3,3,3,1,2,24,16,0,0,2,3,363,478,7,8,117,137,114,78,42%,58%,,,A
MHZ8PHFI,17.04.2018 20:30,Avellino,Frosinone,0,2,7,14,4,3,3,11,18,21,3,10,1,4,1,4,20,13,0,0,1,1,394,398,17,2,96,88,74,79,51%,49%,,,A
Yg2x8kpo,17.04.2018 20:30,Bari,Novara,1,1,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,D
02o0Rwo6,17.04.2018 20:30,Cesena,Empoli,2,3,15,5,6,3,9,2,15,15,7,2,1,5,0,4,14,12,0,0,2,1,376,599,12,14,87,99,81,52,55%,45%,,,A
ncjKWYMo,17.04.2018 20:30,Cittadella,Palermo,0,0,11,8,3,3,8,5,21,21,4,2,5,4,3,3,15,18,0,0,1,4,444,431,12,9,97,90,93,72,48%,52%,,,D
QNJSSjMA,17.04.2018 20:30,Cremonese,Salernitana,1,1,14,10,6,2,8,8,15,19,6,5,3,0,1,5,16,15,0,1,3,6,445,229,12,8,123,95,65,43,52%,48%,,,D
