id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Red Cards_home,Red Cards_away,Throw-ins_home,Throw-ins_away,Blocked Shots_home,Blocked Shots_away,Goal Kicks_home,Goal Kicks_away,result
8byFS8zD,29.04.2017 15:00,Ternana,AC Carpi,0,0,56%,44%,10,12,1,4,9,8,18,8,7,8,1,2,4,1,7,16,2,3,0,0,23,24,,,11,17,D
jwVXrUKg,29.04.2017 15:00,Trapani,Entella,2,0,53%,47%,13,6,7,3,6,3,18,11,4,9,4,2,3,5,7,16,1,4,0,0,27,27,,,9,10,H
vJqbWjyl,25.04.2017 20:30,AC Carpi,Trapani,2,1,44%,56%,11,10,2,1,9,9,16,14,2,8,2,3,0,0,12,13,2,1,0,0,,,,,,,H
nV7XFVj7,25.04.2017 20:30,Perugia,Verona,1,1,54%,46%,15,7,6,3,9,4,19,8,5,6,1,4,2,5,7,15,1,1,0,0,,,,,,,D
v54PHiMf,25.04.2017 18:00,Cesena,Benevento,4,1,49%,51%,12,9,6,7,6,2,19,18,7,5,5,3,6,2,13,16,3,3,0,0,,,,,,,H
IkGGJDir,25.04.2017 15:00,Ascoli,Avellino,2,0,48%,52%,9,6,4,2,5,4,22,29,5,5,1,6,2,2,28,16,1,4,0,0,,,,,,,H
dffgXWLs,25.04.2017 15:00,Brescia,Ternana,2,1,52%,48%,14,10,5,6,9,4,18,14,4,3,0,3,5,3,14,15,1,1,0,0,,,,,,,H
QL6yFk6D,25.04.2017 15:00,Entella,Latina,0,1,51%,49%,8,11,3,3,5,8,14,30,7,3,8,1,2,3,22,13,2,2,0,0,,,,,,,A
zilSyDDQ,25.04.2017 15:00,Frosinone,Spezia,2,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,H
tUlOxgbK,25.04.2017 15:00,Pisa,Pro Vercelli,1,1,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,D
h88TGBy1,25.04.2017 15:00,Spal,Cittadella,2,1,51%,49%,5,8,4,4,1,4,26,12,2,7,2,3,3,2,10,23,1,4,0,0,,,,,,,H
dtFKIX6l,25.04.2017 12:30,Salernitana,Bari,0,0,51%,49%,6,6,5,2,1,4,18,22,6,1,1,0,2,5,21,18,4,2,0,0,,,,,,,D
2wjKwZrE,24.04.2017 20:30,L.R. Vicenza,Novara,3,1,54%,46%,16,5,7,3,9,2,12,11,8,5,3,0,2,4,9,12,1,1,0,0,31,28,,,6,14,H
xYw5O2wA,22.04.2017 15:00,Ascoli,Brescia,0,0,49%,51%,9,10,6,1,3,9,25,18,4,1,1,1,1,6,17,24,0,5,0,0,,,,,,,D
WWWDMt8M,22.04.2017 15:00,Avellino,Cesena,1,1,40%,60%,6,14,3,6,3,8,18,20,3,6,1,1,5,2,19,17,3,2,1,0,,,,,,,D
S2IqHKVq,22.04.2017 15:00,Bari,Verona,0,2,46%,54%,8,7,4,4,4,3,17,20,3,7,3,0,2,4,17,17,5,3,1,1,,,,,,,A
KdT9NMhG,22.04.2017 15:00,Cittadella,AC Carpi,4,1,63%,37%,6,7,5,1,1,6,20,26,1,5,1,0,0,1,25,20,4,2,0,2,,,,,,,H
jy4vw2h3,22.04.2017 15:00,Latina,Spal,1,2,46%,54%,9,6,4,4,5,2,10,28,6,3,1,0,2,3,27,10,1,3,0,1,,,,,,,A
xYazvrwc,22.04.2017 15:00,Pro Vercelli,Salernitana,0,0,48%,52%,7,7,3,2,4,5,23,20,7,5,2,2,2,3,18,21,1,2,0,0,,,,,,,D
YagqxM79,22.04.2017 15:00,Spezia,Entella,2,0,53%,47%,7,6,6,3,1,3,15,23,3,5,3,1,3,4,20,14,1,1,0,0,,,,,,,H
QgWHL0NS,22.04.2017 15:00,Ternana,Frosinone,2,0,49%,51%,7,12,3,7,4,5,16,23,2,5,0,1,7,1,23,15,1,3,0,0,,,,,,,H
OUBhFb0d,22.04.2017 15:00,Trapani,Pisa,1,0,54%,46%,8,3,3,0,5,3,28,24,7,3,2,4,0,2,22,24,3,2,0,0,,,,,,,H
CjhmytNF,21.04.2017 21:00,Benevento,L.R. Vicenza,0,0,53%,47%,13,13,3,4,10,9,15,14,4,5,1,6,4,3,14,9,4,2,0,0,,,,,,,D
pvDlGvoj,21.04.2017 19:00,Novara,Perugia,0,1,48%,52%,5,10,2,3,3,7,15,20,3,2,7,3,2,2,13,12,3,1,0,0,,,,,,,A
jHygR4gi,17.04.2017 20:30,Cesena,Spezia,1,0,58%,42%,11,4,5,0,6,4,23,13,5,2,2,1,0,4,11,22,2,5,0,1,,,,,,,H
v3wWBPg4,17.04.2017 18:00,Pisa,Avellino,0,1,63%,37%,7,5,1,4,6,1,23,21,5,5,0,3,3,1,21,20,2,5,0,0,,,,,,,A
YPxzBq9A,17.04.2017 15:00,AC Carpi,Bari,2,0,53%,47%,6,6,2,3,4,3,21,29,3,2,2,1,3,0,27,20,4,2,0,0,,,,,,,H
CGyvA3OG,17.04.2017 15:00,Brescia,Benevento,1,0,54%,46%,6,16,2,9,4,7,24,20,4,7,3,2,9,1,17,22,4,1,0,0,,,,,,,H
U7zcQO8c,17.04.2017 15:00,Entella,Ternana,1,1,46%,54%,12,10,3,6,9,4,11,15,9,7,3,0,5,2,12,11,2,2,0,0,,,,,,,D
z9g6311p,17.04.2017 15:00,Frosinone,Novara,2,3,55%,45%,11,10,9,5,2,5,20,14,7,0,2,1,2,7,12,19,3,4,0,0,,,,,,,A
lCcA2LGj,17.04.2017 15:00,L.R. Vicenza,Pro Vercelli,0,1,60%,40%,11,3,5,3,6,0,27,25,14,3,4,1,2,5,21,26,0,4,0,0,,,,,,,A
QaZRC5vb,17.04.2017 15:00,Perugia,Ascoli,0,0,56%,44%,12,11,7,4,5,7,26,25,3,3,2,5,4,7,23,20,4,1,1,0,27,16,,,,,D
IT6v8sgT,17.04.2017 15:00,Salernitana,Latina,2,1,55%,45%,19,8,10,2,9,6,21,22,9,3,4,1,1,8,18,20,0,5,0,0,,,,,,,H
vw8z9NwN,17.04.2017 15:00,Verona,Cittadella,2,0,54%,46%,4,10,4,3,0,7,16,12,4,2,2,2,3,2,10,14,1,0,0,0,,,,,,,H
bsu1PrO3,17.04.2017 12:30,Spal,Trapani,2,1,58%,42%,17,9,12,5,5,4,21,11,6,3,2,3,4,10,9,18,1,4,0,0,25,16,,,,,H
KMC0dpfH,10.04.2017 20:30,Novara,Verona,2,2,44%,56%,8,8,4,5,4,3,13,21,6,4,5,1,3,2,16,12,3,0,0,0,,,,,,,D
GUiyjrXp,09.04.2017 17:30,Brescia,Spal,1,3,52%,48%,16,13,7,8,9,5,17,26,13,5,4,1,5,6,22,16,1,2,0,0,,,,,,,A
QaDdcQvB,08.04.2017 15:00,Ascoli,Frosinone,1,1,42%,58%,7,21,2,11,5,10,15,24,0,9,1,0,10,1,23,15,3,3,0,0,,,,,,,D
UXJmanAb,08.04.2017 15:00,Avellino,AC Carpi,1,0,54%,46%,9,14,8,6,1,8,23,20,5,5,6,0,6,7,14,23,0,3,0,0,,,,,,,H
jsLq0Sfh,08.04.2017 15:00,Cittadella,Benevento,1,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,H
rypNDoPi,08.04.2017 15:00,Latina,L.R. Vicenza,0,1,46%,54%,10,9,3,4,7,5,18,15,2,8,0,0,3,3,15,18,2,2,0,0,,,,,,,A
n9Ehb6P4,08.04.2017 15:00,Pisa,Cesena,0,1,43%,57%,4,5,1,3,3,2,28,31,1,5,2,2,2,1,29,26,0,3,0,0,,,,,,,A
4poJER9o,08.04.2017 15:00,Pro Vercelli,Entella,1,0,50%,50%,11,9,7,4,4,5,20,12,5,6,2,0,4,6,10,20,2,1,0,0,,,,,,,H
dKLu18un,08.04.2017 15:00,Spezia,Bari,1,0,48%,52%,5,2,1,1,4,1,20,37,2,1,2,0,1,0,35,20,2,6,0,1,,,,,,,H
EL59fOOT,08.04.2017 15:00,Ternana,Salernitana,1,0,50%,50%,8,8,4,6,4,2,17,20,3,6,4,3,6,3,16,14,3,3,0,1,,,,,,,H
WdG4e49N,08.04.2017 15:00,Trapani,Perugia,3,0,45%,55%,9,11,5,4,4,7,14,11,7,4,0,3,4,2,11,11,3,3,0,1,,,,,,,H
WxhNrRPH,04.04.2017 20:30,AC Carpi,Pro Vercelli,0,0,51%,49%,10,4,6,1,4,3,13,16,12,5,0,1,1,6,16,12,2,2,0,0,,,,,,,D
dKaAoTua,04.04.2017 20:30,Bari,Latina,2,0,50%,50%,14,11,6,5,8,6,17,18,6,4,2,0,5,4,16,17,1,2,0,0,,,,,,,H
IgjVt5fU,04.04.2017 20:30,Benevento,Ternana,2,1,49%,51%,4,7,2,1,2,6,15,15,4,7,2,0,0,0,13,15,1,3,0,0,,,,,,,H
O612mkBn,04.04.2017 20:30,Cesena,Brescia,1,1,55%,45%,17,5,9,4,8,1,23,18,5,3,0,1,3,8,18,22,2,4,0,0,,,,,,,D
U5qU5cRD,04.04.2017 20:30,Entella,Ascoli,2,1,49%,51%,14,18,7,6,7,12,12,18,4,12,6,0,5,5,12,12,0,1,0,0,,,,,,,H
rHHy2lQu,04.04.2017 20:30,L.R. Vicenza,Trapani,0,1,52%,48%,4,9,1,6,3,3,28,19,2,8,2,1,5,1,17,27,2,6,0,0,,,,,,,A
hngJq7AB,04.04.2017 20:30,Perugia,Pisa,2,2,56%,44%,6,4,4,3,2,1,23,23,8,3,0,4,1,2,23,19,3,2,0,0,,,,,,,D
2c06n9Qh,04.04.2017 20:30,Salernitana,Cittadella,0,0,48%,52%,12,5,4,0,8,5,14,13,6,4,0,2,0,4,13,12,1,4,0,0,,,,,,,D
AN3Epme5,04.04.2017 20:30,Spal,Novara,2,0,47%,53%,15,8,6,2,9,6,9,13,3,3,2,0,2,4,11,9,2,2,0,0,,,,,,,H
v3iRsouO,04.04.2017 20:30,Verona,Spezia,0,1,50%,50%,8,9,3,2,5,7,16,16,8,2,1,3,1,3,15,13,2,3,0,0,,,,,,,A
6V6clVet,03.04.2017 20:30,Frosinone,Avellino,1,1,57%,43%,11,6,4,2,7,4,19,15,7,3,0,2,1,3,15,17,2,1,0,0,,,,,,,D
zV4ihvcE,01.04.2017 15:00,Ascoli,AC Carpi,1,2,55%,45%,9,8,4,4,5,4,23,15,3,6,,,2,3,,,3,4,1,0,14,17,,,,,A
IHxqrfZ6,01.04.2017 15:00,Brescia,Entella,2,2,57%,43%,20,8,8,4,12,4,17,11,9,1,,,2,6,,,2,2,0,0,28,14,,,,,D
Ui4eibCK,01.04.2017 15:00,Latina,Cittadella,0,2,45%,55%,11,19,4,13,7,6,24,17,2,2,,,11,4,,,2,4,0,0,40,28,,,,,A
zgmvqzK0,01.04.2017 15:00,Novara,Ternana,1,2,55%,45%,21,10,11,6,10,4,14,18,11,1,,,4,10,,,3,2,0,0,23,19,,,,,A
G2ensElD,01.04.2017 15:00,Perugia,L.R. Vicenza,1,0,57%,43%,11,1,5,1,6,0,17,15,7,4,,,1,4,,,2,3,0,1,19,23,,,,,H
SSqWpdkl,01.04.2017 15:00,Pisa,Salernitana,0,1,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,A
fJDEpSw8,01.04.2017 15:00,Pro Vercelli,Bari,1,0,47%,53%,8,8,5,3,3,5,21,19,5,4,,,3,4,,,1,2,0,0,25,39,,,,,H
dv6mgKs8,01.04.2017 15:00,Spezia,Benevento,1,3,54%,46%,11,5,4,4,7,1,19,13,3,3,,,1,3,,,3,3,0,0,38,23,,,,,A
lxoSoxzr,01.04.2017 15:00,Trapani,Verona,0,2,55%,45%,7,10,4,6,3,4,20,15,4,2,,,4,4,,,2,5,0,0,41,23,,,,,A
re8ajIRQ,31.03.2017 21:00,Cesena,Frosinone,1,1,51%,49%,9,4,2,3,7,1,22,22,5,2,2,4,2,1,20,18,3,3,0,0,,,,,,,D
d2lzpG4f,31.03.2017 19:00,Avellino,Spal,1,0,44%,56%,7,5,4,3,3,2,18,20,5,4,2,1,3,3,18,17,3,2,0,0,,,,,,,H
feVRgWGL,26.03.2017 20:30,Bari,Novara,0,0,54%,46%,14,4,4,0,10,4,21,15,7,1,2,2,0,4,13,19,4,3,0,0,,,,,,,D
OUZVhjWR,26.03.2017 15:00,AC Carpi,Perugia,0,0,38%,62%,6,4,3,3,3,1,26,25,2,3,4,2,3,3,21,24,1,3,0,0,,,,,,,D
YusJehn9,26.03.2017 15:00,Entella,Cesena,2,1,50%,50%,9,8,8,3,1,5,25,21,3,12,5,1,2,6,16,24,3,2,0,0,,,,,,,H
M5wFdYW2,26.03.2017 15:00,L.R. Vicenza,Brescia,1,1,53%,47%,13,11,5,1,8,10,21,22,10,6,4,1,0,4,18,20,3,2,0,1,,,,,,,D
82B2mUgk,26.03.2017 15:00,Latina,Pro Vercelli,0,0,47%,53%,9,5,3,1,6,4,25,20,4,5,4,2,1,3,16,23,2,2,1,0,,,,,,,D
UBjTYUvd,26.03.2017 15:00,Salernitana,Ascoli,2,0,49%,51%,18,5,10,2,8,3,20,32,6,1,3,1,2,8,29,19,4,2,0,1,,,,,,,H
