id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,Throw-ins_home,Throw-ins_away,Goal Kicks_home,Goal Kicks_away,result
SCTSjIA0,03.07.2020 21:00,Cremonese,Pescara,1,0,28%,72%,9,14,2,4,7,10,15,19,2,5,0,4,4,1,20,12,2,2,314,694,18,11,103,159,41,61,0,0,,,,,H
Slot0MmE,03.07.2020 21:00,Crotone,Benevento,3,0,52%,48%,7,11,4,2,3,9,12,13,4,4,1,0,2,1,12,12,3,5,535,493,14,10,86,120,29,39,0,0,,,,,H
thkpat3K,03.07.2020 21:00,Entella,Chievo,1,1,35%,65%,13,21,5,9,8,12,17,16,2,5,1,2,8,4,16,15,3,2,367,622,18,17,114,123,36,50,0,0,,,,,D
8MyykduD,03.07.2020 21:00,Frosinone,Spezia,2,1,51%,49%,12,6,3,0,9,6,16,16,3,1,5,2,0,1,15,15,1,2,470,445,12,12,128,94,51,23,0,0,,,,,H
QcnWkxQ6,03.07.2020 21:00,Perugia,Pordenone,1,2,75%,25%,13,9,1,4,12,5,17,17,3,5,1,1,2,0,16,16,4,4,638,270,13,10,113,77,50,50,1,0,,,,,A
faVKhvtl,03.07.2020 21:00,Salernitana,Juve Stabia,2,1,35%,65%,13,18,6,6,7,12,24,14,3,9,1,2,5,4,19,22,4,7,245,420,7,9,55,118,20,50,2,0,,,,,H
YkUOibef,03.07.2020 21:00,Trapani,Livorno,2,1,51%,49%,20,6,6,2,14,4,22,19,4,0,1,2,1,4,19,20,3,5,467,431,15,15,73,76,50,39,0,0,,,,,H
xOzGgKQs,03.07.2020 21:00,Venezia,Empoli,0,2,42%,58%,13,17,3,10,10,7,16,21,2,6,1,5,8,3,20,11,1,2,415,543,14,11,82,106,38,50,0,0,,,,,A
zFllb0IQ,03.07.2020 18:45,Pisa,Cittadella,2,0,34%,66%,6,14,4,2,2,12,13,17,1,7,1,4,2,2,28,19,4,2,226,401,8,14,77,102,29,79,0,0,,,,,H
xd0d0Vsc,29.06.2020 21:00,Ascoli,Crotone,1,1,29%,71%,6,18,2,3,4,15,13,16,3,6,3,0,2,1,14,14,4,2,297,607,17,14,86,136,21,42,0,0,,,,,D
CEh9cTRF,29.06.2020 21:00,Benevento,Juve Stabia,1,0,43%,57%,10,10,3,3,7,7,15,10,4,5,1,0,3,2,9,15,2,2,366,481,14,13,96,100,38,35,1,0,,,,,H
YNg5b9C9,29.06.2020 21:00,Chievo,Frosinone,2,0,51%,49%,17,8,7,1,10,7,18,15,6,2,2,0,1,5,13,17,3,1,524,498,16,15,126,117,54,48,0,0,,,,,H
4AGxt1dr,29.06.2020 21:00,Cittadella,Perugia,2,0,40%,60%,11,11,1,4,10,7,22,15,5,5,2,5,4,0,16,17,3,2,301,450,21,19,90,104,30,57,0,0,,,,,H
0xAovuRf,29.06.2020 21:00,Cosenza,Trapani,2,2,65%,35%,10,8,8,5,2,3,16,16,14,3,1,0,3,6,17,15,3,4,560,290,11,17,133,79,55,51,0,1,,,,,D
vT8kwat1,29.06.2020 21:00,Livorno,Venezia,0,2,45%,55%,13,12,2,5,11,7,16,21,5,4,3,0,3,2,16,16,1,1,462,537,24,29,102,112,57,48,0,0,,,,,A
Gna0akc3,29.06.2020 21:00,Pescara,Empoli,1,1,39%,61%,14,10,3,3,11,7,21,11,3,3,3,1,2,2,8,21,2,2,430,627,9,14,79,137,36,54,0,0,,,,,D
ng8gxJe7,29.06.2020 21:00,Pordenone,Entella,2,0,38%,62%,13,17,5,3,8,14,18,17,2,12,1,2,3,3,14,16,3,3,337,522,9,16,108,113,31,61,0,0,,,,,H
IDKtuLBl,29.06.2020 21:00,Spezia,Pisa,1,2,63%,37%,12,8,2,4,10,4,12,15,5,3,0,2,2,1,16,10,4,0,616,361,10,16,143,89,53,27,0,0,,,,,A
OhCEyn5d,29.06.2020 18:45,Salernitana,Cremonese,3,3,73%,27%,14,13,5,9,9,4,18,21,10,4,2,4,6,2,19,16,3,3,597,257,10,13,134,69,56,25,1,1,,,,,D
