id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,Free Kicks_home,Free Kicks_away,Throw-ins_home,Throw-ins_away,Completed Passes_home,Completed Passes_away,result
buM3XsOI,29.02.2020 18:00,Antalyaspor,Fenerbahce,2,2,39%,61%,12,17,4,4,4,10,4,3,8,2,4,2,2,2,15,10,6,1,352,536,11,18,73,90,62,60,1,0,,,,,,,D
jZ8keoGP,29.02.2020 15:00,Trabzonspor,Rizespor,5,2,57%,43%,17,18,6,3,7,8,4,7,6,3,1,2,1,1,11,8,3,2,456,350,14,17,116,95,71,53,1,0,,,,,,,H
xWK7W1wP,29.02.2020 12:00,Konyaspor,Kasimpasa,0,0,60%,40%,10,8,3,0,4,3,3,5,8,4,1,1,0,3,14,12,1,0,571,383,12,16,128,99,76,50,0,0,,,,,,,D
Sf0Hj5Ot,28.02.2020 18:00,Alanyaspor,Besiktas,1,2,42%,58%,8,18,2,5,5,7,1,6,4,5,3,6,3,1,10,11,1,0,393,545,16,8,88,94,55,82,0,0,,,,,,,A
AcEownfs,24.02.2020 18:00,Kasimpasa,Denizlispor,2,0,51%,49%,14,8,5,3,5,4,4,1,8,6,2,0,3,3,11,13,2,1,471,452,19,11,89,78,66,68,0,0,,,,,,,H
lzYGN6ff,24.02.2020 18:00,Rizespor,Basaksehir,1,2,47%,53%,17,21,6,5,9,10,2,6,4,2,1,2,3,5,11,14,0,1,428,464,16,8,94,97,53,67,0,0,,,,,,,A
llDkx69m,23.02.2020 17:00,Fenerbahce,Galatasaray,1,3,55%,45%,10,14,4,7,3,6,3,1,6,4,2,2,4,3,22,14,5,7,389,326,8,7,95,69,72,64,2,1,,,,,,,A
vPQTK4vD,23.02.2020 14:00,Genclerbirligi,Ankaragucu,1,0,65%,35%,14,10,5,5,6,3,3,2,6,2,2,4,5,4,20,15,3,3,467,263,15,19,128,93,90,51,0,0,,,,,,,H
p2RPLpP6,23.02.2020 11:30,Yeni Malatyaspor,Antalyaspor,1,2,70%,30%,18,9,8,3,9,4,1,2,5,2,5,1,2,7,10,14,2,2,584,208,7,19,127,80,112,45,0,1,,,,,,,A
vFNFr8WJ,22.02.2020 18:00,Besiktas,Trabzonspor,2,2,63%,37%,29,9,9,3,13,4,7,2,14,5,2,2,1,7,12,17,2,2,486,303,12,11,112,86,109,65,0,0,,,,,,,D
6BSLMQ90,22.02.2020 15:00,Goztepe,Gaziantep,1,1,51%,49%,12,15,4,5,6,8,2,2,6,12,3,0,4,3,13,11,2,3,359,353,16,17,97,75,86,83,0,0,,,,,,,D
I5MJsSoQ,22.02.2020 12:00,Kayserispor,Konyaspor,2,2,66%,34%,17,11,6,4,8,7,3,0,8,1,0,1,2,4,15,15,3,5,564,304,11,17,126,88,99,44,0,0,,,,,,,D
xAqXJOgJ,21.02.2020 18:00,Sivasspor,Alanyaspor,1,0,46%,54%,5,11,2,4,3,7,,,3,6,4,1,4,1,17,13,5,2,,,,,98,128,63,93,0,0,14,21,24,37,,,H
