id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,Free Kicks_home,Free Kicks_away,Throw-ins_home,Throw-ins_away,Completed Passes_home,Completed Passes_away,result
fe7orPIf,20.10.2019 13:00,Kayserispor,Kasimpasa,1,1,58%,42%,23,9,10,3,10,4,3,2,11,3,1,0,2,9,14,17,5,3,461,347,19,14,90,86,103,60,0,0,17,15,,,383,276,D
dnEH1DJF,19.10.2019 19:00,Ankaragucu,Besiktas,0,0,32%,68%,4,14,1,4,2,6,1,4,5,6,2,2,4,1,17,9,3,4,255,547,14,18,88,108,50,80,1,0,12,20,,,172,470,D
0Y7sq53l,19.10.2019 16:30,Basaksehir,Goztepe,2,1,53%,47%,14,11,5,2,6,6,3,3,5,5,1,0,1,3,17,13,1,3,446,396,10,10,114,91,60,70,0,0,12,19,,,358,311,H
Ms9wpolr,19.10.2019 16:30,Trabzonspor,Gaziantep,4,1,49%,51%,12,14,5,5,1,4,6,5,5,4,0,1,4,1,16,14,1,1,453,438,24,22,111,115,56,80,0,1,15,16,,,382,356,H
AVB54FZd,19.10.2019 14:00,Antalyaspor,Genclerbirligi,0,6,42%,58%,11,11,1,9,7,1,3,1,8,1,3,2,3,1,5,16,2,2,396,568,13,16,83,102,74,62,1,0,19,9,,,343,513,A
jN0ft3m7,18.10.2019 19:30,Galatasaray,Sivasspor,3,2,67%,33%,19,16,8,7,8,5,3,4,3,3,2,2,5,5,10,20,4,4,609,306,17,23,119,80,93,57,0,1,20,12,,,537,225,H
AVkzkzzA,06.10.2019 18:00,Gaziantep,Basaksehir,1,2,36%,64%,5,21,2,9,3,10,0,2,5,8,1,1,7,1,14,18,1,6,262,498,22,15,81,105,48,85,1,0,19,15,,,189,424,A
00UEshSq,06.10.2019 18:00,Rizespor,Trabzonspor,1,2,41%,59%,16,13,4,4,6,6,6,3,6,4,0,1,2,3,17,11,5,2,341,491,23,23,75,83,64,71,0,0,12,17,,,262,420,A
UZYItCsj,06.10.2019 15:30,Besiktas,Alanyaspor,2,0,51%,49%,7,14,4,3,2,5,1,6,4,8,5,1,3,2,11,11,3,4,423,395,22,19,102,93,65,97,0,0,10,16,,,321,291,H
E3dRjd5c,06.10.2019 13:00,Sivasspor,Ankaragucu,3,1,52%,48%,11,14,5,4,3,5,3,5,8,3,2,0,3,2,14,12,4,1,397,371,11,18,62,70,68,70,0,0,11,18,,,309,271,H
4hkvlfkG,05.10.2019 19:00,Genclerbirligi,Galatasaray,0,0,30%,70%,20,11,6,2,7,6,7,3,4,5,6,1,2,6,19,17,7,4,246,593,17,17,81,121,74,89,1,0,19,25,,,183,500,D
8QXMuWdd,05.10.2019 16:30,Goztepe,Kayserispor,4,0,43%,57%,16,8,8,3,6,4,2,1,6,5,3,2,3,4,13,15,1,2,324,442,10,15,90,94,64,69,0,0,16,16,,,260,376,H
birmnYJS,05.10.2019 14:00,Kasimpasa,Konyaspor,1,4,52%,48%,17,14,8,9,2,4,7,1,9,2,0,0,5,7,11,10,5,4,435,436,18,16,93,80,97,51,0,0,10,9,,,366,364,A
GShrmE4M,04.10.2019 19:30,Fenerbahce,Antalyaspor,0,1,75%,25%,25,7,6,5,13,1,6,1,10,3,2,0,4,6,10,17,1,2,686,232,13,17,151,71,139,34,0,0,17,12,,,586,144,A
WviWkGK3,04.10.2019 19:30,Yeni Malatyaspor,Denizlispor,5,1,56%,44%,15,9,7,4,6,5,2,0,6,3,2,2,3,2,20,13,2,6,394,301,9,9,92,74,83,56,0,0,13,22,,,315,219,H
fgthxcj4,30.09.2019 19:00,Gaziantep,Goztepe,1,1,49%,51%,15,4,2,2,9,2,4,0,5,5,1,2,1,1,12,9,2,4,356,382,11,16,84,86,61,50,0,1,11,13,,,280,287,D
2PS8YEkT,29.09.2019 18:00,Trabzonspor,Besiktas,4,1,39%,61%,13,12,5,4,5,4,3,4,2,8,1,1,3,1,23,10,6,3,353,534,28,20,90,116,46,83,0,0,11,24,,,279,457,H
G8U0zyLG,29.09.2019 15:30,Ankaragucu,Genclerbirligi,2,1,41%,59%,12,16,5,5,5,6,2,5,4,9,1,1,5,3,15,11,1,2,282,385,18,9,90,117,57,98,0,0,13,17,,,177,296,H
xIVdyH5A,29.09.2019 15:30,Antalyaspor,Yeni Malatyaspor,3,0,43%,57%,11,11,5,1,4,5,2,5,7,4,2,2,1,2,14,14,2,2,377,467,13,9,102,95,57,69,0,1,16,17,,,301,390,H
865yUYcp,29.09.2019 13:00,Konyaspor,Kayserispor,2,1,63%,37%,24,7,8,3,11,3,5,1,5,3,2,1,2,6,10,19,4,7,585,343,13,20,112,80,93,40,0,2,17,12,,,511,255,H
zDcNixji,28.09.2019 19:00,Galatasaray,Fenerbahce,0,0,52%,48%,5,12,3,3,0,5,2,4,4,5,6,2,3,3,18,13,2,1,404,374,10,15,107,103,62,69,0,0,15,24,,,304,265,D
OYT4ZfzN,28.09.2019 16:30,Alanyaspor,Sivasspor,1,1,62%,38%,29,8,11,4,8,2,10,2,11,3,1,3,3,10,19,17,3,4,493,316,18,20,104,101,107,61,0,0,22,20,,,384,214,D
M99uThDj,28.09.2019 14:00,Denizlispor,Kasimpasa,0,1,50%,50%,16,16,7,7,6,8,3,1,4,5,0,1,6,7,10,19,0,2,420,422,13,19,106,108,69,68,0,0,20,10,,,331,324,A
tjxlwwyb,27.09.2019 19:30,Basaksehir,Rizespor,5,0,53%,47%,16,13,7,1,5,8,4,4,4,6,1,1,1,2,9,14,0,2,485,428,17,17,90,75,71,64,0,0,14,10,,,408,359,H
fu1JNcyB,23.09.2019 19:00,Besiktas,Basaksehir,1,1,59%,41%,8,11,2,7,4,3,2,1,0,4,1,1,6,1,9,18,4,5,584,398,16,21,123,110,69,68,0,0,17,10,,,497,308,D
nFcBPJ6b,23.09.2019 19:00,Sivasspor,Trabzonspor,2,1,52%,48%,16,15,6,4,8,7,2,4,4,5,0,3,3,4,16,18,3,3,423,395,26,16,102,97,68,58,0,0,20,15,,,328,319,H
WKfcGFTp,22.09.2019 18:00,Yeni Malatyaspor,Galatasaray,1,1,51%,49%,16,12,4,3,8,4,4,5,8,3,2,2,2,3,16,16,1,3,385,387,16,12,116,101,89,53,0,0,19,16,,,295,300,D
zk9RLy6N,22.09.2019 15:30,Genclerbirligi,Alanyaspor,1,1,55%,45%,12,14,5,5,5,6,2,3,1,5,3,0,4,4,15,22,3,3,435,357,27,13,126,107,79,81,0,0,21,20,,,316,250,D
Gl2FOwM4,22.09.2019 13:00,Rizespor,Gaziantep,1,2,66%,34%,15,5,4,4,6,0,5,1,8,4,2,1,2,3,9,13,2,2,537,279,20,18,137,97,120,66,0,0,14,11,,,415,192,A
UB8VKeLT,21.09.2019 19:00,Fenerbahce,Ankaragucu,2,1,67%,33%,30,6,8,3,16,2,6,1,8,1,2,3,2,6,11,11,2,3,654,326,10,12,115,71,109,35,0,0,13,11,,,588,236,H
nTxpvJLi,21.09.2019 16:30,Kayserispor,Denizlispor,1,1,47%,53%,14,25,6,6,7,14,1,5,3,4,2,2,5,5,18,13,2,1,446,476,22,13,102,102,58,82,0,0,15,21,,,349,395,D
8xvtua6o,21.09.2019 14:00,Kasimpasa,Antalyaspor,3,0,50%,50%,15,10,7,3,5,5,3,2,4,10,1,2,3,4,17,15,2,3,442,450,20,22,114,111,69,61,0,0,19,16,,,360,366,H
x4jOMHjH,20.09.2019 19:30,Goztepe,Konyaspor,1,0,43%,57%,16,9,10,1,4,7,2,1,9,1,1,2,1,9,9,14,1,3,365,506,17,11,72,90,73,50,1,0,13,10,,,288,424,H
UHBuC0xa,16.09.2019 19:00,Alanyaspor,Fenerbahce,3,1,31%,69%,12,11,6,4,5,5,1,2,3,3,3,2,3,3,13,14,1,1,260,611,8,12,90,121,70,91,0,0,19,15,,,181,530,H
xrFmAv7B,15.09.2019 19:00,Denizlispor,Konyaspor,0,1,41%,59%,8,10,2,4,3,2,3,4,3,5,2,3,3,2,13,4,4,2,441,652,17,18,94,128,58,64,0,0,8,13,,,354,570,A
dpVl8IyO,15.09.2019 19:00,Trabzonspor,Genclerbirligi,2,2,53%,47%,17,15,9,6,7,3,1,6,2,4,1,2,4,7,11,15,2,2,471,411,19,22,111,116,78,99,0,0,16,12,,,391,332,D
GYDi9bMH,15.09.2019 16:00,Ankaragucu,Yeni Malatyaspor,0,4,43%,57%,11,18,2,10,6,7,3,1,4,2,0,5,6,2,12,12,4,3,387,517,20,14,110,122,72,82,1,0,17,11,,,310,445,A
Cd5bSLMu,15.09.2019 16:00,Rizespor,Goztepe,0,0,62%,38%,9,3,2,1,2,0,5,2,3,3,1,3,1,2,21,10,3,4,533,327,13,14,110,91,78,64,0,0,13,22,,,450,224,D
8Ob7Qaih,14.09.2019 19:00,Antalyaspor,Kayserispor,2,2,52%,48%,18,5,5,3,9,1,4,1,11,3,3,1,1,3,14,15,3,1,460,427,18,24,86,75,95,50,0,0,15,15,,,396,355,D
zyUh7xiU,14.09.2019 19:00,Gaziantep,Besiktas,3,2,37%,63%,14,12,5,5,8,6,1,1,4,14,1,2,3,2,15,9,4,4,313,528,16,7,66,79,47,89,1,2,11,13,,,257,462,H
rLFqBKi5,14.09.2019 16:00,Basaksehir,Sivasspor,1,1,62%,38%,13,9,5,2,6,5,2,2,7,4,2,0,1,4,13,15,2,2,542,330,13,14,132,116,91,72,0,0,14,15,,,425,224,D
Qa92Ruxn,13.09.2019 19:30,Galatasaray,Kasimpasa,1,0,62%,38%,15,9,4,2,8,3,3,4,3,5,2,2,2,3,15,18,2,3,572,335,12,18,111,91,72,70,0,0,20,17,,,505,255,H
bVUINxKD,01.09.2019 20:45,Fenerbahce,Trabzonspor,1,1,68%,32%,21,10,9,5,7,5,5,0,6,3,1,1,4,8,14,9,1,3,591,274,21,11,112,79,90,47,0,0,11,14,,,508,191,D
23eaWUND,01.09.2019 20:45,Yeni Malatyaspor,Alanyaspor,2,3,71%,29%,14,8,8,5,4,3,2,0,5,3,2,0,2,6,18,13,4,2,519,202,10,23,105,89,84,45,0,0,13,20,,,420,121,A
EsT6Qvze,01.09.2019 18:15,Genclerbirligi,Basaksehir,1,2,42%,58%,8,22,5,9,3,9,0,4,4,5,1,1,7,4,26,17,5,2,328,441,17,9,94,102,46,71,0,0,17,26,,,239,365,A
neREOI47,01.09.2019 18:15,Sivasspor,Gaziantep,1,1,70%,30%,22,11,5,4,10,4,7,3,7,5,2,1,3,4,14,19,3,4,521,229,13,15,116,89,105,50,0,0,20,13,,,448,154,D
82NWDM7n,31.08.2019 20:45,Besiktas,Rizespor,1,1,70%,30%,20,6,4,2,9,2,7,2,11,2,1,5,1,3,16,10,5,1,624,269,13,16,147,88,133,37,0,0,16,16,,,551,179,D
d6Y1RKKl,31.08.2019 20:45,Goztepe,Denizlispor,0,0,52%,48%,17,5,2,1,12,2,3,2,5,1,0,0,1,2,13,14,2,3,428,431,12,13,102,79,80,33,0,1,13,13,,,333,324,D
vTISE2ht,31.08.2019 18:15,Konyaspor,Antalyaspor,2,2,63%,37%,17,15,4,6,3,5,10,4,5,7,0,1,4,2,13,14,2,2,555,312,11,18,115,83,87,56,0,0,15,12,,,476,235,D
hYRAPbk1,30.08.2019 19:30,Kasimpasa,Ankaragucu,0,1,63%,37%,27,4,7,2,13,2,7,0,10,1,1,1,1,7,10,26,1,5,469,291,13,19,131,87,125,33,0,0,25,11,,,392,198,A
ngMzDtNh,30.08.2019 19:30,Kayserispor,Galatasaray,2,3,36%,64%,8,20,4,10,4,6,0,4,1,4,1,3,7,2,21,13,8,6,277,514,17,12,75,96,41,80,3,1,14,13,,,209,454,A
xraPD1jk,26.08.2019 19:00,Gaziantep,Genclerbirligi,4,1,56%,44%,15,12,7,4,6,5,2,3,4,6,1,2,3,3,17,8,1,1,419,313,19,20,94,80,73,68,0,2,9,18,,,349,227,H
IFZcS05r,25.08.2019 20:45,Antalyaspor,Denizlispor,0,2,56%,44%,19,8,3,2,5,5,11,1,5,3,1,1,0,3,13,14,1,3,472,381,7,8,86,85,86,46,0,0,14,14,,,415,313,A
jo3TCL5e,25.08.2019 20:45,Galatasaray,Konyaspor,1,1,60%,40%,18,16,6,4,6,5,6,7,2,5,1,0,3,5,8,11,1,3,556,382,10,19,125,96,84,66,1,0,9,9,,,485,301,D
48gNY2SE,25.08.2019 18:15,Rizespor,Sivasspor,2,1,43%,57%,11,15,5,2,4,4,2,9,1,12,3,3,1,3,15,11,2,2,330,435,14,13,87,78,61,75,0,0,13,17,,,252,346,H
0zmWWtcR,25.08.2019 18:15,Trabzonspor,Yeni Malatyaspor,2,1,49%,51%,16,13,5,2,8,7,3,4,4,5,0,1,1,3,5,13,1,2,395,407,25,21,86,89,60,63,0,0,14,5,,,338,333,H
C0ixBaz8,24.08.2019 20:45,Alanyaspor,Kasimpasa,4,1,46%,54%,18,6,8,1,8,3,2,2,1,4,4,0,0,4,13,11,4,4,427,498,13,20,75,82,41,22,0,0,11,17,,,353,407,H
QHfJZrD8,24.08.2019 20:45,Basaksehir,Fenerbahce,1,2,39%,61%,12,13,4,3,8,7,0,3,4,4,5,4,1,3,11,10,,,349,553,12,15,78,100,46,50,0,0,14,16,,,271,468,A
Y9hYBuL1,24.08.2019 18:15,Ankaragucu,Kayserispor,1,1,46%,54%,15,15,5,5,8,8,2,2,1,7,2,2,4,4,18,9,3,1,359,399,15,13,51,56,38,43,0,0,11,19,,,272,318,D
nXrSXMsL,23.08.2019 19:30,Besiktas,Goztepe,3,0,66%,34%,8,12,4,3,4,4,0,5,8,3,2,5,3,1,19,9,1,1,563,280,12,21,90,69,70,48,0,0,14,21,,,474,187,H
bivja2yd,19.08.2019 19:00,Fenerbahce,Gaziantep,5,0,76%,24%,19,4,9,0,8,2,2,2,4,2,1,5,0,4,14,18,1,4,723,226,17,8,16,12,17,6,0,0,21,16,,,650,174,H
rLaLEsyq,18.08.2019 20:45,Goztepe,Antalyaspor,0,1,57%,43%,7,10,1,3,3,6,3,1,5,5,1,2,2,1,15,13,3,3,484,373,23,15,136,94,93,44,0,0,15,14,,,391,301,A
jNKtMPr9,18.08.2019 20:45,Kasimpasa,Trabzonspor,1,1,48%,52%,15,17,7,2,3,8,5,7,5,9,2,3,1,6,14,17,2,0,406,435,19,23,90,89,64,72,0,0,20,16,,,331,357,D
xrwfbMj2,18.08.2019 20:45,Yeni Malatyaspor,Basaksehir,3,0,57%,43%,9,15,5,4,4,5,0,6,2,11,3,3,4,2,11,15,3,2,407,292,13,14,73,60,51,68,0,1,18,13,,,325,208,H
OzJlK3DL,18.08.2019 18:15,Konyaspor,Ankaragucu,0,0,59%,41%,23,9,4,1,10,6,9,2,4,1,0,1,1,4,7,14,0,2,512,351,12,21,112,86,81,32,0,0,14,8,,,422,254,D
ppKpLqbF,17.08.2019 20:45,Kayserispor,Alanyaspor,0,1,49%,51%,6,14,3,7,1,5,2,2,6,9,3,0,6,3,13,10,4,1,391,412,15,22,90,96,56,87,0,0,10,16,,,303,322,A
UHZo0rMk,17.08.2019 20:45,Sivasspor,Besiktas,3,0,38%,62%,13,13,8,3,3,6,2,4,7,0,4,3,3,5,15,9,4,3,356,603,18,5,129,141,82,70,0,0,12,20,,,260,516,H
vmHxN5T2,17.08.2019 18:15,Genclerbirligi,Rizespor,0,1,50%,50%,8,11,1,5,7,5,0,1,4,2,4,2,4,1,16,14,4,2,396,407,9,12,92,117,57,80,1,0,16,22,,,302,319,A
tCDgJNSR,16.08.2019 19:30,Denizlispor,Galatasaray,2,0,48%,52%,15,7,5,4,9,2,1,1,6,2,2,4,4,3,12,9,4,5,416,464,34,13,100,102,85,60,0,1,13,13,,,343,395,H
