id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,result
Igp2oygo,15.04.2022 19:30,Trabzonspor,Karagumruk,1,1,63%,37%,30,11,6,1,13,8,11,2,15,4,0,3,0,5,11,8,1,3,583,359,517,287,20,13,93,64,102,37,0,0,D
nBgWjcVN,11.04.2022 19:30,Antalyaspor,Hatayspor,4,1,55%,45%,14,6,8,4,5,2,1,0,3,5,2,0,3,4,11,11,1,1,475,374,422,306,10,16,70,65,47,47,0,1,H
KxmAcsnt,10.04.2022 19:30,Fenerbahce,Galatasaray,2,0,53%,47%,8,6,3,1,3,1,2,4,4,2,0,2,1,1,18,18,3,4,459,408,367,324,15,11,113,87,47,46,0,0,H
8KfSiwGH,10.04.2022 15:00,Adana Demirspor,Altay,3,1,59%,41%,18,13,9,4,3,2,6,7,7,7,4,2,3,6,6,10,1,1,507,343,445,285,14,17,115,75,80,54,0,0,H
Qe5NhJ0B,10.04.2022 15:00,Sivasspor,Basaksehir,0,2,48%,52%,19,14,7,2,9,5,3,7,6,5,1,1,0,7,13,15,2,3,428,482,368,415,13,17,115,124,82,65,0,0,A
UD70wv1O,10.04.2022 12:30,Yeni Malatyaspor,Giresunspor,0,1,47%,53%,10,12,4,4,5,6,1,2,4,4,2,1,3,4,12,18,3,1,372,426,290,341,11,24,107,98,69,73,0,0,A
vu3BeLGh,09.04.2022 19:30,Besiktas,Alanyaspor,4,1,34%,66%,11,4,6,1,3,2,2,1,0,3,8,2,0,2,23,8,3,0,309,605,225,520,24,17,90,118,61,75,0,0,H
bToEd11n,09.04.2022 19:30,Gaziantep,Trabzonspor,0,0,33%,67%,17,19,6,5,4,7,7,7,5,6,3,1,5,6,7,9,3,1,279,578,220,509,10,15,73,94,58,70,0,0,D
IV1FfuWb,09.04.2022 15:00,Goztepe,Kayserispor,1,2,70%,30%,19,8,7,3,10,3,2,2,6,4,2,6,1,6,17,8,1,2,610,252,529,170,12,15,97,85,81,56,0,0,A
Ch1Jgao5,09.04.2022 15:00,Rizespor,Konyaspor,2,1,48%,52%,11,9,3,3,5,6,3,0,5,3,3,2,2,1,12,18,3,2,341,381,267,297,21,21,88,81,65,58,0,2,H
rHB4xbGU,09.04.2022 12:30,Karagumruk,Kasimpasa,3,2,44%,56%,10,16,5,4,2,10,3,2,3,4,1,1,2,2,13,18,3,3,392,468,313,407,10,8,68,91,49,79,0,0,H
Q18XqOHt,04.04.2022 19:30,Basaksehir,Yeni Malatyaspor,1,0,57%,43%,28,7,11,2,12,2,5,3,12,1,1,3,2,10,17,12,0,1,548,428,490,357,15,12,147,115,104,65,0,0,H
0YFqsM1a,04.04.2022 19:30,Hatayspor,Adana Demirspor,0,0,46%,54%,10,17,2,5,5,9,3,3,3,3,3,3,5,2,11,15,4,1,356,434,288,372,16,10,84,96,66,69,1,0,D
OhM5l49P,03.04.2022 19:30,Trabzonspor,Besiktas,1,1,52%,48%,8,15,2,3,5,6,1,6,3,4,4,1,2,1,16,18,3,4,427,385,324,284,21,16,105,97,53,54,0,1,D
nkIevKoI,03.04.2022 15:00,Alanyaspor,Rizespor,2,1,58%,42%,12,12,5,3,4,8,3,1,7,8,0,3,2,3,17,14,0,1,477,332,414,258,7,11,78,78,61,71,0,0,H
8bJiu0WB,03.04.2022 15:00,Konyaspor,Goztepe,3,0,42%,58%,17,7,7,1,10,4,0,2,6,9,2,1,1,4,12,7,0,1,357,499,292,439,24,14,77,85,64,69,0,1,H
8pvJQ0HI,03.04.2022 12:30,Kasimpasa,Gaziantep,2,1,58%,42%,17,6,8,3,7,1,2,2,7,3,2,3,2,6,11,8,4,3,532,394,473,330,6,13,84,68,76,55,1,1,H
nywNPKWO,02.04.2022 19:30,Galatasaray,Karagumruk,2,0,50%,50%,10,11,4,7,5,4,1,0,5,7,2,2,7,2,12,8,1,2,500,494,445,424,11,18,105,97,49,61,0,0,H
KO7yqrXn,02.04.2022 15:00,Altay,Antalyaspor,1,2,46%,54%,13,12,5,4,7,4,1,4,2,7,1,5,2,4,12,13,5,2,370,442,289,346,9,12,77,87,53,59,0,0,A
vPEmttH5,02.04.2022 15:00,Kayserispor,Fenerbahce,0,4,49%,51%,7,17,1,9,4,5,2,3,4,0,2,1,5,1,17,15,1,2,419,443,334,366,23,19,67,72,50,44,0,0,A
I9Qvr2ng,02.04.2022 12:30,Giresunspor,Sivasspor,2,2,58%,42%,18,12,7,5,9,6,2,1,7,3,0,3,3,5,8,11,0,1,519,381,438,294,11,23,116,103,92,54,0,0,D
v5n2UrIg,20.03.2022 17:00,Fenerbahce,Konyaspor,2,1,67%,33%,26,7,11,2,7,2,8,3,11,2,1,3,1,9,7,12,3,3,644,316,579,243,25,17,106,76,77,37,0,0,H
Y37NyRPJ,20.03.2022 14:00,Gaziantep,Galatasaray,3,1,46%,54%,19,13,7,4,8,7,4,2,7,7,0,1,3,4,10,11,0,3,376,443,304,372,22,12,90,101,74,69,0,0,H
tAKyENXC,20.03.2022 11:30,Antalyaspor,Giresunspor,4,1,45%,55%,13,14,8,6,5,6,0,2,4,2,2,1,5,4,17,16,3,0,366,445,289,378,25,15,96,102,55,46,0,0,H
0KzBSMn6,20.03.2022 11:30,Sivasspor,Altay,2,1,58%,42%,12,10,5,3,5,6,2,1,7,1,5,2,2,3,14,17,1,2,421,313,319,209,14,16,81,79,62,38,0,0,H
ENvFRt2C,19.03.2022 17:00,Besiktas,Hatayspor,1,1,59%,41%,22,10,12,3,6,4,4,3,7,4,2,0,2,11,9,15,1,4,516,358,412,257,7,23,115,91,84,62,0,0,D
Ieo6T2Xa,19.03.2022 14:00,Adana Demirspor,Basaksehir,2,1,45%,55%,15,11,6,2,9,6,0,3,6,4,0,1,1,4,14,14,2,2,373,471,298,398,14,20,92,93,63,48,0,0,H
hllfW4ms,19.03.2022 14:00,Goztepe,Alanyaspor,0,2,43%,57%,7,12,0,4,6,6,1,2,2,4,5,2,2,0,15,10,2,1,419,550,335,479,15,21,107,116,58,75,0,0,A
K0JuDsmJ,19.03.2022 11:30,Yeni Malatyaspor,Kasimpasa,0,2,37%,63%,8,14,2,6,4,5,2,3,3,4,3,1,4,2,11,15,1,0,324,533,233,437,11,13,85,108,61,71,0,0,A
WvmbVO2m,18.03.2022 18:00,Karagumruk,Kayserispor,3,0,40%,60%,15,15,6,4,3,9,6,2,3,6,1,5,4,3,11,8,2,3,412,598,334,520,12,20,93,121,56,93,0,0,H
n7BRzouQ,18.03.2022 18:00,Rizespor,Trabzonspor,3,2,39%,61%,12,10,6,3,3,2,3,5,6,9,1,3,1,3,18,16,2,3,252,402,163,301,16,20,88,120,75,85,0,0,H
CW7vxzK2,14.03.2022 18:00,Galatasaray,Besiktas,2,1,44%,56%,19,10,7,1,3,6,9,3,4,5,2,2,1,5,12,16,4,4,404,498,315,398,24,17,95,95,56,73,0,0,H
dOPiEWRe,14.03.2022 18:00,Giresunspor,Gaziantep,2,1,44%,56%,13,10,5,3,4,3,4,4,6,2,4,1,2,3,10,11,2,0,403,518,318,409,14,27,100,105,64,68,0,0,H
KdBnzElF,14.03.2022 14:00,Basaksehir,Antalyaspor,0,1,64%,36%,15,6,4,3,7,2,4,1,7,6,2,0,2,4,13,7,3,0,594,330,522,257,14,15,93,76,89,43,0,0,A
jLROGPmf,13.03.2022 17:00,Alanyaspor,Fenerbahce,2,5,63%,37%,14,18,9,9,3,7,2,2,12,4,3,2,4,7,14,14,1,2,585,347,495,274,4,9,95,80,88,64,0,0,A
dMYFIoJs,13.03.2022 14:00,Adana Demirspor,Sivasspor,2,3,61%,39%,11,9,5,6,5,3,1,0,6,2,2,3,3,3,14,12,2,3,477,310,376,207,6,19,94,70,86,39,0,0,A
voOKH5Ym,13.03.2022 11:30,Kayserispor,Konyaspor,2,3,54%,46%,14,18,4,10,6,6,4,2,8,2,0,1,7,2,11,9,2,3,475,405,388,328,16,15,76,72,73,44,0,0,A
prRSFq30,12.03.2022 17:00,Trabzonspor,Goztepe,4,2,56%,44%,16,15,10,6,5,5,1,4,3,6,0,0,4,6,10,14,2,3,588,446,493,368,15,15,110,77,65,55,0,0,H
jN6ryfZ8,12.03.2022 14:00,Altay,Yeni Malatyaspor,1,0,53%,47%,8,6,1,1,5,3,2,2,3,2,3,4,1,0,16,13,4,4,474,423,389,344,18,19,85,82,72,54,0,0,H
OYPWE3I6,12.03.2022 14:00,Kasimpasa,Rizespor,3,1,50%,50%,22,9,7,4,10,3,5,2,3,4,1,2,3,4,16,5,1,0,428,420,362,348,12,10,89,86,62,56,0,1,H
ARTeDjs2,12.03.2022 11:30,Hatayspor,Karagumruk,3,0,54%,46%,13,10,6,3,6,4,1,3,2,6,3,3,3,3,19,9,,,484,401,406,324,22,11,87,92,69,81,0,0,H
YV7PKYlS,07.03.2022 18:00,Besiktas,Basaksehir,2,2,56%,44%,16,4,4,2,8,1,4,1,3,3,2,2,0,2,10,15,3,3,577,446,,,18,24,60,51,56,39,0,0,D
21QmFCCk,07.03.2022 18:00,Gaziantep,Hatayspor,2,2,58%,42%,19,7,5,3,8,2,6,2,11,3,5,3,2,3,6,12,1,2,456,359,,,11,19,84,82,85,39,0,0,D
nF5DNz59,07.03.2022 18:00,Kayserispor,Alanyaspor,1,2,36%,64%,3,15,1,4,1,5,1,6,2,4,2,2,2,0,9,9,3,1,330,607,,,15,11,74,84,41,54,0,0,A
0I9HMfKF,06.03.2022 17:00,Antalyaspor,Sivasspor,1,0,44%,56%,6,11,4,2,1,7,1,2,3,6,0,2,2,3,15,13,,,393,486,,,18,14,80,97,49,58,0,0,H
4jG8OGk3,06.03.2022 17:00,Fenerbahce,Trabzonspor,1,1,42%,58%,11,17,5,3,5,9,1,5,4,4,0,3,2,4,11,15,2,1,412,601,,,19,18,85,93,59,56,1,0,D
OARqGhcq,06.03.2022 14:00,Karagumruk,Altay,0,0,62%,38%,17,6,4,1,5,4,8,1,6,1,0,1,1,4,8,15,3,2,589,363,,,14,12,125,89,89,32,0,1,D
QaH4Pdzc,05.03.2022 17:00,Konyaspor,Galatasaray,2,0,45%,55%,12,11,6,5,2,3,4,3,7,5,0,5,5,4,15,10,,,426,518,,,9,14,96,112,79,98,0,0,H
xpOM0Dcd,05.03.2022 14:00,Goztepe,Kasimpasa,2,3,51%,49%,8,14,3,5,2,4,3,5,4,4,3,5,2,1,25,10,4,3,367,350,,,12,12,90,87,60,65,0,0,A
bgPI1grj,05.03.2022 14:00,Rizespor,Giresunspor,1,2,61%,39%,5,15,2,7,0,8,3,0,5,2,2,0,5,1,13,17,3,1,552,364,,,33,19,94,84,52,55,0,0,A
fu9LLEZL,04.03.2022 18:00,Yeni Malatyaspor,Adana Demirspor,1,0,43%,57%,15,20,5,2,5,10,5,8,5,6,1,0,2,4,13,11,1,0,405,538,,,15,9,74,104,65,84,0,0,H
nFqr8e5M,28.02.2022 18:00,Kasimpasa,Fenerbahce,1,2,55%,45%,16,9,8,2,8,5,0,2,8,4,5,1,0,7,15,18,6,1,476,399,,,13,12,91,87,87,55,1,0,A
GUZD2ZSq,27.02.2022 17:00,Galatasaray,Rizespor,4,2,55%,45%,18,7,9,4,5,1,4,2,9,4,1,0,2,5,19,15,6,5,359,300,,,22,18,94,68,88,51,0,1,H
8Opv9yjG,27.02.2022 14:00,Alanyaspor,Konyaspor,5,1,51%,49%,17,14,9,3,4,6,4,5,4,5,3,4,2,4,11,12,1,3,468,426,,,13,14,90,105,62,90,0,1,H
IZiRBw6c,27.02.2022 14:00,Hatayspor,Yeni Malatyaspor,5,2,51%,49%,13,14,8,7,4,6,1,1,2,4,3,2,5,3,10,9,1,0,452,427,,,16,17,100,85,61,65,0,0,H
OzBzkGbp,27.02.2022 11:30,Altay,Gaziantep,3,2,52%,48%,9,12,5,3,2,7,2,2,8,4,2,3,1,2,17,10,2,3,400,378,,,11,15,98,83,73,47,0,0,H
txqn7FKS,27.02.2022 11:30,Giresunspor,Goztepe,3,1,43%,57%,16,9,6,4,6,3,4,2,7,5,4,0,3,3,10,16,0,1,367,484,,,26,22,80,84,42,47,0,0,H
4WmNCJji,26.02.2022 17:00,Sivasspor,Besiktas,2,3,47%,53%,20,17,6,10,8,4,6,3,6,6,1,0,7,4,8,16,0,3,351,435,,,25,9,102,96,71,53,0,0,A
2R9vlzEj,26.02.2022 14:00,Basaksehir,Karagumruk,1,2,63%,37%,13,5,3,4,6,1,4,0,2,3,2,2,2,2,14,8,2,2,731,429,,,17,6,120,80,78,40,0,0,A
CdiVAcL3,25.02.2022 18:00,Adana Demirspor,Antalyaspor,0,0,47%,53%,14,10,4,3,7,6,3,1,2,3,1,3,3,4,16,6,0,1,457,513,,,9,11,55,57,47,39,0,0,D
jmjZ9HzA,25.02.2022 18:00,Trabzonspor,Kayserispor,3,2,71%,29%,22,17,10,7,9,8,3,2,6,5,0,3,5,7,4,8,,,757,303,,,27,26,125,78,96,52,0,0,H
v5ATlym9,23.02.2022 18:00,Gaziantep,Yeni Malatyaspor,0,0,43%,57%,16,10,6,1,6,4,4,5,6,4,2,1,1,6,16,13,2,3,327,439,,,11,9,99,85,69,50,0,0,D
tAvaZemM,22.02.2022 18:00,Basaksehir,Konyaspor,2,1,45%,55%,13,12,4,4,6,5,3,3,2,3,4,1,3,2,11,11,2,1,461,557,,,9,15,66,78,61,69,0,0,H
lfvu0t7o,21.02.2022 18:00,Goztepe,Galatasaray,2,3,59%,41%,13,10,5,7,6,0,2,3,5,6,1,2,4,3,19,10,3,3,376,269,,,11,12,102,74,74,53,0,0,A
