id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Red Cards_home,Red Cards_away,Goal Kicks_home,Goal Kicks_away,result
jk7LuQrF,18.03.2017 17:00,Trabzonspor,Galatasaray,2,0,47%,53%,5,9,3,2,2,7,10,24,4,6,6,1,23,28,2,1,18,9,5,2,1,0,,,H
dS7Ht6T8,18.03.2017 14:00,Kayserispor,Gaziantepspor,3,4,52%,48%,12,10,6,6,6,4,10,15,6,2,1,1,24,25,2,3,14,9,1,3,0,0,,,A
Iy9DsnE2,18.03.2017 11:30,Kasimpasa,Ankaraspor,3,2,58%,42%,9,11,8,5,1,6,15,10,4,6,1,1,19,28,3,5,9,14,2,2,0,0,,,H
86RMKO6k,17.03.2017 18:00,Fenerbahce,Konyaspor,2,3,53%,47%,19,7,4,5,15,2,7,15,9,0,0,1,28,21,2,2,15,6,3,1,0,0,,,A
hKpHD7aM,13.03.2017 18:00,Akhisarspor,Trabzonspor,1,3,45%,55%,5,14,5,7,0,7,21,25,2,5,0,4,15,25,4,4,25,17,2,3,0,0,,,A
ljWn8oNq,12.03.2017 17:00,Besiktas,Kayserispor,2,2,56%,44%,14,6,7,4,7,2,22,16,9,1,1,2,16,19,2,5,15,20,2,3,0,0,,,D
dESrS6EF,12.03.2017 17:00,Rizespor,Antalyaspor,1,2,49%,51%,9,10,4,5,5,5,19,16,3,4,1,2,16,23,3,3,15,17,3,1,1,0,,,A
zavzUSq3,12.03.2017 14:00,Konyaspor,Basaksehir,0,3,44%,56%,7,8,1,3,6,5,15,13,2,1,1,2,23,24,0,1,12,13,2,2,0,0,,,A
U1mp75xj,11.03.2017 17:00,Galatasaray,Genclerbirligi,3,2,58%,42%,13,6,9,5,4,1,22,9,6,6,1,7,26,27,3,6,8,15,0,1,0,0,,,H
8hnl6Pid,11.03.2017 17:00,Gaziantepspor,Kasimpasa,0,2,51%,49%,10,13,3,6,7,7,11,13,11,6,4,2,16,23,4,3,9,9,3,2,0,0,,,A
