id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Yellow Cards_home,Yellow Cards_away,Red Cards_home,Red Cards_away,Free Kicks_home,Free Kicks_away,result
U7EHfP7K,29.04.2021 15:00,Erzurumspor,Basaksehir,1,2,44%,56%,21,12,5,5,9,4,7,3,5,6,2,1,3,4,11,9,379,493,8,8,94,87,76,71,2,3,0,1,,,A
21MVWLFD,29.04.2021 15:00,Sivasspor,Yeni Malatyaspor,1,0,65%,35%,21,7,5,2,10,4,6,1,8,2,1,0,2,4,11,10,521,279,10,13,100,74,86,45,1,3,0,0,,,H
M5gdms0f,28.04.2021 19:30,Galatasaray,Konyaspor,1,0,69%,31%,16,8,6,2,6,4,4,2,11,1,2,0,2,5,7,9,677,301,16,20,133,72,96,26,0,2,0,0,,,H
CW3MgqNQ,28.04.2021 19:30,Rizespor,Besiktas,2,3,45%,55%,8,16,3,9,3,5,2,2,5,6,5,2,6,1,18,16,374,446,20,16,78,82,59,73,2,1,0,0,,,A
4Ur1n1F0,28.04.2021 15:00,Goztepe,Trabzonspor,1,1,40%,60%,14,14,3,7,8,3,3,4,7,2,5,1,6,2,10,14,329,524,24,8,97,125,83,98,5,2,1,1,,,D
dx18pupD,28.04.2021 15:00,Karagumruk,Antalyaspor,2,2,61%,39%,5,10,3,5,1,3,1,2,0,4,2,6,3,1,19,22,545,340,13,21,76,79,42,52,5,2,0,0,,,D
2F14oLU6,28.04.2021 15:00,Kayserispor,Denizlispor,6,3,49%,51%,18,16,15,7,3,4,0,5,7,6,3,0,4,9,16,11,411,417,15,9,77,81,58,52,1,6,0,1,,,H
rFfhlNpl,27.04.2021 19:30,Hatayspor,Genclerbirligi,3,1,49%,51%,16,19,9,6,6,9,1,4,4,4,2,0,5,6,14,10,423,426,25,15,98,97,70,73,3,2,0,0,,,H
UTmxdEnc,25.04.2021 19:30,Fenerbahce,Kasimpasa,3,2,61%,39%,21,11,11,3,6,5,4,3,7,3,4,1,1,8,8,12,565,350,16,10,126,75,69,43,2,1,0,0,,,H
SO9gXU9d,25.04.2021 15:00,Basaksehir,Alanyaspor,0,0,50%,50%,3,13,0,5,2,5,1,3,4,3,2,2,5,0,17,7,474,474,12,16,68,77,44,56,1,0,0,0,,,D
OANRX107,25.04.2021 15:00,Gaziantep,Erzurumspor,2,3,64%,36%,14,12,6,6,5,2,3,4,7,5,1,0,3,4,10,14,557,309,11,7,85,81,72,47,0,3,0,0,,,A
Ao8Mz4Gl,25.04.2021 12:30,Yeni Malatyaspor,Ankaragucu,2,1,48%,52%,12,9,6,4,5,4,1,1,4,4,1,1,3,4,12,9,360,392,18,9,91,121,58,79,2,5,0,1,,,H
dr4Iyp1r,24.04.2021 19:30,Antalyaspor,Galatasaray,0,1,26%,74%,3,22,1,8,1,9,1,5,1,8,1,4,7,1,17,13,235,645,9,13,51,96,25,112,7,1,2,0,,,A
GpjlgCWF,24.04.2021 19:30,Besiktas,Kayserispor,3,1,64%,36%,19,6,7,1,4,2,8,3,3,0,6,1,0,4,19,18,607,342,22,22,150,101,102,45,4,1,0,0,,,H
xfipfhH9,24.04.2021 19:30,Denizlispor,Sivasspor,1,1,62%,38%,7,10,3,2,2,6,2,2,5,5,2,1,1,2,12,9,541,317,13,17,95,90,66,84,0,1,0,0,,,D
ra6UYso1,24.04.2021 15:00,Trabzonspor,Karagumruk,2,0,36%,64%,15,15,6,6,6,3,3,6,2,10,2,0,6,4,9,15,397,698,17,16,95,127,54,97,1,3,0,0,,,H
8KnteY13,24.04.2021 12:30,Konyaspor,Hatayspor,0,0,56%,44%,12,5,4,4,8,1,0,0,4,0,1,1,4,4,10,14,457,362,13,16,98,76,72,51,4,1,1,0,,,D
487QZNVf,23.04.2021 19:30,Genclerbirligi,Rizespor,2,1,50%,50%,12,14,6,3,4,7,2,4,4,7,0,2,2,4,11,10,452,432,10,11,83,74,59,56,1,0,0,0,,,H
GQN2sFX3,22.04.2021 18:00,Kasimpasa,Basaksehir,0,1,50%,50%,9,7,3,4,5,2,1,1,4,3,0,2,3,3,11,10,483,493,11,12,98,90,78,52,3,1,0,0,,,A
Y1YcreIc,22.04.2021 15:00,Alanyaspor,Gaziantep,3,2,53%,47%,17,8,7,4,7,2,3,2,4,4,2,2,2,4,10,13,461,412,14,19,88,101,54,62,3,2,0,0,,,H
2sQEvDHM,21.04.2021 18:00,Galatasaray,Trabzonspor,1,1,53%,47%,15,9,4,5,7,1,4,3,7,5,1,2,4,3,15,11,440,397,23,18,88,94,67,58,1,3,0,0,,,D
MR6oZjup,21.04.2021 15:00,Ankaragucu,Denizlispor,1,1,50%,50%,15,5,6,2,8,2,1,1,6,3,1,0,1,5,13,22,376,387,17,15,60,66,57,37,1,3,0,0,,,D
tfWCKiQj,21.04.2021 15:00,Erzurumspor,Yeni Malatyaspor,1,0,52%,48%,15,8,4,2,8,5,3,1,2,6,1,0,2,3,16,12,433,395,17,6,87,84,67,46,1,1,0,0,,,H
Gl6kYAfj,20.04.2021 18:00,Hatayspor,Antalyaspor,3,2,54%,46%,21,13,9,9,4,2,8,2,7,7,1,4,7,6,13,11,464,396,17,7,100,75,87,68,2,0,0,0,,,H
UTR6tZnA,20.04.2021 18:00,Sivasspor,Besiktas,0,0,32%,68%,7,7,0,3,6,3,1,1,1,1,5,2,3,0,22,11,264,571,24,10,104,126,49,63,1,3,0,0,,,D
fBZgqy3i,20.04.2021 15:00,Karagumruk,Goztepe,1,1,51%,49%,8,13,6,3,1,7,1,3,4,7,2,2,2,5,11,11,489,436,17,11,81,93,51,72,1,1,0,0,,,D
OjRAug2G,20.04.2021 15:00,Kayserispor,Genclerbirligi,2,2,57%,43%,9,9,4,3,3,5,2,1,6,3,2,1,1,2,19,11,509,382,12,12,119,89,88,59,5,2,0,0,,,D
KIKJwXWS,20.04.2021 15:00,Rizespor,Konyaspor,5,3,48%,52%,19,24,9,8,5,8,5,8,9,6,2,0,5,4,11,7,398,427,14,21,74,92,73,87,2,1,0,0,,,H
rJjxRgmN,18.04.2021 18:00,Basaksehir,Fenerbahce,1,2,50%,50%,8,17,5,7,2,7,1,3,1,6,2,1,5,4,18,12,505,509,9,10,121,122,61,81,3,3,1,0,,,A
6yIU7Eto,18.04.2021 15:00,Gaziantep,Kasimpasa,2,2,61%,39%,18,14,3,7,10,3,5,4,9,6,1,5,5,1,14,12,418,269,15,19,103,81,96,62,2,2,0,0,,,D
A5hUSFIA,17.04.2021 18:00,Goztepe,Galatasaray,1,3,42%,58%,6,14,1,6,4,5,1,3,3,8,1,4,3,0,13,11,401,557,16,24,95,125,47,86,1,1,0,0,,,A
hUcPTe34,17.04.2021 15:00,Trabzonspor,Hatayspor,1,1,49%,51%,10,10,3,2,4,6,3,2,6,1,1,0,1,2,17,22,392,423,12,17,76,86,73,61,3,4,0,0,,,D
8tdDWcJo,17.04.2021 15:00,Yeni Malatyaspor,Alanyaspor,1,0,40%,60%,3,9,1,4,2,5,0,0,2,7,2,0,4,0,13,16,365,549,14,5,64,87,29,69,4,0,0,0,,,H
23X8LXAp,17.04.2021 12:30,Denizlispor,Erzurumspor,2,3,51%,49%,12,12,5,5,3,4,4,3,6,4,2,2,2,3,13,14,416,398,18,12,75,74,72,60,1,3,0,0,,,A
dMftQD2T,16.04.2021 18:00,Antalyaspor,Rizespor,2,3,53%,47%,17,8,5,6,8,1,4,1,7,3,0,0,3,3,11,13,505,448,15,18,110,106,72,52,2,2,0,0,,,A
ldiYRZXG,16.04.2021 18:00,Besiktas,Ankaragucu,2,2,62%,38%,9,7,3,3,4,1,2,3,5,2,0,1,1,1,12,17,505,306,12,21,92,76,76,41,1,2,0,0,,,D
KGaHVHYi,16.04.2021 15:00,Genclerbirligi,Sivasspor,2,3,41%,59%,8,17,5,8,3,5,0,4,3,5,0,1,5,3,11,8,367,496,20,6,97,111,34,64,2,3,0,0,,,A
EwaLUylb,16.04.2021 15:00,Konyaspor,Kayserispor,0,0,65%,35%,19,8,6,1,10,3,3,4,10,3,2,0,1,6,6,15,516,284,7,10,98,89,84,43,0,3,0,0,,,D
zgRbDzJN,12.04.2021 18:00,Alanyaspor,Denizlispor,3,2,63%,37%,25,10,10,3,5,3,10,4,8,1,0,2,1,7,13,12,568,341,12,15,91,68,83,38,2,4,0,0,,,H
nBJtJvkn,12.04.2021 18:00,Fenerbahce,Gaziantep,3,1,63%,37%,17,11,9,3,6,5,2,3,8,3,2,1,2,6,10,15,505,297,17,10,126,58,101,47,2,2,0,0,,,H
WbqXby4U,12.04.2021 15:00,Kasimpasa,Yeni Malatyaspor,0,0,62%,38%,14,5,3,1,10,3,1,1,4,4,3,4,1,3,11,9,485,291,16,14,101,85,78,53,1,1,0,0,,,D
