id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Expected Goals (xG)_home,Expected Goals (xG)_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away,result
ILtc83XM,07.05.2023 18:00,Giresunspor,Fenerbahce,1,1,33%,67%,7,11,5,4,2,7,,,,,3,11,0,4,,,3,4,14,14,80,132,35,80,0,0,5,2,,,,,,,,,D
dCu17NnT,07.05.2023 15:00,Konyaspor,Kayserispor,2,2,56%,44%,7,8,3,4,4,4,,,,,3,7,2,2,,,2,1,14,7,113,106,70,68,0,0,1,1,,,,,,,,,D
j9ktCoYc,07.05.2023 12:30,Umraniyespor,Sivasspor,4,1,53%,47%,15,5,9,2,6,3,,,,,7,7,1,3,,,1,5,21,14,120,115,71,83,0,1,6,1,,,,,,,,,H
tv8kkOQp,06.05.2023 20:00,Adana Demirspor,Alanyaspor,4,2,51%,49%,17,13,8,5,9,8,,,,,2,2,2,3,,,3,4,9,13,110,114,60,62,0,0,1,2,,,,,,,,,H
MZpxDRIi,06.05.2023 18:00,Antalyaspor,Besiktas,1,3,32%,68%,9,11,3,5,6,6,,,,,3,5,2,1,,,2,2,11,10,71,97,41,55,1,0,1,0,,,,,,,,,A
zutI7WtC,01.05.2023 19:00,Istanbulspor AS,Giresunspor,1,0,30%,70%,5,20,2,6,3,14,,,,,3,4,0,2,,,6,1,5,12,83,119,25,88,1,0,3,2,,,,,,,,,H
U1uM6jdI,30.04.2023 19:00,Basaksehir,Hatayspor,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,H
xnRCAYdg,30.04.2023 19:00,Kayserispor,Gaziantep,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,H
ULN4CfSt,30.04.2023 18:00,Besiktas,Galatasaray,3,1,45%,55%,13,7,6,1,7,6,,,,,4,1,2,1,,,0,3,12,13,85,99,82,87,0,0,6,2,,,,,,,,,H
GxQG9hCa,29.04.2023 18:00,Ankaragucu,Kasimpasa,0,0,49%,51%,6,8,2,3,4,5,,,,,5,3,1,2,,,3,2,14,12,114,125,67,65,0,0,1,2,,,,,,,,,D
