id,date,home_team,away_team,home_goals,away_goals,Expected Goals (xG)_home,Expected Goals (xG)_away,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,result
A7RiMmjp,24.02.2024 17:00,Fenerbahce,Kasimpasa,2,1,3.58,0.92,60%,40%,18,10,5,2,12,4,1,4,25,12,4,3,2,3,30,26,1,3,10,23,2,3,113,108,62,28,0,0,H
jNpLR9SM,24.02.2024 17:00,Konyaspor,Hatayspor,2,0,1.74,0.27,45%,55%,13,7,4,4,7,2,2,1,17,9,4,3,1,2,22,24,4,2,8,15,6,3,87,114,37,59,0,0,H
feDsqBcc,24.02.2024 14:00,Gaziantep,Basaksehir,0,2,0.69,0.32,54%,46%,13,4,6,4,3,0,4,0,14,14,5,0,0,2,20,25,2,6,13,12,1,3,126,79,41,30,0,0,A
pp6ft9sG,24.02.2024 11:30,Kayserispor,Ankaragucu,3,2,0.74,1.83,62%,38%,10,9,4,5,3,3,3,1,16,10,4,3,0,3,28,19,3,1,10,13,4,3,113,73,54,23,0,0,H
Oz5buTdM,23.02.2024 18:00,Samsunspor,Rizespor,3,0,1.38,0.70,44%,56%,15,11,3,4,6,4,6,3,10,19,2,8,0,3,21,24,4,0,19,8,2,1,130,89,34,40,0,0,H
GSKtVNHH,19.02.2024 18:00,Basaksehir,Kayserispor,2,3,2.80,1.25,64%,36%,19,14,7,7,7,4,5,3,27,11,7,3,4,2,18,15,4,5,7,26,2,4,107,65,50,33,0,0,A
d0oHSkDG,19.02.2024 18:00,Besiktas,Konyaspor,2,0,1.56,0.15,52%,48%,19,4,6,2,8,1,5,1,10,9,6,4,1,1,17,26,2,4,8,8,2,0,124,103,43,36,0,0,H
OhOlT1nU,18.02.2024 17:00,Ankaragucu,Galatasaray,0,3,0.32,2.42,43%,57%,8,24,3,10,4,4,1,10,15,9,3,16,4,0,23,23,7,3,6,14,1,1,82,101,36,60,0,0,A
Q1AGOLfo,18.02.2024 14:00,Gaziantep,Samsunspor,1,1,0.47,0.90,47%,53%,12,9,2,4,4,4,6,1,21,16,2,4,3,4,28,32,3,1,13,17,3,3,103,118,45,50,1,0,D
Msg4ViTc,18.02.2024 14:00,Pendikspor,Trabzonspor,0,2,0.55,1.50,43%,57%,8,11,0,4,5,3,3,4,13,14,4,6,2,1,17,21,2,0,12,12,0,1,91,108,41,49,0,0,A
UZzcXDbo,18.02.2024 11:30,Alanyaspor,Adana Demirspor,3,3,1.08,1.96,45%,55%,8,19,6,9,0,6,2,4,16,11,3,6,0,2,11,14,6,3,12,15,4,1,71,96,33,54,0,0,D
0Yi8UBr4,17.02.2024 17:00,Rizespor,Fenerbahce,1,3,0.65,1.68,52%,48%,8,13,4,5,3,6,1,2,19,18,3,6,2,1,35,19,2,3,16,18,4,2,109,76,59,50,0,0,A
I9nDTVcA,17.02.2024 14:00,Hatayspor,Sivasspor,1,1,0.66,0.22,58%,42%,15,4,6,2,4,0,5,2,11,14,6,2,1,1,17,16,1,5,14,10,1,1,113,74,67,29,0,0,D
