id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Red Cards_home,Red Cards_away,result
AN3fxH8H,13.03.2016 12:30,Eskisehirspor,Akhisarspor,3,3,49%,51%,13,15,6,6,7,9,19,23,4,5,0,1,35,23,3,3,22,14,8,4,0,0,D
4AYgvwv5,12.03.2016 18:00,Rizespor,Besiktas,1,2,36%,64%,7,15,5,9,2,6,6,20,2,6,3,1,11,18,7,4,15,4,5,1,0,0,A
r1XcwcgB,12.03.2016 14:30,Basaksehir,Ankaraspor,2,3,51%,49%,12,14,5,5,7,9,23,18,4,7,0,1,29,17,2,3,14,19,4,3,0,0,A
M1XCfbOo,12.03.2016 12:00,Gaziantepspor,Konyaspor,0,1,52%,48%,8,9,1,4,7,5,22,16,3,5,0,2,25,29,3,1,14,18,4,2,0,0,A
KdgUVEoo,11.03.2016 19:00,Trabzonspor,Mersin,1,0,46%,54%,11,12,5,3,6,9,20,19,4,5,2,4,15,17,3,4,12,16,3,4,0,0,H
ELussufn,07.03.2016 19:00,Besiktas,Eskisehirspor,3,1,55%,45%,16,6,9,3,7,3,12,20,6,2,2,1,23,13,2,6,14,8,0,3,0,0,H
rwZAvnYm,06.03.2016 18:00,Akhisarspor,Fenerbahce,0,3,47%,53%,7,8,1,3,6,5,20,20,3,3,4,0,24,38,0,1,15,18,1,1,0,0,A
ltPVZNnJ,06.03.2016 18:00,Konyaspor,Trabzonspor,2,0,52%,48%,11,7,3,3,8,4,16,14,3,2,3,0,23,24,3,1,12,16,1,4,0,1,H
AkQRz4XC,06.03.2016 15:00,Galatasaray,Basaksehir,3,3,56%,44%,16,10,9,5,7,5,22,13,5,2,0,5,23,16,2,6,12,16,3,4,0,0,D
GjXIxQ20,06.03.2016 12:30,Kasimpasa,Antalyaspor,2,1,48%,52%,8,9,3,3,5,6,18,23,3,2,2,4,20,23,2,1,20,13,2,3,0,1,H
MTXEw6mf,05.03.2016 18:00,Ankaraspor,Gaziantepspor,1,1,48%,52%,14,5,4,1,10,4,16,17,10,2,5,1,32,16,0,3,11,15,2,3,0,0,D
zVtwrLvt,05.03.2016 15:00,Bursaspor,Rizespor,1,0,45%,55%,14,8,3,2,11,6,16,26,4,9,1,3,18,30,2,2,20,12,2,1,0,0,H
SQzNypI6,05.03.2016 12:30,Kayserispor,Genclerbirligi,0,2,38%,62%,24,4,3,2,21,2,23,14,10,1,4,2,27,14,0,3,10,17,3,3,0,0,A
dpVota9h,04.03.2016 19:00,Mersin,Sivasspor,1,0,53%,47%,15,10,5,4,10,6,21,21,8,3,4,3,28,25,4,4,16,15,3,4,0,0,H
ENAmNp3D,29.02.2016 19:00,Fenerbahce,Besiktas,2,0,53%,47%,11,11,6,5,5,6,21,20,7,7,4,2,16,28,5,4,16,18,4,2,0,0,H
S6CuP6Y0,28.02.2016 18:00,Gaziantepspor,Galatasaray,2,0,44%,56%,9,10,3,4,6,6,11,15,6,10,0,2,22,29,4,1,13,10,2,2,0,0,H
zXBqOQm7,28.02.2016 15:00,Genclerbirligi,Akhisarspor,3,1,64%,36%,12,13,4,3,8,10,19,13,3,2,0,0,32,27,2,1,11,19,2,4,0,0,H
lGDyQnJf,28.02.2016 12:30,Sivasspor,Antalyaspor,0,0,47%,53%,17,6,5,0,12,6,18,24,4,3,2,2,25,19,0,5,22,17,1,4,1,0,D
Ohhvp8AQ,27.02.2016 18:00,Trabzonspor,Ankaraspor,1,2,51%,49%,14,19,4,8,10,11,23,6,8,9,0,1,24,13,6,3,6,18,1,1,0,0,A
GSlWoUuE,27.02.2016 15:00,Eskisehirspor,Bursaspor,0,1,44%,56%,13,10,3,4,10,6,19,17,2,2,1,4,18,25,3,3,16,13,2,2,0,0,A
UVhzoleK,27.02.2016 12:30,Mersin,Konyaspor,0,2,49%,51%,7,11,4,5,3,6,22,19,4,5,2,3,20,16,3,4,17,19,3,2,1,0,A
6iOWQS3l,27.02.2016 12:30,Rizespor,Kasimpasa,2,0,45%,55%,11,15,5,6,6,9,12,14,4,14,1,1,14,15,6,3,12,9,4,2,0,0,H
Q1v6uSIs,26.02.2016 19:00,Basaksehir,Kayserispor,1,0,51%,49%,13,5,9,1,4,4,14,17,7,4,1,2,21,25,1,8,16,12,1,2,0,0,H
0julZjd8,22.02.2016 19:00,Besiktas,Genclerbirligi,1,0,57%,43%,20,7,7,3,13,4,20,14,5,0,0,2,24,21,3,6,13,18,2,3,0,0,H
z9X0WltR,21.02.2016 18:00,Galatasaray,Trabzonspor,2,1,59%,41%,20,4,11,2,9,2,12,8,9,4,1,3,16,11,1,9,7,9,2,4,0,4,H
vsvhYABE,21.02.2016 14:30,Akhisarspor,Basaksehir,0,0,50%,50%,9,12,3,4,6,8,18,22,2,6,0,0,12,7,4,3,19,19,4,2,0,0,D
hlKSR8lr,21.02.2016 12:00,Ankaraspor,Mersin,3,1,55%,45%,12,11,8,4,4,7,23,15,4,6,1,2,22,41,3,5,13,20,3,2,0,0,H
dIYdXUQK,21.02.2016 12:00,Kayserispor,Gaziantepspor,2,2,49%,51%,17,16,7,7,10,9,16,19,4,4,2,2,15,29,5,5,15,14,2,2,0,0,D
SnpfD9Zl,20.02.2016 18:00,Bursaspor,Fenerbahce,0,0,49%,51%,6,30,2,8,4,22,22,12,1,8,3,4,12,22,8,2,11,18,2,2,0,0,D
6wqbCTle,20.02.2016 15:00,Antalyaspor,Rizespor,2,1,52%,48%,21,6,7,2,14,4,17,15,8,4,0,1,19,20,1,5,15,15,1,1,0,0,H
l2Y2Bm41,20.02.2016 12:30,Kasimpasa,Eskisehirspor,2,1,43%,57%,11,13,5,5,6,8,17,33,2,4,1,3,17,45,4,3,29,12,4,2,0,0,H
nmi6A7J7,19.02.2016 19:00,Konyaspor,Sivasspor,2,1,53%,47%,14,13,8,4,6,9,20,15,4,7,2,0,25,32,3,6,13,19,2,4,0,0,H
x2mRhrh5,17.02.2016 18:30,Besiktas,Mersin,1,0,60%,40%,15,7,4,1,11,6,,,10,4,3,3,,,1,3,6,28,2,2,0,0,H
d4gOIVBR,15.02.2016 19:00,Trabzonspor,Kayserispor,2,1,46%,54%,17,20,7,6,10,14,23,18,6,10,4,1,16,30,5,5,13,23,5,1,0,0,H
fJcOaj5k,14.02.2016 18:00,Basaksehir,Besiktas,2,2,48%,52%,7,11,4,5,3,6,13,27,4,7,4,4,19,31,3,2,23,11,5,1,0,0,D
0x0FKisF,14.02.2016 15:00,Eskisehirspor,Antalyaspor,3,2,51%,49%,11,9,4,3,7,6,17,16,2,7,2,0,27,23,1,1,14,17,5,5,1,0,H
SO17MDC2,14.02.2016 12:30,Gaziantepspor,Akhisarspor,0,1,54%,46%,9,10,2,5,7,5,21,21,4,3,1,2,22,16,4,2,19,20,3,2,0,0,A
Eu4JJBdL,14.02.2016 12:30,Sivasspor,Rizespor,2,1,48%,52%,16,7,6,2,10,5,14,22,3,2,1,0,31,25,1,4,20,15,4,3,1,0,H
bDujEkKr,13.02.2016 18:00,Mersin,Galatasaray,2,1,45%,55%,10,14,5,6,5,8,17,18,7,5,3,3,19,20,5,3,15,14,2,8,0,1,H
SWeWcUZ1,13.02.2016 15:00,Konyaspor,Ankaraspor,1,1,60%,40%,8,12,5,6,3,6,20,11,6,7,0,1,20,21,5,4,12,16,2,4,0,0,D
6F0BLXR8,13.02.2016 12:30,Genclerbirligi,Bursaspor,2,0,49%,51%,12,13,7,2,5,11,12,11,3,9,1,0,20,27,2,5,11,12,4,2,0,0,H
ltcSbAKe,12.02.2016 19:00,Fenerbahce,Kasimpasa,3,1,58%,42%,16,7,8,5,8,2,18,15,6,3,1,3,25,25,4,5,14,16,3,4,0,1,H
tGXloijd,08.02.2016 19:00,Kasimpasa,Genclerbirligi,0,1,52%,48%,14,5,4,1,10,4,19,15,4,3,0,0,22,30,0,4,15,16,3,1,1,0,A
S8Dq7YCF,07.02.2016 18:00,Besiktas,Gaziantepspor,4,0,59%,41%,13,13,10,6,3,7,18,19,2,2,3,3,23,13,6,6,15,12,1,1,0,0,H
fJLW9zTd,07.02.2016 14:00,Akhisarspor,Trabzonspor,2,1,55%,45%,9,6,2,3,7,3,21,17,3,6,2,0,24,27,2,0,17,24,2,2,0,1,H
zZGi5CsS,07.02.2016 12:30,Rizespor,Eskisehirspor,1,1,65%,35%,18,5,4,3,14,2,10,12,5,2,1,1,17,28,2,3,11,9,2,4,0,0,D
drIm6hSL,06.02.2016 18:00,Galatasaray,Konyaspor,0,0,56%,44%,12,8,2,3,10,5,22,21,6,3,2,3,32,38,3,2,16,19,3,2,0,0,D
lIEu8Ec9,06.02.2016 15:00,Bursaspor,Basaksehir,3,3,39%,61%,10,14,5,7,5,7,17,20,4,7,1,3,18,26,4,2,17,14,5,3,1,0,D
tGgK0Wkq,06.02.2016 12:30,Kayserispor,Mersin,0,1,53%,47%,11,9,3,3,8,6,29,18,7,5,1,5,17,33,2,3,15,22,3,4,1,0,A
6gPz9fr3,05.02.2016 19:00,Antalyaspor,Fenerbahce,4,2,53%,47%,15,11,10,5,5,6,24,20,4,5,1,2,14,26,3,6,17,20,2,4,0,0,H
2PYpnXzj,05.02.2016 18:00,Ankaraspor,Sivasspor,4,0,57%,43%,20,8,8,2,12,6,12,17,6,3,3,1,13,20,2,4,14,10,2,2,0,0,H
IZNa7s7b,25.01.2016 19:00,Basaksehir,Kasimpasa,1,1,49%,51%,13,8,6,4,7,4,23,23,5,0,1,2,25,17,3,5,20,21,3,3,0,0,D
0bD461M4,24.01.2016 15:00,Fenerbahce,Rizespor,2,1,60%,40%,14,5,4,2,10,3,13,15,12,1,0,2,24,26,1,2,14,13,5,3,0,0,H
8OGC4uiH,24.01.2016 15:00,Gaziantepspor,Bursaspor,2,3,51%,49%,13,9,7,4,6,5,18,15,5,5,3,0,28,18,1,5,11,18,3,3,0,0,A
tfprk0iU,24.01.2016 12:00,Genclerbirligi,Antalyaspor,1,0,62%,38%,13,3,5,0,8,3,22,17,9,2,3,0,19,13,0,4,14,22,1,2,0,0,H
E1H85LyB,24.01.2016 12:00,Sivasspor,Eskisehirspor,1,2,56%,44%,16,12,5,6,11,6,13,20,5,4,1,0,21,14,4,4,16,13,3,5,1,0,A
plvtmDLq,23.01.2016 18:00,Ankaraspor,Galatasaray,3,2,45%,55%,13,13,7,4,6,9,15,21,1,7,5,0,23,31,2,4,16,11,3,2,0,0,H
p8Ah93xn,23.01.2016 15:00,Mersin,Akhisarspor,0,0,53%,47%,14,8,5,2,9,6,23,20,5,6,2,3,29,27,2,5,17,19,2,3,0,0,D
6HBlAqNu,23.01.2016 12:30,Konyaspor,Kayserispor,1,0,50%,50%,5,9,3,3,2,6,21,17,3,5,3,2,26,34,3,2,14,18,4,4,0,1,H
