id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Goal Kicks_home,Goal Kicks_away,result
KzfNQsSF,08.05.2015 19:00,Kayseri Erciyesspor,Mersin,2,2,47%,53%,10,14,3,6,7,8,11,15,3,5,1,2,19,28,4,1,15,8,1,0,4,0,,,D
E3dyH6bi,04.05.2015 19:00,Akhisarspor,Galatasaray,0,2,44%,56%,15,12,6,5,9,7,13,26,6,3,2,2,21,18,3,6,23,11,0,0,3,1,,,A
MTaqFpT3,04.05.2015 19:00,Kayseri Erciyesspor,Sivasspor,2,3,40%,60%,18,18,8,7,10,11,6,19,6,7,1,1,10,15,4,6,14,7,0,0,5,2,,,A
CbIhhNLj,03.05.2015 18:00,Trabzonspor,Besiktas,0,2,45%,55%,8,17,1,7,7,10,14,20,4,3,2,0,19,24,5,1,18,16,0,0,2,2,,,A
Y7Jlg36p,03.05.2015 15:00,Gaziantepspor,Genclerbirligi,0,3,53%,47%,15,9,3,5,12,4,31,19,8,2,3,5,22,19,2,3,15,24,0,0,2,2,,,A
tGRMcqbT,03.05.2015 12:00,Kasimpasa,Bursaspor,5,3,38%,62%,15,15,8,6,7,9,15,17,4,5,2,2,14,15,3,3,15,12,0,0,3,5,,,H
2PSIbPrN,02.05.2015 18:00,Fenerbahce,Balikesirspor,4,3,62%,38%,25,10,7,4,18,6,16,12,10,4,2,2,28,13,1,3,10,16,0,0,3,4,,,H
tWFpDOcG,02.05.2015 18:00,Kardemir Karabuk,Rizespor,2,0,68%,32%,19,6,8,2,11,4,17,11,10,3,0,2,23,12,2,6,11,14,0,0,2,3,,,H
S60uGQDc,02.05.2015 15:00,Mersin,Konyaspor,3,1,44%,56%,11,18,6,8,5,10,15,33,2,7,8,0,16,18,7,3,19,14,0,0,4,1,,,H
0KbmE4rA,02.05.2015 12:30,Basaksehir,Eskisehirspor,1,1,53%,47%,20,11,8,4,12,7,10,20,7,4,1,0,28,23,3,7,18,9,0,0,1,2,,,D
8QZ90oEA,27.04.2015 19:00,Besiktas,Kardemir Karabuk,2,1,48%,52%,11,7,6,1,5,6,18,18,3,5,5,1,22,17,0,4,11,15,1,1,1,4,,,H
6cDvo6EN,26.04.2015 18:00,Galatasaray,Gaziantepspor,1,0,56%,44%,27,8,7,1,20,7,24,20,9,4,4,1,21,23,1,6,15,22,0,0,3,5,,,H
lM2qpQTT,26.04.2015 15:00,Genclerbirligi,Trabzonspor,1,1,46%,54%,8,16,2,1,6,15,15,16,2,2,0,4,23,22,0,1,15,10,1,0,5,1,,,D
zDy227qb,26.04.2015 12:00,Balikesirspor,Kayseri Erciyesspor,1,1,44%,56%,12,20,4,4,8,16,19,14,3,6,1,0,25,19,3,3,13,18,0,0,2,2,,,D
E3z61Rb4,26.04.2015 12:00,Konyaspor,Akhisarspor,2,1,49%,51%,15,7,6,1,9,6,18,19,5,4,1,4,14,26,0,4,19,13,0,0,1,2,,,H
Iysc3mUi,25.04.2015 18:00,Eskisehirspor,Fenerbahce,1,1,49%,51%,12,6,8,0,4,6,12,17,10,2,3,1,27,17,0,7,17,13,0,0,1,0,,,D
K0wEa5TG,25.04.2015 15:00,Rizespor,Kasimpasa,1,3,47%,53%,9,17,3,5,6,12,19,20,6,3,3,0,27,25,2,2,14,19,0,1,1,2,,,A
vorg4TEo,25.04.2015 12:30,Bursaspor,Basaksehir,4,1,48%,52%,16,16,8,3,8,13,20,16,8,2,2,2,20,23,2,4,12,18,0,0,1,2,,,H
QsfBupxo,24.04.2015 19:00,Sivasspor,Mersin,1,2,41%,59%,10,13,2,4,8,9,10,17,3,7,2,3,27,21,2,1,15,7,0,0,1,0,,,A
nZw2XnpO,20.04.2015 19:00,Fenerbahce,Bursaspor,1,0,57%,43%,20,13,7,4,13,9,18,23,8,4,3,2,32,14,4,6,17,15,0,0,5,3,,,H
CGBOllFb,20.04.2015 19:00,Mersin,Akhisarspor,1,1,55%,45%,12,10,1,3,11,7,18,22,3,1,2,1,24,13,2,0,17,18,0,0,1,4,,,D
4j8GjApn,19.04.2015 18:00,Trabzonspor,Galatasaray,2,1,37%,63%,18,17,6,7,12,10,11,22,1,11,1,0,22,37,6,4,20,10,1,0,8,7,,,H
S6EznnaH,19.04.2015 15:00,Basaksehir,Rizespor,3,1,54%,46%,23,6,9,2,14,4,16,7,6,2,2,3,23,26,1,6,6,12,0,0,1,2,,,H
fu1Tm8U4,19.04.2015 14:00,Sivasspor,Balikesirspor,1,1,60%,40%,22,5,5,1,17,4,18,19,6,5,0,5,24,22,0,4,17,12,0,0,,,,,D
YVaXnSqB,19.04.2015 12:00,Kayseri Erciyesspor,Eskisehirspor,0,1,52%,48%,6,8,1,3,5,5,24,20,4,0,0,1,24,35,2,1,16,20,0,0,2,2,,,A
Qa9CijVu,18.04.2015 18:00,Kasimpasa,Besiktas,1,5,40%,60%,6,7,2,5,4,2,22,23,3,1,5,2,14,16,0,1,15,19,2,0,1,0,,,A
QPx6W6aU,18.04.2015 15:00,Kardemir Karabuk,Genclerbirligi,2,1,55%,45%,13,7,8,2,5,5,24,21,5,2,0,2,18,22,1,6,17,20,0,1,1,3,,,H
bD7KkUah,17.04.2015 19:00,Gaziantepspor,Konyaspor,1,1,51%,49%,3,16,2,4,1,12,18,17,3,5,1,1,26,37,3,1,15,16,0,0,0,2,,,D
CdqwwiGn,06.04.2015 19:00,Besiktas,Basaksehir,0,0,52%,48%,15,14,5,5,10,9,15,14,5,5,2,0,19,25,5,5,11,14,0,0,1,1,,,D
bDokzk05,05.04.2015 18:00,Konyaspor,Trabzonspor,1,0,48%,52%,6,7,2,0,4,7,25,19,6,2,0,3,23,29,0,1,18,19,0,0,3,3,,,H
txyfZ8FB,05.04.2015 15:00,Galatasaray,Kardemir Karabuk,4,2,49%,51%,22,13,10,3,12,10,15,19,7,7,4,1,19,15,1,6,15,15,0,0,1,6,,,H
IeR4eaWD,05.04.2015 12:00,Akhisarspor,Gaziantepspor,3,0,45%,55%,14,14,6,5,8,9,13,23,0,4,1,1,16,23,5,3,20,13,0,0,2,1,,,H
4hwNWFgD,05.04.2015 12:00,Bursaspor,Kayseri Erciyesspor,3,0,58%,42%,12,2,6,1,6,1,22,18,7,3,2,3,24,18,1,3,15,19,0,0,0,3,,,H
jmrsxBVh,04.04.2015 18:00,Rizespor,Fenerbahce,1,5,48%,52%,18,17,4,7,14,10,7,20,6,4,3,0,17,11,2,3,16,6,0,0,1,0,,,A
KMnoyVpa,04.04.2015 15:00,Eskisehirspor,Sivasspor,1,3,55%,45%,15,9,5,4,10,5,20,18,4,6,0,4,22,23,1,4,15,15,0,0,3,2,,,A
hCvbYSUH,04.04.2015 12:30,Balikesirspor,Mersin,1,3,47%,53%,12,13,2,6,10,7,19,4,3,4,1,4,18,23,3,1,3,17,0,0,0,2,,,A
UXgYwX0t,04.04.2015 12:30,Genclerbirligi,Kasimpasa,5,2,43%,57%,8,13,6,6,2,7,21,24,2,6,5,1,11,11,4,1,21,21,0,0,2,3,,,H
6ytVrMn8,22.03.2015 19:00,Fenerbahce,Besiktas,1,0,59%,41%,12,8,3,1,9,7,17,15,9,2,1,2,30,21,1,2,13,16,0,0,1,2,,,H
bZK9yvur,22.03.2015 15:00,Trabzonspor,Akhisarspor,2,0,49%,51%,22,17,8,8,14,9,14,14,7,4,1,0,21,8,8,6,12,13,0,0,1,2,,,H
Q1vJXev7,22.03.2015 12:00,Basaksehir,Genclerbirligi,3,1,55%,45%,10,8,6,4,4,4,23,19,4,5,0,2,19,16,3,3,17,19,0,0,3,4,,,H
hhrstKWQ,21.03.2015 18:00,Kasimpasa,Galatasaray,2,3,46%,54%,17,13,7,5,10,8,18,16,2,5,2,3,23,22,2,5,9,12,0,0,3,2,,,A
pjNLYyP0,21.03.2015 15:00,Sivasspor,Bursaspor,4,1,54%,46%,9,15,5,3,4,12,20,21,7,4,3,1,31,20,2,1,18,17,0,2,1,4,,,H
E1qws0HK,21.03.2015 12:30,Kayseri Erciyesspor,Rizespor,0,3,50%,50%,11,9,2,7,9,2,27,14,5,3,0,3,18,19,4,2,12,23,1,0,4,1,,,A
