id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,Goal Kicks_home,Goal Kicks_away,result
hKUr0hN8,16.04.2018 19:00,Ankaraspor,Trabzonspor,3,3,47%,53%,16,10,6,6,10,4,17,17,6,3,1,1,29,21,3,3,16,17,0,1,115,103,71,55,0,0,,,D
4bllvB0k,15.04.2018 18:00,Galatasaray,Basaksehir,2,0,56%,44%,10,4,7,2,3,2,21,13,5,1,1,4,22,25,2,5,14,15,3,3,113,97,60,41,0,0,,,H
6DVpuioq,15.04.2018 15:00,Antalyaspor,Konyaspor,0,0,40%,60%,6,6,0,1,6,5,15,13,3,6,2,0,18,26,1,0,11,15,2,2,79,90,38,54,0,0,,,D
bLmhwVFe,15.04.2018 15:00,Goztepe,Bursaspor,2,1,52%,48%,5,5,3,2,2,3,20,17,6,5,3,2,19,41,1,1,15,17,1,4,90,140,61,78,0,0,,,H
ETVv1Y72,15.04.2018 12:30,Kayserispor,Genclerbirligi,3,2,56%,44%,7,10,3,7,4,3,15,16,1,7,2,2,19,25,5,0,12,14,2,3,73,82,37,55,0,0,,,H
nsUnaCxF,14.04.2018 18:00,Sivasspor,Fenerbahce,1,2,50%,50%,6,10,4,6,2,4,17,17,2,4,3,2,33,21,4,3,14,16,3,2,116,126,80,93,0,0,,,A
0pYjbWiL,14.04.2018 15:00,Yeni Malatyaspor,Alanyaspor,1,1,48%,52%,7,5,2,3,5,2,17,26,2,5,2,1,32,32,2,1,25,17,3,2,119,101,54,62,0,0,,,D
xCndxkV1,14.04.2018 12:30,Kasimpasa,Kardemir Karabuk,2,0,57%,43%,11,6,6,2,5,4,17,23,7,7,1,0,17,19,2,4,20,17,1,2,120,70,89,45,0,0,,,H
0WhIqXxS,13.04.2018 19:00,Akhisarspor,Besiktas,0,3,43%,57%,7,9,2,4,5,5,11,20,4,7,3,1,18,16,1,2,18,11,0,1,94,125,51,73,0,0,,,A
ImccleOd,09.04.2018 19:00,Genclerbirligi,Galatasaray,1,0,40%,60%,7,7,1,4,6,3,13,22,5,6,2,0,15,19,4,0,20,13,2,3,78,123,48,114,0,0,,,H
