id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,Goal Kicks_home,Goal Kicks_away,result
vXQ0CCJ1,24.09.2017 13:00,Kardemir Karabuk,Yeni Malatyaspor,2,4,45%,55%,12,6,5,5,7,1,13,28,4,4,4,1,32,19,1,3,24,12,2,2,101,87,82,44,0,0,,,A
pUHjZZQE,24.09.2017 13:00,Sivasspor,Goztepe,2,3,51%,49%,7,11,4,8,3,3,15,10,6,2,3,1,23,16,5,2,7,14,0,1,94,91,52,49,1,0,,,A
IHxhEYlk,23.09.2017 18:30,Fenerbahce,Besiktas,2,1,49%,51%,9,8,3,3,6,5,18,24,5,8,3,2,7,14,2,1,22,16,3,9,89,111,42,77,2,3,,,H
d8ydDh4e,23.09.2017 15:30,Genclerbirligi,Basaksehir,1,0,49%,51%,10,7,6,2,4,5,18,20,3,3,1,1,27,25,2,5,19,17,3,2,88,112,40,70,0,0,,,H
6wJnzGB8,23.09.2017 13:00,Konyaspor,Akhisarspor,2,0,47%,53%,8,9,4,3,4,6,16,18,2,6,1,2,21,22,3,2,15,15,2,2,96,103,51,76,0,0,,,H
OEcDH7es,22.09.2017 19:00,Trabzonspor,Alanyaspor,3,4,51%,49%,12,10,3,5,9,5,10,21,5,5,2,1,21,14,1,0,17,7,4,4,88,66,63,39,0,0,,,A
AiDE0FKk,18.09.2017 19:00,Besiktas,Konyaspor,2,0,55%,45%,16,11,9,3,7,8,14,9,3,2,1,2,16,20,3,7,8,12,2,2,92,83,67,61,0,0,,,H
dl9A1e5q,17.09.2017 19:00,Alanyaspor,Fenerbahce,1,4,46%,54%,6,12,2,8,4,4,16,14,3,6,2,2,16,16,4,1,12,14,0,3,85,132,64,76,0,0,,,A
r5BMbgk2,17.09.2017 19:00,Goztepe,Genclerbirligi,3,2,52%,48%,12,10,8,6,4,4,23,14,5,6,1,5,25,21,4,5,13,18,3,4,109,106,67,67,0,0,,,H
hzgDLGdF,17.09.2017 16:00,Ankaraspor,Sivasspor,2,4,45%,55%,10,15,5,8,5,7,21,12,6,7,3,4,20,22,4,3,9,17,2,6,89,89,61,55,0,0,,,A
KMf5NxS2,17.09.2017 16:00,Basaksehir,Trabzonspor,2,2,49%,51%,11,6,6,3,5,3,21,18,4,0,1,0,29,22,1,4,18,22,5,2,100,90,78,48,0,0,,,D
j7Ws6ycS,16.09.2017 19:00,Akhisarspor,Kardemir Karabuk,2,1,47%,53%,8,7,3,4,5,3,21,19,2,3,4,3,23,28,3,1,15,18,2,3,93,103,51,62,0,0,,,H
4ECIaZZe,16.09.2017 19:00,Galatasaray,Kasimpasa,2,0,57%,43%,14,7,8,2,6,5,18,18,11,2,3,4,24,21,2,6,14,11,1,4,154,90,108,56,0,0,,,H
4AdHKzCL,16.09.2017 16:00,Yeni Malatyaspor,Bursaspor,2,4,47%,53%,11,7,3,4,8,3,20,12,5,3,2,1,22,18,0,1,8,18,3,3,98,81,90,58,0,0,,,A
bDg9Mds9,15.09.2017 19:00,Kayserispor,Antalyaspor,2,0,50%,50%,8,4,3,2,5,2,18,5,5,5,0,5,27,17,2,1,6,11,2,5,65,64,49,49,0,0,,,H
rNQNAarc,11.09.2017 19:00,Kasimpasa,Yeni Malatyaspor,3,2,47%,53%,10,6,4,4,6,2,16,20,3,7,5,3,14,17,2,1,15,13,3,2,95,104,66,67,0,0,,,H
Wrc5hISS,10.09.2017 19:00,Antalyaspor,Galatasaray,1,1,57%,43%,7,6,4,1,3,5,20,18,10,0,5,1,15,18,0,3,11,18,0,1,104,95,94,59,0,0,,,D
YiqXmxyp,10.09.2017 19:00,Bursaspor,Akhisarspor,3,0,50%,50%,12,14,5,6,7,8,11,7,4,7,1,1,23,14,6,2,6,10,2,1,87,84,86,95,0,0,,,H
vkKW8wD9,10.09.2017 16:00,Ankaraspor,Goztepe,0,2,42%,58%,13,6,4,5,9,1,20,16,3,4,5,4,30,19,3,4,14,15,1,1,125,104,81,51,0,0,,,A
CGXw7HsM,10.09.2017 16:00,Trabzonspor,Genclerbirligi,3,1,59%,41%,14,7,5,3,9,4,22,18,4,5,4,0,25,18,2,2,15,21,4,7,97,78,78,28,0,0,,,H
jTwxmdjj,09.09.2017 19:00,Fenerbahce,Basaksehir,2,3,47%,53%,8,9,2,7,6,2,14,17,5,3,0,2,27,24,4,0,17,12,2,4,110,97,91,58,0,0,,,A
dQUR9Jc3,09.09.2017 19:00,Konyaspor,Alanyaspor,0,2,52%,48%,12,12,6,6,6,6,13,16,12,5,3,3,21,15,4,6,12,11,3,2,113,92,86,60,0,0,,,A
UJxtnG5d,09.09.2017 16:00,Kardemir Karabuk,Besiktas,0,1,41%,59%,13,12,5,6,8,6,17,19,3,4,1,2,17,20,5,5,18,15,3,4,89,111,60,73,0,1,,,A
IuJz8cSF,09.09.2017 16:00,Sivasspor,Kayserispor,0,2,53%,47%,6,7,2,4,4,3,20,14,6,4,1,2,29,21,2,2,13,18,2,2,115,107,58,42,0,0,,,A
OIXRvabT,27.08.2017 20:45,Akhisarspor,Kasimpasa,2,1,54%,46%,10,9,5,3,5,6,15,8,4,3,1,2,17,26,2,3,8,14,3,3,50,50,30,24,1,0,,,H
zc1pctEc,27.08.2017 20:45,Genclerbirligi,Fenerbahce,1,2,42%,58%,5,9,2,3,3,6,14,14,8,3,1,0,18,25,1,1,13,12,3,4,53,59,35,39,2,0,,,A
rN4heKrA,27.08.2017 18:45,Basaksehir,Konyaspor,2,1,53%,47%,9,8,6,4,3,4,14,22,6,7,1,2,25,20,3,4,19,12,4,5,64,56,38,22,0,1,,,H
4W5ld0T3,26.08.2017 20:45,Goztepe,Trabzonspor,3,2,51%,49%,15,10,9,2,6,8,16,17,3,4,1,0,23,17,0,6,18,18,2,4,108,120,70,81,0,0,,,H
QofcfvbG,26.08.2017 20:45,Kayserispor,Ankaraspor,2,2,60%,40%,8,13,4,4,4,9,13,14,6,3,2,1,19,28,2,2,13,9,5,1,103,84,51,45,1,1,,,D
f1OcZxMj,26.08.2017 18:45,Besiktas,Bursaspor,2,1,56%,44%,11,3,7,2,4,1,14,19,8,4,2,1,30,24,1,5,17,12,2,3,117,106,90,52,0,0,,,H
xMc1gbDM,26.08.2017 18:45,Yeni Malatyaspor,Antalyaspor,1,1,60%,40%,9,8,5,5,4,3,21,13,10,1,0,0,24,18,4,4,13,18,3,2,118,79,84,35,0,0,,,D
tbKgzJ6p,25.08.2017 20:45,Alanyaspor,Kardemir Karabuk,1,1,55%,45%,6,12,3,6,3,6,29,12,9,2,3,2,32,19,5,2,9,27,1,5,133,130,95,83,0,0,,,D
d62tbMbi,25.08.2017 20:45,Galatasaray,Sivasspor,3,0,56%,44%,9,6,6,2,3,4,14,27,6,5,6,2,37,23,2,3,20,11,3,0,111,87,90,56,0,0,,,H
QPIMs1EA,21.08.2017 20:45,Konyaspor,Genclerbirligi,3,0,52%,48%,9,6,6,3,3,3,18,16,1,2,2,3,23,25,3,3,14,15,1,1,102,91,51,49,0,0,,,H
W4AfvS7I,20.08.2017 20:45,Antalyaspor,Akhisarspor,2,2,46%,54%,7,10,3,4,4,6,15,18,3,4,3,2,16,20,2,1,15,10,3,2,0,0,0,0,0,0,,,D
dpR5oqFo,20.08.2017 20:45,Fenerbahce,Trabzonspor,2,2,53%,47%,8,5,3,3,5,2,29,21,4,9,1,2,29,24,1,1,17,28,2,4,0,0,0,0,0,0,,,D
W2JIrsa4,20.08.2017 19:00,Kayserispor,Goztepe,1,0,58%,42%,6,8,2,4,4,4,21,16,3,5,3,0,23,34,4,1,15,19,3,1,0,0,0,0,0,0,,,H
4GHQtLTG,19.08.2017 20:45,Ankaraspor,Galatasaray,1,3,39%,61%,7,8,4,6,3,2,18,17,4,5,1,1,21,22,3,3,16,17,2,2,0,0,0,0,0,0,,,A
pSYNuuqN,19.08.2017 20:45,Sivasspor,Yeni Malatyaspor,2,0,44%,56%,8,8,2,2,6,6,16,17,4,7,0,0,24,15,2,0,19,16,3,2,86,112,44,55,0,0,,,H
8UXNMaxo,19.08.2017 18:45,Bursaspor,Alanyaspor,3,2,52%,48%,11,11,6,6,5,5,17,18,1,2,1,2,19,17,4,3,16,15,2,2,0,0,0,0,0,0,,,H
zyQ9p3Ui,19.08.2017 18:00,Kardemir Karabuk,Basaksehir,3,1,51%,49%,8,4,3,2,5,2,14,18,5,1,3,5,31,25,1,0,14,8,2,1,97,124,75,67,0,0,,,H
IaFEqNqb,18.08.2017 20:45,Kasimpasa,Besiktas,2,2,39%,61%,7,11,4,5,3,6,21,17,4,4,2,1,10,19,3,2,14,20,4,2,0,0,0,0,0,0,,,D
MFAVqWws,14.08.2017 20:45,Galatasaray,Kayserispor,4,1,57%,43%,13,6,8,2,5,4,19,19,2,2,5,1,25,28,1,4,14,18,2,4,0,0,0,0,0,1,,,H
4zO3lCVP,13.08.2017 20:45,Besiktas,Antalyaspor,2,0,49%,51%,9,6,5,2,4,4,17,25,3,3,1,2,30,14,2,3,23,16,3,4,83,86,75,90,0,0,,,H
je2ntlw6,13.08.2017 19:00,Trabzonspor,Konyaspor,2,1,40%,60%,9,11,6,4,3,7,23,24,1,6,3,2,14,28,3,4,20,20,4,2,0,0,0,0,0,0,,,H
ltLku8hC,13.08.2017 19:00,Yeni Malatyaspor,Ankaraspor,3,1,48%,52%,10,9,6,5,4,4,14,15,3,5,1,2,13,35,4,3,14,13,1,3,0,0,0,0,0,1,,,H
jXJakhGJ,12.08.2017 20:45,Alanyaspor,Kasimpasa,1,3,54%,46%,16,7,7,3,9,4,23,13,5,3,1,0,20,13,0,6,12,23,2,4,0,0,0,0,0,0,,,A
Is4vrA8g,12.08.2017 20:45,Goztepe,Fenerbahce,2,2,38%,62%,6,8,4,5,2,3,18,23,0,4,3,6,22,23,3,2,20,12,4,1,0,0,0,0,0,0,,,D
lSuHQ8wJ,12.08.2017 19:00,Akhisarspor,Sivasspor,1,0,54%,46%,9,5,3,1,6,4,16,18,3,4,1,1,19,25,1,2,17,15,3,2,0,0,0,0,0,0,,,H
069Zrjgm,12.08.2017 19:00,Genclerbirligi,Kardemir Karabuk,1,1,49%,51%,6,6,3,1,3,5,22,22,4,1,2,3,21,28,0,2,20,19,2,3,0,0,0,0,0,0,,,D
dY2rsUNa,11.08.2017 20:45,Basaksehir,Bursaspor,1,0,52%,48%,5,4,3,1,2,3,10,15,0,3,0,1,28,27,1,2,15,9,1,1,0,0,0,0,0,0,,,H
