id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Red Cards_home,Red Cards_away,result,Goal Kicks_home,Goal Kicks_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Blocked Shots_home,Blocked Shots_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away
4Sgvz1R1,20.04.2014 18:00,Besiktas,Fenerbahce,1,1,49%,51%,12.0,19.0,4.0,5.0,8.0,14.0,25.0,24.0,6.0,7.0,2.0,2.0,20.0,21.0,4.0,3.0,19.0,22.0,7.0,3.0,2,0,D,,,,,,,,,,,,,,
xCMnpok9,20.04.2014 12:30,Rizespor,Konyaspor,3,1,53%,47%,9.0,22.0,5.0,9.0,4.0,13.0,15.0,18.0,2.0,10.0,2.0,0.0,20.0,24.0,8.0,2.0,14.0,17.0,1.0,5.0,0,0,H,,,,,,,,,,,,,,
QyezysCe,19.04.2014 18:00,Bursaspor,Elazigspor,1,0,56%,44%,18.0,8.0,4.0,3.0,14.0,5.0,15.0,25.0,8.0,2.0,0.0,1.0,25.0,17.0,3.0,3.0,21.0,15.0,2.0,1.0,0,0,H,,,,,,,,,,,,,,
G2Ljq54F,19.04.2014 18:00,Galatasaray,Kasimpasa,0,4,47%,53%,7.0,23.0,1.0,10.0,6.0,13.0,18.0,14.0,5.0,10.0,3.0,0.0,21.0,25.0,6.0,1.0,13.0,15.0,2.0,4.0,1,0,A,,,,,,,,,,,,,,
CUEasqZR,19.04.2014 15:00,Akhisarspor,Kayserispor,2,2,42%,58%,11.0,14.0,4.0,6.0,7.0,8.0,17.0,18.0,2.0,6.0,3.0,3.0,17.0,28.0,4.0,2.0,16.0,13.0,4.0,1.0,0,0,D,,,,,,,,,,,,,,
800VyNdk,19.04.2014 12:30,Gaziantepspor,Genclerbirligi,0,1,53%,47%,13.0,4.0,5.0,4.0,8.0,0.0,17.0,18.0,12.0,3.0,2.0,1.0,25.0,18.0,3.0,5.0,16.0,15.0,1.0,2.0,0,0,A,,,,,,,,,,,,,,
U91Rx3sq,18.04.2014 19:00,Kayseri Erciyesspor,Trabzonspor,0,5,49%,51%,21.0,14.0,6.0,9.0,15.0,5.0,16.0,9.0,4.0,3.0,0.0,2.0,24.0,19.0,4.0,6.0,10.0,14.0,1.0,1.0,0,0,A,,,,,,,,,,,,,,
Y1bKpcOM,14.04.2014 19:00,Elazigspor,Gaziantepspor,2,1,45%,55%,18.0,14.0,6.0,4.0,12.0,10.0,12.0,15.0,1.0,9.0,0.0,1.0,13.0,22.0,3.0,4.0,17.0,11.0,2.0,1.0,0,0,H,,,,,,,,,,,,,,
fBaGow9G,13.04.2014 18:00,Fenerbahce,Antalyaspor,4,1,53%,47%,12.0,7.0,7.0,4.0,5.0,3.0,26.0,18.0,5.0,5.0,2.0,5.0,32.0,27.0,3.0,3.0,16.0,22.0,1.0,5.0,0,1,H,,,,,,,,,,,,,,
n9veve1j,13.04.2014 15:00,Eskisehirspor,Trabzonspor,2,2,54%,46%,24.0,9.0,8.0,4.0,16.0,5.0,26.0,17.0,8.0,5.0,3.0,0.0,42.0,16.0,2.0,6.0,12.0,22.0,1.0,7.0,0,1,D,,,,,,,,,,,,,,
hnuiuynp,13.04.2014 12:30,Genclerbirligi,Kayseri Erciyesspor,0,0,48%,52%,13.0,9.0,3.0,1.0,10.0,8.0,15.0,14.0,3.0,3.0,0.0,0.0,25.0,24.0,1.0,3.0,12.0,13.0,3.0,3.0,0,0,D,,,,,,,,,,,,,,
0l0CnJgA,12.04.2014 18:00,Kayserispor,Rizespor,0,2,53%,47%,17.0,11.0,1.0,5.0,16.0,6.0,14.0,13.0,5.0,4.0,0.0,5.0,27.0,13.0,3.0,1.0,13.0,12.0,1.0,3.0,0,0,A,,,,,,,,,,,,,,
ry8qoRZ2,12.04.2014 18:00,Sivasspor,Galatasaray,2,1,39%,61%,16.0,13.0,6.0,4.0,10.0,9.0,8.0,15.0,5.0,6.0,3.0,1.0,20.0,24.0,3.0,4.0,17.0,7.0,1.0,2.0,0,0,H,,,,,,,,,,,,,,
