id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Free Kicks_home,Free Kicks_away,Throw-ins_home,Throw-ins_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Goal Kicks_home,Goal Kicks_away,Blocked Shots_home,Blocked Shots_away,result,Tackles_home,Tackles_away,Crosses Completed_home,Crosses Completed_away,Interceptions_home,Interceptions_away
vi1cECnC,03.10.2020 17:30,Wadi Degla,Aswan SC,1,0,56%,44%,9.0,11.0,6.0,1.0,3.0,10.0,12.0,4.0,7.0,0.0,1.0,5.0,1.0,1.0,407.0,271.0,305.0,182.0,98.0,87.0,85.0,49.0,,,,,,,0,0,,,,,H,,,,,,
MFj2DW1I,03.10.2020 15:00,ZED,Enppi,1,1,47%,53%,7.0,14.0,4.0,4.0,3.0,10.0,4.0,7.0,3.0,2.0,3.0,3.0,1.0,1.0,318.0,411.0,223.0,299.0,81.0,109.0,39.0,81.0,,,,,,,0,0,,,,,D,,,,,,
ShF6OdAJ,02.10.2020 20:30,El Ismaily,Smouha,1,1,57%,43%,10.0,10.0,3.0,4.0,7.0,6.0,5.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,503.0,322.0,397.0,214.0,131.0,88.0,65.0,40.0,,,,,,,0,1,,,,,D,,,,,,
f3aoHE2g,02.10.2020 17:30,Haras El Hodood,El-Entag El-Harby,1,3,53%,47%,24.0,11.0,6.0,6.0,18.0,5.0,7.0,3.0,2.0,3.0,3.0,5.0,1.0,3.0,397.0,319.0,265.0,223.0,105.0,99.0,84.0,39.0,,,,,,,0,0,,,,,A,,,,,,
by6xJzYt,01.10.2020 20:00,Al Masry,Zamalek,0,1,56%,44%,12.0,7.0,7.0,4.0,5.0,3.0,4.0,2.0,5.0,2.0,3.0,7.0,4.0,3.0,530.0,373.0,420.0,290.0,70.0,45.0,42.0,24.0,,,,,,,0,1,,,,,A,,,,,,
YgbkGYHa,01.10.2020 17:30,El Gouna,Tanta,2,0,56%,44%,21.0,9.0,12.0,2.0,9.0,7.0,9.0,5.0,5.0,2.0,2.0,10.0,2.0,4.0,424.0,294.0,331.0,224.0,92.0,75.0,64.0,31.0,,,,,,,0,0,,,,,H,,,,,,
QmyOaDXI,29.09.2020 20:00,Pyramids,Al Ittihad,1,0,60%,40%,18.0,5.0,8.0,0.0,10.0,5.0,13.0,5.0,2.0,1.0,0.0,7.0,2.0,1.0,562.0,329.0,454.0,237.0,70.0,47.0,89.0,44.0,,,,,,,0,1,,,,,H,,,,,,
4Ep34yJm,29.09.2020 17:30,Enppi,Misr Lel Makkasa,1,0,44%,56%,5.0,10.0,2.0,1.0,3.0,9.0,7.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,364.0,493.0,255.0,387.0,109.0,108.0,64.0,73.0,,,,,,,0,0,,,,,H,,,,,,
8raX9ceQ,29.09.2020 15:00,Arab Contractors,ZED,6,0,54%,46%,18.0,17.0,9.0,3.0,9.0,14.0,9.0,2.0,2.0,1.0,3.0,3.0,,,520.0,412.0,419.0,324.0,78.0,79.0,54.0,43.0,,,,,,,0,0,,,,,H,,,,,,
Aioa5H3s,28.09.2020 20:00,Aswan SC,Al Masry,0,1,49%,51%,6.0,7.0,2.0,1.0,4.0,6.0,5.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,382.0,380.0,278.0,299.0,109.0,111.0,79.0,65.0,,,,,,,0,0,,,,,A,,,,,,
vXxG1Z26,28.09.2020 17:30,El Gaish,El Ismaily,0,1,47%,53%,11.0,12.0,2.0,5.0,9.0,7.0,5.0,4.0,1.0,1.0,4.0,2.0,4.0,1.0,344.0,385.0,249.0,268.0,107.0,105.0,66.0,43.0,,,,,,,0,0,,,,,A,,,,,,
ncxK0gIC,28.09.2020 17:30,El-Entag El-Harby,Wadi Degla,1,4,64%,36%,23.0,10.0,6.0,7.0,17.0,3.0,5.0,6.0,1.0,1.0,3.0,5.0,1.0,2.0,548.0,269.0,455.0,175.0,102.0,82.0,62.0,34.0,,,,,,,0,0,,,,,A,,,,,,
IHl73eYg,28.09.2020 15:00,Smouha,Haras El Hodood,2,0,53%,47%,12.0,10.0,5.0,2.0,7.0,8.0,6.0,7.0,5.0,0.0,2.0,3.0,1.0,2.0,367.0,357.0,254.0,246.0,93.0,101.0,59.0,83.0,,,,,,,0,0,,,,,H,,,,,,
j74SAwtK,27.09.2020 20:00,Zamalek,El Gouna,4,3,55%,45%,16.0,16.0,8.0,5.0,8.0,11.0,6.0,6.0,1.0,2.0,2.0,4.0,2.0,2.0,505.0,382.0,411.0,285.0,97.0,90.0,71.0,62.0,,,,,,,0,0,,,,,H,,,,,,
0tvC2Fm0,26.09.2020 20:00,Tanta,Al Ahly,0,1,43%,57%,7.0,13.0,1.0,3.0,6.0,10.0,0.0,5.0,0.0,0.0,2.0,1.0,0.0,2.0,307.0,445.0,225.0,347.0,75.0,104.0,28.0,61.0,,,,,,,0,0,,,,,A,,,,,,
Aw6QjIll,25.09.2020 20:00,Al Ittihad,Enppi,0,2,61%,39%,16.0,8.0,2.0,2.0,14.0,6.0,9.0,2.0,3.0,3.0,0.0,2.0,2.0,3.0,537.0,301.0,384.0,195.0,125.0,110.0,76.0,53.0,,,,,,,0,0,,,,,A,,,,,,
