id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,result
42Qb8wQh,27.02.2022 16:30,Smouha,Ghazl El Mahallah,2,0,51%,49%,16,3,4,1,5,1,7,1,26,13,4,3,2,5,21,25,1,2,10,21,4,3,389,375,286,259,9,17,130,93,45,44,1,0,H
jaMf9JAn,25.02.2022 16:30,Future FC,Arab Contractors,1,0,61%,39%,13,4,3,1,6,2,4,1,16,20,5,1,1,1,19,14,1,2,21,18,1,6,481,313,402,225,11,17,125,83,57,35,0,0,H
bo1wKzP4,24.02.2022 16:30,National Bank Egypt,Pyramids,0,1,34%,66%,6,16,4,4,1,7,1,5,18,12,4,8,2,1,21,20,3,4,11,18,3,2,313,608,205,505,14,16,88,121,41,83,0,0,A
6RpOEumP,23.02.2022 16:30,El Ismaily,El Gouna,0,1,64%,36%,11,3,2,1,7,2,2,0,21,12,4,2,0,3,16,14,0,2,15,18,3,1,540,321,467,243,15,12,104,95,54,43,0,0,A
GMBYKG9b,23.02.2022 14:00,Eastern Company,Al Masry,2,2,41%,59%,11,5,4,2,4,2,3,1,23,22,2,4,0,2,15,19,0,2,22,24,1,4,267,376,168,268,24,11,102,111,57,51,0,0,D
IBitjdAO,22.02.2022 19:00,Al Ahly,Misr Lel Makkasa,4,0,71%,29%,17,6,8,1,6,4,3,1,9,12,8,0,6,0,22,15,1,4,7,10,2,1,633,259,539,171,15,8,111,83,75,26,0,0,H
vLhxixeI,22.02.2022 16:30,Enppi,Al Ittihad,1,0,33%,67%,9,15,2,4,7,8,0,3,17,19,2,5,3,2,19,33,4,1,17,14,2,3,247,500,145,373,19,20,101,149,43,70,0,0,H
dd3XiIuC,22.02.2022 14:00,Ceramica Cleopatra,Ghazl El Mahallah,0,0,62%,38%,12,7,2,1,7,5,3,1,16,9,6,4,0,2,24,20,1,2,13,16,3,1,429,258,322,158,20,10,111,106,62,48,0,0,D
bBpUhbQ5,21.02.2022 19:00,El Gaish,Pharco,1,0,46%,54%,6,7,3,2,3,5,0,0,23,24,5,5,2,0,25,21,2,2,24,24,4,2,273,322,171,230,17,13,111,99,51,38,1,0,H
4loQgvBa,21.02.2022 16:30,Arab Contractors,Smouha,0,0,40%,60%,7,9,4,1,2,3,1,5,9,18,3,5,3,0,31,41,1,4,16,13,2,2,258,386,159,288,26,18,84,122,41,68,0,0,D
xWCULdfh,17.02.2022 16:30,Al Masry,Ceramica Cleopatra,1,1,53%,47%,8,11,2,5,3,6,3,0,18,19,2,1,0,0,23,18,4,1,21,20,4,3,382,333,277,241,14,12,90,90,43,58,0,0,D
QcnMfKeg,16.02.2022 19:00,Future FC,National Bank Egypt,2,0,55%,45%,16,6,10,1,3,3,3,2,12,13,5,3,0,0,21,17,1,8,12,16,2,3,505,399,424,325,15,15,121,91,67,51,0,1,H
8d8QMxun,16.02.2022 16:30,Pyramids,El Ismaily,1,0,65%,35%,16,5,5,2,6,2,5,1,9,20,9,1,4,4,30,17,2,4,16,5,,,646,354,537,246,7,20,139,97,85,35,0,0,H
8MiHe0tm,16.02.2022 14:00,Pharco,Enppi,1,0,51%,49%,11,10,2,1,7,7,2,2,12,12,4,3,1,4,30,28,1,1,13,11,4,2,317,294,202,184,11,18,98,86,83,58,0,0,H
UVhDdtRt,15.02.2022 16:30,Smouha,Zamalek,2,0,45%,55%,11,11,3,4,6,4,2,3,13,18,5,2,1,3,15,30,4,1,19,13,3,4,348,401,262,311,28,7,106,114,48,56,0,0,H
Cj6o1MIP,15.02.2022 14:00,Ghazl El Mahallah,Arab Contractors,1,1,61%,39%,18,6,6,3,9,1,3,2,18,13,8,2,0,0,21,25,2,5,17,20,1,1,431,279,319,162,10,20,118,89,78,43,0,0,D
bm2s223J,14.02.2022 16:30,Misr Lel Makkasa,El Gaish,0,0,37%,63%,6,15,0,1,1,7,5,7,10,11,0,11,0,1,20,42,1,0,13,12,1,1,265,422,151,335,17,20,84,117,37,64,0,0,D
fFy1gAaJ,14.02.2022 14:00,Al Ittihad,Eastern Company,1,1,60%,40%,10,4,1,1,6,3,3,0,13,18,6,3,6,4,26,29,0,0,13,9,2,1,413,267,285,131,10,24,144,127,91,63,0,1,D
0j13tbY1,10.02.2022 19:00,El Ismaily,Future FC,0,0,51%,49%,13,5,4,0,6,4,3,1,7,17,4,4,1,0,32,15,0,4,19,13,3,3,382,366,308,296,17,16,115,86,65,45,0,0,D
lCsb2ueL,10.02.2022 16:30,National Bank Egypt,Smouha,1,2,57%,43%,10,10,2,5,4,3,4,2,14,16,6,3,2,2,19,22,3,1,18,17,3,4,369,289,265,191,19,11,108,102,65,42,1,1,A
rZt21aAR,09.02.2022 19:00,El Gaish,El Gouna,0,1,53%,47%,10,5,0,2,6,3,4,0,22,15,12,2,4,0,28,24,1,0,10,21,1,3,361,330,246,217,16,20,99,99,70,31,0,0,A
Egko5sB2,09.02.2022 16:30,Enppi,Misr Lel Makkasa,0,0,60%,40%,7,8,1,3,3,4,3,1,11,11,7,4,1,0,23,21,3,1,10,9,3,1,467,325,354,201,11,15,105,99,45,34,0,0,D
YZXFk2BF,26.12.2021 19:00,Future FC,Al Ahly,1,1,41%,59%,6,12,2,3,3,5,1,4,14,11,4,7,2,4,14,19,2,1,13,11,1,2,380,556,310,474,18,12,96,128,44,81,0,0,D
hplk41Q8,25.12.2021 19:00,Zamalek,Ghazl El Mahallah,4,0,65%,35%,18,14,5,7,9,5,4,2,10,8,4,6,0,3,10,14,7,1,10,8,0,1,636,349,566,280,16,12,107,94,55,47,0,0,H
nqFfRRSc,25.12.2021 16:30,Smouha,El Gaish,1,0,51%,49%,12,11,3,3,7,7,2,1,13,18,3,6,4,2,31,37,3,2,16,14,3,2,359,340,252,206,16,14,132,126,66,79,0,1,H
KW7ty3dM,25.12.2021 14:00,Enppi,Pyramids,1,1,29%,71%,8,13,1,3,3,9,4,1,11,15,2,6,1,1,14,20,2,0,18,15,2,3,231,581,136,486,9,8,91,123,49,71,0,0,D
nmcasvJe,24.12.2021 19:00,Al Masry,Al Ittihad,0,1,58%,42%,15,15,2,6,13,7,0,2,19,11,7,5,1,1,17,19,5,2,9,20,2,2,463,329,365,235,8,8,120,113,66,49,0,0,A
4O7frK3k,24.12.2021 16:30,Eastern Company,Pharco,0,3,34%,66%,10,11,2,5,5,3,3,3,14,10,2,2,4,2,21,24,2,2,6,14,3,2,243,470,135,344,11,17,112,122,48,72,0,0,A
QX8jq0lq,24.12.2021 14:00,Ceramica Cleopatra,Arab Contractors,2,2,68%,32%,16,3,5,2,9,0,2,1,5,14,7,2,2,1,25,18,0,3,14,8,1,0,541,251,451,165,9,16,139,84,90,30,0,1,D
fkMOmttS,21.12.2021 19:00,Arab Contractors,Zamalek,1,2,42%,58%,5,17,2,7,2,4,1,6,11,15,2,5,1,1,13,16,5,1,17,10,3,2,378,514,281,421,12,16,81,123,41,71,1,0,A
GbNKlMQL,21.12.2021 16:30,Pyramids,El Gaish,3,0,71%,29%,8,6,3,0,4,6,1,0,12,19,4,1,1,1,17,16,0,0,17,8,1,2,655,269,564,191,13,11,132,108,43,27,0,1,H
KWTBjrd9,21.12.2021 14:00,Smouha,El Ismaily,2,1,51%,49%,6,11,3,3,2,4,1,4,22,17,3,5,2,5,33,19,2,1,18,18,2,2,350,339,207,209,18,22,134,124,57,66,0,0,H
Q9U7iOt3,20.12.2021 19:00,Al Ittihad,Ceramica Cleopatra,4,4,48%,52%,14,16,6,6,2,5,6,5,17,10,4,4,2,3,13,21,2,2,16,16,2,3,328,345,195,223,16,10,110,121,55,78,0,0,D
nJV3h4Rd,20.12.2021 19:00,Misr Lel Makkasa,Eastern Company,0,0,55%,45%,19,7,5,2,6,4,8,1,8,13,5,6,1,1,26,20,2,5,15,10,3,1,318,256,202,158,14,21,103,87,71,50,0,0,D
A1nLTKld,20.12.2021 16:30,El Gouna,Enppi,1,1,70%,30%,21,15,5,5,11,4,5,6,11,10,7,9,0,4,13,12,4,4,14,17,4,3,492,225,397,133,17,17,142,96,96,66,0,0,D
WAmHU0Zk,20.12.2021 16:30,Ghazl El Mahallah,National Bank Egypt,1,1,43%,57%,8,10,4,1,3,6,1,3,18,11,1,4,1,1,16,23,0,3,16,18,2,3,317,425,211,328,6,15,103,146,48,59,0,0,D
xllDVtKq,20.12.2021 14:00,Pharco,Al Masry,0,1,56%,44%,18,8,4,3,12,3,2,2,20,18,5,3,2,6,10,18,2,4,17,17,2,2,459,370,364,270,15,14,117,108,63,44,1,0,A
2ecozNBS,13.12.2021 16:30,Al Masry,Misr Lel Makkasa,3,2,54%,46%,14,22,6,7,7,9,1,6,15,13,5,4,3,0,15,16,5,3,12,16,1,3,475,400,359,304,23,17,104,102,45,53,0,0,H
tt9xxqsG,27.11.2021 16:30,Eastern Company,El Gouna,0,2,43%,57%,14,15,4,7,9,4,1,4,20,10,9,4,1,1,31,26,5,4,19,20,3,3,313,423,206,316,22,15,117,134,66,58,0,0,A
C64YxPR9,26.11.2021 19:00,El Gaish,Future FC,1,0,37%,63%,9,11,4,5,4,6,1,0,10,13,4,6,4,1,32,30,5,3,12,10,5,1,254,426,167,333,19,20,109,122,52,73,0,0,H
YF5Uw5C3,26.11.2021 16:30,El Ismaily,Ghazl El Mahallah,0,0,60%,40%,15,6,3,4,8,1,4,1,20,21,5,2,4,1,13,19,4,3,17,16,0,2,401,235,379,216,4,16,110,95,69,42,0,0,D
jiGPvocc,26.11.2021 14:00,National Bank Egypt,Arab Contractors,2,1,56%,44%,9,11,4,2,4,5,1,4,11,12,4,5,4,0,16,20,1,2,9,11,1,2,428,323,344,220,8,10,119,106,56,44,0,1,H
xlCLuRsi,25.11.2021 15:00,Al Ahly,Smouha,4,1,52%,48%,11,7,5,1,6,3,0,3,10,19,2,3,4,0,19,12,0,1,19,14,1,2,446,397,370,324,13,8,103,92,61,68,0,0,H
OpOwHs5j,25.11.2021 15:00,Ceramica Cleopatra,Zamalek,0,1,53%,47%,11,11,2,3,5,6,4,2,19,11,2,2,1,5,18,18,2,2,13,18,1,1,447,388,355,315,8,10,109,112,51,41,0,0,A
pfPZHNkp,25.11.2021 14:00,Al Ittihad,Pharco,1,2,56%,44%,18,7,3,4,11,3,4,0,16,17,7,1,0,0,26,22,2,2,15,18,1,1,375,304,281,197,17,23,112,83,83,41,0,0,A
fF5FM3sT,23.11.2021 19:00,Future FC,Enppi,1,2,69%,31%,14,5,7,3,5,2,2,0,12,14,7,4,2,0,23,18,1,6,14,14,1,4,442,207,367,117,11,21,128,100,82,36,0,0,A
GO6BNqSM,23.11.2021 16:30,Arab Contractors,El Ismaily,1,1,64%,36%,22,7,7,3,12,4,3,0,16,17,11,3,0,0,24,18,2,6,17,15,2,0,474,278,375,185,9,12,129,100,73,31,0,1,D
M177OPCG,22.11.2021 19:00,El Gouna,Al Masry,0,3,52%,48%,11,12,1,5,7,5,3,2,26,16,3,4,2,8,19,26,2,1,15,19,4,3,306,282,223,200,14,10,105,114,51,68,0,0,A
8b33P5cA,22.11.2021 19:00,Zamalek,National Bank Egypt,1,1,60%,40%,17,4,5,2,9,2,3,0,16,13,5,1,1,2,21,18,1,4,12,24,0,2,525,369,433,254,6,14,129,88,92,30,0,0,D
QZDbQor4,22.11.2021 16:30,Ghazl El Mahallah,Al Ahly,2,3,49%,51%,12,14,4,6,6,5,2,3,11,8,6,5,1,1,16,16,3,2,10,11,2,2,414,424,322,332,16,23,119,106,59,55,0,0,A
I9AjS7Di,22.11.2021 14:00,Pyramids,Eastern Company,3,0,79%,21%,16,2,5,1,7,1,4,0,10,8,5,1,2,3,9,14,1,2,8,10,0,1,882,227,784,127,10,9,121,80,69,17,0,0,H
vJBnTmbo,21.11.2021 19:00,Misr Lel Makkasa,Al Ittihad,0,0,40%,60%,14,13,3,3,8,4,3,6,11,10,7,2,3,2,30,25,3,3,10,13,3,0,266,405,159,288,11,16,108,135,58,67,0,0,D
zoo6Kefo,21.11.2021 16:30,Pharco,Ceramica Cleopatra,1,0,57%,43%,10,12,1,2,5,7,4,3,9,14,3,10,1,1,20,34,2,0,13,8,1,2,443,309,297,181,25,14,123,117,45,85,0,0,H
QyJxxOPI,19.11.2021 19:00,Al Ahly,Arab Contractors,1,0,65%,35%,26,3,8,1,12,2,6,0,14,11,7,0,1,1,17,18,1,7,12,16,2,5,580,319,489,211,14,19,138,82,83,26,1,0,H
hOKUwpe6,19.11.2021 16:30,El Ismaily,Zamalek,0,2,42%,58%,10,11,3,3,5,4,2,4,13,17,3,9,2,1,16,24,1,3,17,13,5,2,353,462,269,372,19,14,81,116,38,78,0,0,A
WEJYx4AC,19.11.2021 16:30,Enppi,Smouha,1,1,46%,54%,8,13,3,4,4,5,1,4,21,20,4,2,2,3,12,19,3,2,20,15,3,4,314,386,240,309,24,20,98,100,57,42,0,0,D
zmQPvQu0,19.11.2021 14:00,Al Masry,Pyramids,2,2,43%,57%,12,14,5,8,5,4,2,2,19,11,4,3,0,2,19,18,6,3,11,19,6,1,328,440,235,369,26,20,106,98,46,51,1,0,D
ddRLu6Qg,19.11.2021 14:00,El Gaish,Ghazl El Mahallah,0,0,60%,40%,6,7,3,2,3,3,0,2,26,15,8,3,0,1,40,23,2,3,16,25,0,1,386,269,270,160,11,12,142,106,56,44,0,0,D
2ZRHtnBm,18.11.2021 19:00,Al Ittihad,El Gouna,1,0,41%,59%,8,10,3,2,4,7,1,1,9,18,7,1,2,4,19,31,2,2,26,10,2,2,276,399,187,315,20,9,97,98,54,40,0,0,H
lWNDsSes,18.11.2021 19:00,Ceramica Cleopatra,National Bank Egypt,1,0,41%,59%,11,12,2,5,8,6,1,1,17,12,5,4,1,3,24,28,5,1,14,15,1,4,348,502,240,381,6,18,104,132,51,70,0,0,H
rkoon8mQ,18.11.2021 16:30,Eastern Company,Future FC,1,4,39%,61%,12,17,3,9,4,7,5,1,13,10,3,4,1,3,22,16,5,2,12,17,2,0,373,594,293,509,12,13,115,116,61,61,0,0,A
4bnsmlYJ,18.11.2021 14:00,Pharco,Misr Lel Makkasa,2,0,41%,59%,5,15,5,4,0,6,0,5,25,23,4,7,6,5,15,27,4,3,16,20,4,0,285,401,178,299,13,12,89,122,42,81,1,0,H
IT80zBlE,05.11.2021 19:00,Zamalek,Al Ahly,3,5,49%,51%,13,8,4,6,9,2,,,,,5,2,2,3,,,1,1,16,16,3,1,369,406,,,,,135,101,82,39,0,0,A
GOUHBRBD,05.11.2021 16:30,Future FC,Al Masry,1,1,51%,49%,14,10,7,3,7,7,,,15,18,4,4,0,3,28,23,2,6,19,13,0,1,345,325,,,,,127,162,58,75,0,0,D
xYVDC7d7,05.11.2021 16:30,Ghazl El Mahallah,Enppi,3,0,45%,55%,7,8,3,0,4,8,,,14,11,5,2,,,16,26,0,1,,,2,1,,,,,,,109,128,48,60,0,0,H
8bR9Dms1,05.11.2021 14:00,Smouha,Eastern Company,3,0,46%,54%,8,3,5,0,3,3,,,12,19,3,5,,,20,25,0,2,,,3,0,,,,,,,99,111,53,56,0,0,H
U7S5ETRf,04.11.2021 19:00,Pyramids,Al Ittihad,3,0,60%,40%,8,7,6,1,2,6,,,,,2,7,3,5,,,1,3,10,12,1,1,433,225,,,,,107,104,47,54,0,0,H
nqw1F9Cl,04.11.2021 16:30,Arab Contractors,El Gaish,1,1,46%,54%,9,15,1,4,8,11,,,,,1,7,2,0,,,3,0,25,16,2,1,174,288,,,,,88,111,32,78,1,0,D
YuZdGkcr,04.11.2021 16:30,El Gouna,Pharco,1,0,52%,48%,9,11,5,3,4,8,,,,,8,7,3,2,,,3,4,19,15,4,0,237,215,,,,,104,126,64,69,0,0,H
G0nVKVlR,04.11.2021 14:00,Misr Lel Makkasa,Ceramica Cleopatra,0,0,39%,61%,2,17,1,3,1,14,,,6,11,1,6,4,1,,,4,2,8,10,2,2,129,388,,,,,103,118,39,68,1,0,D
xAmRLBZK,04.11.2021 14:00,National Bank Egypt,El Ismaily,1,0,54%,46%,8,7,6,2,2,5,,,4,5,6,2,1,1,,,3,6,11,12,2,2,245,178,,,,,104,93,49,44,0,0,H
rwRGa0dL,01.11.2021 19:00,Eastern Company,Ghazl El Mahallah,2,3,59%,41%,15,7,4,4,11,3,,,,,1,1,0,0,,,1,2,14,14,1,3,417,188,,,,,126,87,99,73,0,0,A
W2NC0tsF,01.11.2021 16:30,Al Masry,Smouha,0,0,48%,52%,7,11,3,2,4,9,,,,,4,4,4,3,,,2,3,23,17,3,1,237,295,,,,,112,121,49,51,0,0,D
lvY71MR8,31.10.2021 19:00,Al Ahly,National Bank Egypt,1,0,56%,44%,17,5,6,2,11,3,,,,,8,3,1,2,,,2,5,12,6,0,1,501,329,,,,,131,101,90,44,0,0,H
MXuMwJZ1,31.10.2021 16:30,El Gaish,Zamalek,0,2,44%,56%,13,13,3,5,10,8,,,,,5,5,3,1,,,3,3,12,23,0,2,241,364,,,,,101,110,50,53,0,0,A
AmZ322C2,31.10.2021 16:30,Pharco,Pyramids,1,2,48%,52%,8,7,4,3,4,4,,,,,4,1,3,4,,,1,3,16,18,4,3,311,352,,,,,98,94,45,34,0,0,A
6P7HNoS6,31.10.2021 14:00,Ceramica Cleopatra,El Ismaily,2,1,50%,50%,8,8,2,4,6,4,,,,,6,6,3,4,,,3,0,15,20,3,1,333,327,,,,,117,101,52,60,0,0,H
rssIvaKe,31.10.2021 14:00,Misr Lel Makkasa,El Gouna,2,0,45%,55%,10,11,3,1,7,10,,,,,4,7,1,2,,,1,1,17,13,1,3,198,320,,,,,101,118,57,70,0,1,H
SY8DORC0,30.10.2021 20:00,Enppi,Arab Contractors,3,2,41%,59%,12,18,5,5,7,13,,,,,1,5,0,4,,,3,2,20,15,3,3,182,423,,,,,81,115,26,77,0,0,H
YB99P7cf,30.10.2021 17:30,Al Ittihad,Future FC,3,2,41%,59%,12,16,6,8,6,8,,,,,2,7,0,0,,,6,3,23,14,3,3,194,372,,,,,93,111,40,77,0,0,H
CWsJ3jy1,28.10.2021 17:30,Ghazl El Mahallah,Al Masry,1,1,45%,55%,5,5,1,2,4,3,,,14,13,2,4,,,13,19,1,0,,,2,1,,,,,,,104,132,36,59,0,0,D
CW5RDza8,27.10.2021 20:00,El Ismaily,Al Ahly,0,4,48%,52%,3,7,1,5,2,2,,,18,11,1,7,,,10,19,1,1,,,2,3,,,,,,,111,107,37,54,0,1,A
bTwF4WLf,27.10.2021 17:30,Pyramids,Misr Lel Makkasa,2,1,52%,48%,12,3,5,3,7,0,,,10,21,9,4,,,23,14,2,3,,,2,1,,,,,,,130,99,80,46,0,0,H
O69VCfEE,26.10.2021 20:00,Zamalek,Enppi,2,0,54%,46%,10,5,8,2,2,3,,,15,14,5,4,,,22,20,2,6,,,3,2,,,,,,,125,100,85,59,0,0,H
G4lA5C6l,26.10.2021 17:30,El Gouna,Ceramica Cleopatra,1,1,52%,48%,6,5,2,2,4,3,,,11,10,3,4,,,17,14,1,1,,,1,3,,,,,,,122,87,58,44,0,0,D
pMcvBYrR,26.10.2021 15:00,Arab Contractors,Eastern Company,1,0,52%,48%,8,5,3,0,5,5,,,13,22,1,8,,,20,13,0,2,,,2,1,,,,,,,121,131,41,62,0,0,H
bTHqkiM7,25.10.2021 20:00,Future FC,Pharco,1,0,53%,47%,10,4,5,1,5,3,,,16,11,4,3,0,0,17,21,1,4,0,0,2,4,0,0,,,,,87,98,45,54,0,0,H
6VbzCETK,25.10.2021 17:30,Smouha,Al Ittihad,4,4,47%,53%,8,7,5,4,3,3,,,13,7,1,4,,,15,14,1,1,,,3,3,,,,,,,94,124,44,83,0,0,D
xEk66hir,25.10.2021 15:00,National Bank Egypt,El Gaish,3,0,50%,50%,10,11,6,6,4,5,,,13,14,5,9,2,0,19,19,6,3,15,15,1,2,,,,,,,110,100,68,65,0,0,H
