id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,result
Usmmf3U9,09.08.2022 21:00,National Bank Egypt,Pharco,0,1,66%,34%,19,7,5,2,11,3,3,2,11,14,7,0,3,0,14,27,1,5,12,9,3,3,465,250,401,188,19,10,119,105,72,36,0,0,A
MHqudPac,09.08.2022 21:00,Zamalek,Misr Lel Makkasa,5,0,56%,44%,23,10,8,2,12,4,3,4,7,9,9,1,2,2,25,13,2,3,7,6,1,2,455,364,408,299,16,24,98,78,75,32,0,0,H
GvqqeqF3,09.08.2022 18:30,Ghazl El Mahallah,Pyramids,0,2,37%,63%,11,11,4,6,4,4,3,1,8,9,3,3,1,0,12,11,4,4,8,9,2,1,400,681,309,595,18,19,109,124,50,60,0,0,A
rRpyc5pi,08.08.2022 18:30,Ceramica Cleopatra,Enppi,0,0,49%,51%,7,8,3,2,3,5,1,1,17,26,1,3,6,0,20,15,2,3,12,11,3,1,395,417,308,325,15,15,113,103,60,36,0,0,D
691hYL7j,08.08.2022 18:30,El Gaish,Eastern Company,1,1,69%,31%,11,9,2,3,6,6,3,0,11,10,4,7,1,1,28,26,2,1,9,10,1,1,461,188,363,112,18,11,115,90,60,43,0,0,D
Wxz1SaG5,07.08.2022 21:00,Al Ittihad,Al Ahly,0,3,53%,47%,10,14,3,5,5,6,2,3,5,22,5,4,5,1,19,10,2,3,20,8,7,2,415,365,334,281,13,14,111,77,48,28,1,0,A
hhO9QwoI,06.08.2022 21:00,Pyramids,Arab Contractors,1,0,63%,37%,6,4,1,0,4,2,1,2,11,11,5,2,2,3,12,15,0,0,8,6,2,1,365,208,319,156,2,7,117,97,65,41,0,0,H
E1P5RJVB,06.08.2022 18:30,Future FC,Ghazl El Mahallah,2,1,56%,44%,13,5,7,2,3,3,3,0,15,5,4,0,0,1,18,18,1,5,6,14,1,2,407,331,334,250,6,9,115,112,57,31,0,0,H
OCWhULog,06.08.2022 18:30,Pharco,El Ismaily,0,0,38%,62%,6,17,2,1,3,8,1,8,13,8,4,8,0,0,16,20,1,2,10,12,0,1,277,448,202,376,21,18,71,105,30,66,0,0,D
IZVdTu1a,05.08.2022 21:00,El Gouna,Zamalek,1,4,47%,53%,18,12,3,6,10,5,5,1,14,7,3,2,2,3,16,21,2,2,9,18,2,4,302,352,238,267,21,14,100,83,66,36,0,1,A
