id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,Tackles_home,Tackles_away,Blocked Shots_home,Blocked Shots_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,result
42IzAJt1,07.06.2023 18:00,Ghazl El Mahallah,Al Masry,1,1,46%,54%,17,11,10,4,7,7,,,6,3,,,,,3,9,,,0,3,103,107,71,46,0,0,,,,,,,,,D
jaEWAaRf,06.06.2023 20:30,Future FC,Enppi,1,0,64%,36%,9,9,3,2,6,7,,,4,5,,,,,2,2,,,4,3,98,99,62,52,0,0,,,,,,,,,H
UqQNCLdr,06.06.2023 18:00,El Daklyeh,Haras El Hodood,1,1,47%,53%,14,6,2,2,12,4,,,6,7,,,,,1,1,,,1,3,86,111,104,92,1,0,,,,,,,,,D
8zPRBuCl,06.06.2023 18:00,Pharco,Pyramids,0,1,36%,64%,10,13,2,6,8,7,,,5,4,,,,,5,2,,,2,1,108,122,46,63,0,0,,,,,,,,,A
xhYeH1lR,05.06.2023 19:00,Zamalek,Al Ittihad,2,1,53%,47%,12,10,6,3,6,7,,,2,5,,,,,2,4,,,3,2,101,104,45,55,0,0,,,,,,,,,H
b1ZiIsZK,03.06.2023 19:00,El Gaish,Smouha,2,0,46%,54%,10,10,3,2,7,8,,,3,3,,,,,2,1,,,,,112,144,49,58,0,0,,,,,,,,,H
GxpmJNJE,02.06.2023 20:30,Pyramids,Future FC,1,0,56%,44%,10,8,2,2,8,6,,,5,3,,,,,2,1,,,0,1,117,97,68,46,0,0,,,,,,,,,H
IiRqK348,02.06.2023 18:00,Ceramica Cleopatra,Pharco,0,0,57%,43%,12,15,5,8,7,7,,,6,5,,,,,8,5,,,2,0,113,87,64,35,0,0,,,,,,,,,D
4lw2eKR7,01.06.2023 20:30,Enppi,Ghazl El Mahallah,1,0,51%,49%,5,8,1,1,4,7,,,2,4,,,,,1,0,,,2,1,121,138,41,59,0,0,,,,,,,,,H
Qcvbd0C1,01.06.2023 18:00,Haras El Hodood,Aswan SC,1,0,41%,59%,4,10,2,2,2,8,,,2,5,,,,,2,1,,,1,2,126,122,42,64,0,0,,,,,,,,,H
8Mqgctce,31.05.2023 20:30,Arab Contractors,El Ismaily,2,2,40%,60%,14,7,4,6,10,1,,,6,9,,,,,4,2,,,1,1,105,122,48,63,0,0,,,,,,,,,D
UVpkbMsk,31.05.2023 18:00,National Bank Egypt,El Daklyeh,3,1,56%,44%,10,13,5,5,5,8,,,1,7,,,,,4,2,,,2,2,123,121,43,55,0,0,,,,,,,,,H
bm8KAoX4,30.05.2023 19:00,Zamalek,El Gaish,2,0,63%,37%,12,7,4,3,8,4,,,4,3,,,,,3,2,,,1,1,122,94,59,41,0,0,,,,,,,,,H
CC53RUDD,29.05.2023 20:30,Al Ahly,Ceramica Cleopatra,1,0,71%,29%,16,4,4,2,12,2,,,8,0,,,,,2,3,,,2,1,145,98,65,27,0,0,,,,,,,,,H
jcHfTjq1,29.05.2023 18:00,Al Ittihad,Pyramids,1,2,38%,62%,8,12,5,3,3,9,,,2,6,,,,,1,4,,,2,4,77,80,43,53,0,0,,,,,,,,,A
MROX0A3t,26.05.2023 19:00,El Gaish,Al Ahly,0,2,35%,65%,4,7,0,3,4,4,,,0,5,,,,,1,0,,,4,2,89,122,41,62,1,0,,,,,,,,,A
2NsYri0o,24.05.2023 20:30,Future FC,Ceramica Cleopatra,1,0,50%,50%,6,13,3,7,3,6,,,4,5,,,,,7,2,,,3,0,116,131,45,68,0,0,,,,,,,,,H
j1Ty0UIn,24.05.2023 20:30,Pyramids,Haras El Hodood,1,0,60%,40%,20,9,9,2,11,7,,,8,7,,,,,2,8,,,0,4,95,76,71,41,0,0,,,,,,,,,H
lKgjK7Np,23.05.2023 20:30,Al Ahly,Enppi,2,0,73%,27%,22,3,6,2,16,1,,,7,2,,,,,2,4,,,,,107,94,77,50,0,0,,,,,,,,,H
CfWMyzgI,23.05.2023 20:30,Pharco,Smouha,1,0,60%,40%,11,4,5,2,6,2,,,4,3,,,,,2,4,,,1,1,112,105,55,45,0,0,,,,,,,,,H
