id,date,home_team,away_team,home_goals,away_goals,Expected Goals (xG)_home,Expected Goals (xG)_away,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Crosses Completed_home,Crosses Completed_away,Interceptions_home,Interceptions_away,Free Kicks_home,Free Kicks_away,Throw-ins_home,Throw-ins_away,Red Cards_home,Red Cards_away,result
zuhuEZ2q,14.02.2024 15:00,Al Ittihad,El Gaish,2,2,0.84,1.17,51%,49%,15,8,5,1,10,4,0,3,4,3,3,2,0,3,13,12,1,3,279,266,11,23,101,117,51,61,18,23,6,8,,,,,0,0,D
EVjqDgIk,14.02.2024 15:00,Arab Contractors,Enppi,0,1,0.79,0.37,56%,44%,20,10,2,4,16,5,2,1,7,2,1,1,3,2,6,9,1,0,430,229,17,20,128,103,65,36,32,14,12,11,,,,,0,0,A
rm0DIFfS,13.02.2024 18:00,Smouha,National Bank Egypt,1,1,1.64,0.50,50%,50%,14,10,5,3,7,3,2,4,4,2,4,3,2,4,7,10,1,1,383,380,22,16,135,123,50,43,23,19,8,16,,,,,0,0,D
4d19JeuM,13.02.2024 15:00,El Gouna,Al Masry,2,2,,,37%,63%,8,13,4,3,3,8,1,2,4,4,1,2,1,2,18,18,6,5,141,503,18,19,98,74,57,44,11,14,13,9,,,,,1,1,D
lElIbf3d,01.01.2024 18:00,Al Masry,El Ismaily,1,1,0.40,1.73,54%,46%,15,16,2,8,6,7,7,1,0,6,3,2,7,1,8,18,0,2,434,322,25,25,130,99,54,64,12,7,6,7,,,,,0,0,D
ANkEazlj,01.01.2024 15:00,El Daklyeh,Al Ittihad,0,1,,,46%,54%,9,8,2,3,7,5,,,5,5,,,2,2,,,0,2,,,,,95,75,61,50,,,,,,,,,0,0,A
G0jA0GYq,30.12.2023 18:00,El Gaish,ZED,1,0,1.19,0.35,55%,45%,19,8,5,2,12,2,2,4,4,0,10,1,2,4,13,14,3,2,338,204,10,16,113,100,72,34,22,10,4,7,,,,,0,1,H
vuar5dQS,30.12.2023 18:00,Enppi,Baladiyat El Mahalla,3,0,1.34,2.17,40%,60%,18,21,3,8,8,12,7,1,2,6,2,0,8,1,11,8,1,0,166,474,14,8,80,98,45,64,13,29,5,4,,,,,0,0,H
dG9w6xBM,30.12.2023 15:00,National Bank Egypt,Arab Contractors,3,1,1.06,0.48,56%,44%,10,8,5,1,5,5,0,2,8,2,3,3,0,2,16,11,2,0,365,194,17,13,134,102,63,43,24,16,6,9,,,,,0,0,H
lj6V7btA,27.12.2023 18:00,Smouha,El Gaish,1,0,1.33,1.19,47%,53%,19,21,6,6,7,10,6,5,4,10,1,1,6,5,21,17,2,2,274,358,21,14,102,124,58,94,11,36,7,9,,,,,0,0,H
Aa7R8vR3,27.12.2023 15:00,ZED,El Daklyeh,3,1,0.91,1.22,56%,44%,22,14,12,1,10,4,0,9,7,3,0,2,0,9,8,11,1,1,421,251,13,21,148,99,105,44,23,9,8,10,,,,,0,0,H
O6RWnc4p,26.12.2023 18:00,Al Ittihad,Pharco,3,1,1.14,0.76,47%,53%,12,17,4,5,4,11,4,1,3,5,4,1,4,1,22,11,2,1,216,312,17,16,101,119,48,60,19,21,5,6,,,,,0,0,H
8d824PZH,25.12.2023 18:00,Baladiyat El Mahalla,National Bank Egypt,0,2,0.85,2.22,52%,48%,17,17,4,6,9,7,4,4,1,4,2,4,4,4,11,17,1,0,358,286,23,16,115,116,48,58,12,15,4,3,,,,,0,0,A
U59b55KB,25.12.2023 15:00,El Gouna,Enppi,1,2,0.86,1.03,51%,49%,17,17,7,5,7,6,3,6,6,4,3,3,3,6,10,11,2,3,289,266,7,20,107,80,67,48,28,17,14,7,,,,,0,0,A
h0IwAT5t,16.12.2023 18:00,Enppi,El Ismaily,1,0,0.40,0.70,39%,61%,8,17,1,3,4,14,3,0,2,3,1,2,3,0,15,5,3,3,197,531,15,10,95,123,30,77,7,16,12,12,,,,,0,1,H
lnhTkQKO,15.12.2023 17:00,El Gaish,Arab Contractors,1,2,1.35,0.57,56%,44%,17,9,5,4,10,1,2,4,7,2,2,0,2,4,10,9,3,3,396,247,9,13,145,111,98,54,22,8,3,6,,,,,2,0,A
zqlPj65I,15.12.2023 17:00,Pharco,ZED,1,2,0.58,2.31,48%,52%,14,16,5,7,5,5,4,4,2,9,2,2,5,4,12,8,0,1,294,343,16,18,104,121,41,65,7,18,11,9,,,,,0,0,A
tMlLinjC,15.12.2023 15:00,El Daklyeh,Smouha,0,0,0.80,0.87,44%,56%,8,18,1,2,5,15,2,1,3,6,1,3,2,1,14,13,2,3,236,381,20,13,88,118,47,63,13,23,5,4,,,,,0,0,D
zqAf6o55,14.12.2023 18:00,Al Masry,Zamalek,1,0,1.63,0.78,47%,53%,16,19,6,3,7,13,3,3,3,6,2,4,3,5,16,5,2,2,381,494,23,12,76,88,34,76,7,31,10,9,,,,,0,0,H
