id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Free Kicks_home,Free Kicks_away,Throw-ins_home,Throw-ins_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Goal Kicks_home,Goal Kicks_away,Blocked Shots_home,Blocked Shots_away,result
naR3o2eB,12.09.2020 18:00,Enppi,Wadi Degla,2,1,38%,62%,13,7,6,3,7,4,5,2,1,1,2,4,1,1,234,420,153,320,79,80,74,50,,,,,,,0,0,,,,,H
EoTemOQb,11.09.2020 20:30,Al Ahly,El Ismaily,3,0,52%,48%,15,9,6,1,9,8,9,4,0,2,1,3,0,3,424,374,314,268,134,109,113,69,,,,,,,0,0,,,,,H
xlKGr0uU,11.09.2020 18:00,El Gaish,El Gouna,4,1,42%,58%,13,11,7,4,6,7,3,5,1,1,3,3,1,1,316,510,218,378,125,161,81,103,,,,,,,0,0,,,,,H
rRKCqtQN,11.09.2020 18:00,Tanta,Misr Lel Makkasa,0,2,41%,59%,12,9,3,3,9,6,4,2,2,3,1,3,1,1,361,535,246,420,91,90,64,59,,,,,,,0,0,,,,,A
f5lV1Nuh,11.09.2020 15:30,ZED,Al Ittihad,2,2,42%,58%,12,17,6,6,6,11,0,9,1,1,4,4,5,1,275,455,183,338,81,88,52,76,,,,,,,1,0,,,,,D
4zM8pMAH,10.09.2020 20:30,Smouha,Zamalek,3,3,47%,53%,12,12,6,9,6,3,5,3,,,6,3,1,1,,,,,102,127,51,64,,,,,,,0,0,,,,,D
88Sanrt5,10.09.2020 18:00,Arab Contractors,Haras El Hodood,3,2,43%,57%,6,3,4,2,2,1,2,11,,,0,1,2,3,,,,,44,63,51,67,15,10,2,1,10,15,0,0,,,,,H
E9BrvKmo,10.09.2020 18:00,El-Entag El-Harby,Aswan SC,0,2,62%,38%,19,7,6,3,13,4,10,1,0,1,1,6,3,2,,,,,147,101,110,31,16,0,,,0,14,0,0,,,,,A
GEkR23Qo,10.09.2020 15:30,Pyramids,Al Masry,0,1,74%,26%,13,3,6,1,7,2,10,0,,,0,6,2,2,,,,,122,79,101,24,14,13,26,14,13,14,0,0,,,,,A
UNfwVtBU,07.09.2020 20:30,Haras El Hodood,Al Ahly,0,2,46%,54%,5,11,1,5,4,6,1,3,2,1,3,1,,,343,457,238,342,87,102,54,71,13,12,0,19,14,9,0,0,,,,,A
Mi4IZ4da,07.09.2020 18:00,El Ismaily,ZED,4,0,51%,49%,14,12,9,3,5,9,0,9,4,1,3,5,1,0,428,472,335,363,145,181,84,86,,,,,,,0,1,,,,,H
2BPil4Bh,07.09.2020 18:00,Wadi Degla,Arab Contractors,1,1,57%,43%,15,5,6,1,9,4,4,3,1,2,0,5,0,1,493,341,414,256,97,73,89,34,,,,,,,0,0,,,,,D
