id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Tackles_home,Tackles_away,Free Kicks_home,Free Kicks_away,Throw-ins_home,Throw-ins_away,Completed Passes_home,Completed Passes_away,result
OlA6m4E8,29.07.2021 19:00,Aswan SC,Al Ahly,1,3,38%,62%,10,11,2,5,8,6,3,6,3,4,2,1,9,14,0,0,1,1,245,522,64,94,46,75,,,,,,,,,A
OCQfA2mk,26.07.2021 19:00,Pyramids,National Bank Egypt,1,1,65%,35%,19,6,4,3,15,3,10,2,2,4,2,3,14,14,0,0,2,4,538,150,102,64,73,24,,,,,,,,,D
fVwus1OQ,25.07.2021 19:00,El-Entag El-Harby,Al Ahly,2,3,38%,62%,6,16,4,4,2,12,3,7,2,2,1,2,15,16,0,0,3,4,160,497,101,136,26,80,,,,,,,,,A
UidOXv1J,22.07.2021 19:00,Al Ahly,National Bank Egypt,1,1,60%,40%,15,9,4,3,11,6,4,4,2,3,2,3,7,12,0,0,1,1,491,212,133,91,99,60,,,,,,,,,D
xfqzrs9K,16.07.2021 21:00,Arab Contractors,Pyramids,0,2,37%,63%,7,7,1,4,6,3,2,3,1,2,2,1,15,14,0,0,4,3,240,618,96,127,39,46,,,,,,,,,A
hfVkM6bC,11.07.2021 19:00,Misr Lel Makkasa,Al Ahly,1,4,41%,59%,8,14,2,7,6,7,4,2,3,6,3,1,17,9,0,0,2,1,253,499,99,125,54,77,,,,,,,,,A
pvHbPG8a,08.07.2021 21:00,Arab Contractors,Al Ahly,0,2,34%,66%,5,22,1,3,4,19,2,9,2,1,1,1,16,17,0,0,,,186,629,95,134,43,98,11,21,,,,,,,A
tlyjBrYr,08.07.2021 19:00,El-Entag El-Harby,Pyramids,2,2,40%,60%,9,14,6,8,3,6,3,7,2,2,6,4,13,20,0,0,1,2,198,498,103,128,41,66,,,,,,,,,D
0YyHw7T9,05.07.2021 19:00,El Ismaily,Al Ittihad,1,2,72%,28%,8,6,3,3,5,3,0,1,0,0,1,2,14,11,0,0,1,1,364,139,135,95,48,61,,,,,,,,,A
YL0MHP6j,05.07.2021 17:00,Wadi Degla,Misr Lel Makkasa,1,1,52%,48%,12,13,5,3,7,10,7,3,7,1,2,4,11,9,0,0,,,363,362,112,97,69,48,,,,,,,,,D
jNUTz5DS,04.07.2021 21:00,Smouha,Al Ahly,0,4,44%,56%,9,16,3,10,6,6,5,3,1,1,6,3,14,10,0,0,1,0,244,495,109,128,57,63,,,,,,,,,A
EHw9uTbc,04.07.2021 19:00,Pyramids,Enppi,1,1,64%,36%,8,12,4,6,4,6,6,6,3,3,5,3,12,16,0,0,1,1,494,133,100,98,66,58,,,,,,,,,D
MswDvmE3,04.07.2021 17:00,Arab Contractors,El Gaish,0,1,51%,49%,6,13,2,5,4,8,3,4,0,0,4,2,13,12,0,0,,,247,264,72,72,54,52,,,,,,,,,A
rcRLxRrG,02.07.2021 21:00,National Bank Egypt,Al Masry,2,0,41%,59%,10,22,4,4,6,18,3,9,2,1,4,2,20,7,0,0,5,3,178,423,82,109,42,84,,,,,,,,,H
d0VPyobM,02.07.2021 19:00,El-Entag El-Harby,El Gouna,1,1,46%,54%,9,8,7,4,2,4,2,3,1,2,3,6,10,20,0,0,2,2,270,276,117,119,76,60,,,,,,,,,D
zRv5t9qi,02.07.2021 17:00,Ceramica Cleopatra,Aswan SC,1,1,53%,47%,15,10,3,2,12,8,8,4,1,0,1,2,22,21,0,0,4,1,313,224,95,86,65,51,,,,,,,,,D
KIdII5ip,01.07.2021 21:00,Al Ahly,Pyramids,2,2,53%,47%,22,7,7,4,15,3,8,2,3,1,2,5,18,13,0,1,1,5,410,332,116,79,70,30,,,,,,,,,D
h4txwzwa,28.06.2021 19:00,Enppi,Arab Contractors,1,1,46%,54%,5,9,2,1,3,8,8,5,0,5,0,1,17,17,0,0,1,1,225,333,105,114,52,60,,,,,,,,,D
lWZpyE7B,28.06.2021 19:00,Misr Lel Makkasa,Zamalek,0,1,54%,46%,13,10,1,4,12,6,4,3,2,2,3,1,18,11,0,0,2,2,357,279,88,70,48,35,,,,,,,,,A
Wfutxfh5,27.06.2021 19:00,Smouha,El Ismaily,0,3,44%,56%,11,12,4,5,7,7,6,3,2,0,2,4,6,21,0,0,0,4,300,400,125,109,63,45,,,,,,,,,A
SMYlzYMH,27.06.2021 17:00,El Gaish,National Bank Egypt,0,2,56%,44%,16,11,3,4,13,7,6,5,1,0,2,3,9,11,0,0,1,3,295,168,83,71,45,29,,,,,,,,,A
4rlPuxgt,25.06.2021 21:00,Al Masry,El-Entag El-Harby,2,3,61%,39%,17,8,3,4,14,4,9,2,4,2,1,1,11,13,0,0,1,1,396,181,127,108,68,42,,,,,,,,,A
bssYwGNh,25.06.2021 19:00,Aswan SC,Wadi Degla,1,4,54%,46%,18,16,6,6,12,10,4,3,2,0,2,5,9,14,0,0,,,274,299,133,114,103,68,,,,,,,,,A
n7wUvd8n,25.06.2021 19:00,Ghazl El Mahallah,Al Ittihad,1,1,49%,51%,21,11,5,4,16,7,9,3,1,0,3,4,22,21,0,0,3,3,212,184,97,111,65,63,,,,,,,,,D
2Z1cpIpP,25.06.2021 17:00,El Gouna,Ceramica Cleopatra,3,2,54%,46%,13,13,3,3,10,10,1,2,0,1,1,0,19,15,0,0,3,4,223,185,101,73,56,50,,,,,,,,,H
vRobRxvm,18.06.2021 19:00,Wadi Degla,El Gouna,0,0,51%,49%,12,6,6,0,6,6,7,0,1,0,0,6,13,14,0,0,0,1,371,381,89,84,60,29,,,,,,,,,D
h4K6NfwC,17.06.2021 19:00,Al Ittihad,Misr Lel Makkasa,2,1,50%,50%,13,13,4,5,9,8,1,4,3,2,4,2,18,15,0,0,1,3,217,287,97,102,53,40,,,,,,,,,H
zT9BMEhI,17.06.2021 19:00,Zamalek,Aswan SC,3,0,67%,33%,15,12,5,3,10,9,5,1,3,4,3,2,15,13,0,0,1,2,446,195,88,68,68,47,,,,,,,,,H
0zmfSIOt,17.06.2021 17:00,El Ismaily,Ghazl El Mahallah,3,1,58%,42%,16,12,5,3,11,9,1,6,2,2,2,2,17,13,0,0,2,2,394,181,79,67,51,61,,,,,,,,,H
6mIfQdgg,16.06.2021 21:00,Ceramica Cleopatra,Al Masry,1,2,52%,48%,10,10,3,4,7,6,6,2,0,4,2,2,20,17,0,0,6,4,319,312,106,122,59,57,,,22,19,15,18,,,A
v1G2OzO5,16.06.2021 19:00,National Bank Egypt,Enppi,2,3,56%,44%,16,19,7,10,9,9,7,7,2,1,7,5,13,17,0,0,2,3,408,181,102,67,86,56,,,,,,,,,A
re0SWbGP,15.06.2021 19:00,El-Entag El-Harby,El Gaish,1,2,52%,48%,14,12,4,4,10,8,12,2,1,4,2,3,9,15,0,0,1,2,368,313,158,158,61,62,,,,,,,,,A
EJ8FLY7O,15.06.2021 19:00,Pyramids,Smouha,0,3,63%,37%,16,18,5,8,11,10,10,3,1,2,5,5,21,12,1,1,1,3,473,163,140,94,87,38,,,,,,,,,A
OjHNYxW6,30.05.2021 21:00,El Gouna,Zamalek,0,0,48%,52%,10,17,1,4,9,13,3,8,1,0,4,1,23,13,1,0,5,3,163,294,96,116,32,79,,,,,,,,,D
